short_title,visible_until_utc,id,created_at,score,date_tbd,datetime_local,popularity,datetime_utc,time_tbd,announce_date,url,title,status,datetime_tbd,description,type,is_open,general_admission,listing_count,visible_listing_count,lowest_price_good_deals,average_price,lowest_price,highest_price,median_price,created_at,method,employee_only,state,slug,name_v2,city,extended_address,metro_code,id,postal_code,display_location,score,has_upcoming_events,timezone,popularity,address,url,country,num_upcoming_events,name,lat,lon,created_at,method,employee_only
Bears at Bills,2018-11-04T22:00:00,4347061,2018-04-20T00:47:43,0.89,FALSE,2018-11-04T13:00:00,0.827,2018-11-04T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061,Chicago Bears at Buffalo Bills,normal,FALSE,,nfl,FALSE,NA,759,1122,54,133.26746,58,603,106,2018-08-24T21:53:39Z,QRCODE,FALSE,NY,new-era-field,New Era Field,Orchard Park,"Orchard Park, NY 14127",514,1135,14127,"Orchard Park, NY",0.8815085,TRUE,America/New_York,0,1 Bills Drive,https://seatgeek.com/venues/new-era-field/tickets,US,7,New Era Field,42.7737,-78.7874,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
Chargers at Seahawks,2018-11-05T01:05:00,4347127,2018-04-20T00:47:56,0.878,FALSE,2018-11-04T13:05:00,0.836,2018-11-04T21:05:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127,Los Angeles Chargers at Seattle Seahawks,normal,FALSE,,nfl,FALSE,NA,191,590,156,366.2199,156,955,362,2018-08-24T21:53:39Z,QRCODE,FALSE,WA,centurylink-field,CenturyLink Field,Seattle,"Seattle, WA 98134",819,339,98134,"Seattle, WA",0.87232786,TRUE,America/Los_Angeles,0,800 Occidental Ave S,https://seatgeek.com/venues/centurylink-field/tickets,US,11,CenturyLink Field,47.6,-122.33,2018-03-02T22:54:54Z,QRCODE,FALSE
Texans at Broncos,2018-11-05T01:05:00,4347141,2018-04-20T01:04:05,0.882,FALSE,2018-11-04T14:05:00,0.824,2018-11-04T21:05:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/texans-at-broncos-tickets/11-4-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347141,Houston Texans at Denver Broncos,normal,FALSE,,nfl,FALSE,NA,82,670,119,359.69513,158,1053,286,2018-08-24T21:53:39Z,QRCODE,FALSE,CO,sports-authority-field-at-mile-high,Sports Authority Field at Mile High,Denver,"Denver, CO 80204",751,1131,80204,"Denver, CO",0.9028296,TRUE,America/Denver,0,1701 Bryant Street,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,US,6,Sports Authority Field at Mile High,39.74,-105.02,2015-08-07T18:39:02Z,QRCODE_TM,FALSE
Rams at Saints,2018-11-05T01:25:00,4346970,2018-04-20T00:47:25,0.879,FALSE,2018-11-04T15:25:00,0.821,2018-11-04T21:25:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970,Los Angeles Rams at New Orleans Saints,normal,FALSE,,nfl,TRUE,NA,1213,1086,82,260.44437,82,5942,234,2018-05-29T20:39:08Z,QRCODE,FALSE,LA,mercedes-benz-superdome,Mercedes-Benz Superdome,New Orleans,"New Orleans, LA 70112",622,128,70112,"New Orleans, LA",0.8966978,TRUE,America/Chicago,0,1500 Sugar Bowl Drive,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,US,16,Mercedes-Benz Superdome,29.9515,-90.0786,2018-08-27T20:46:59Z,QRCODE_TM,FALSE
Alex G,2018-11-05T05:00:00,4494650,2018-08-23T19:51:10,0.542,FALSE,2018-11-04T19:00:00,0.588,2018-11-05T01:00:00,FALSE,2018-08-23T00:00:00,https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650,Alex G,normal,FALSE,,concert,FALSE,TRUE,29,1,NA,111.37931,47,584,63,NA,NA,NA,IL,thalia-hall,Thalia Hall,Chicago,"Chicago, IL 60608",0,60271,60608,"Chicago, IL",0.51888376,TRUE,America/Chicago,0,1807 S Allport St,https://seatgeek.com/venues/thalia-hall/tickets,US,56,Thalia Hall,41.8577,-87.6575,NA,NA,NA
Packers at Patriots,2018-11-05T05:20:00,4347089,2018-04-20T00:47:49,0.998,FALSE,2018-11-04T20:20:00,0.91,2018-11-05T01:20:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089,Green Bay Packers at New England Patriots,normal,FALSE,,nfl,FALSE,NA,141,545,392,783.60284,418,1837,701,2018-08-24T21:53:39Z,QRCODE,FALSE,MA,gillette-stadium,Gillette Stadium,Foxborough,"Foxborough, MA 02035",506,33,02035,"Foxborough, MA",0.8983344,TRUE,America/New_York,0,1 Patriot Place,https://seatgeek.com/venues/gillette-stadium/tickets,US,14,Gillette Stadium,42.0906,-71.2674,2018-08-22T15:36:58Z,NONE,FALSE
Titans at Cowboys,2018-11-06T05:15:00,4327922,2018-04-05T23:08:47,0.962,FALSE,2018-11-05T19:15:00,0.881,2018-11-06T01:15:00,FALSE,2018-04-05T00:00:00,https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922,Tennessee Titans at Dallas Cowboys,normal,FALSE,,nfl,TRUE,NA,3744,2606,NA,253.04755,NA,2640,193,2018-04-17T22:02:33Z,QRCODE,FALSE,TX,at-t-stadium,AT&T Stadium,Arlington,"Arlington, TX 76011",623,4965,76011,"Arlington, TX",0.9751414,TRUE,America/Chicago,0,1 AT&T Way,https://seatgeek.com/venues/at-t-stadium/tickets,US,23,AT&T Stadium,32.7459,-97.0957,2018-04-17T22:02:33Z,QRCODE,FALSE
Panthers at Steelers,2018-11-09T05:20:00,4347075,2018-04-20T00:47:46,0.898,FALSE,2018-11-08T20:20:00,0.827,2018-11-09T01:20:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075,Carolina Panthers at Pittsburgh Steelers,normal,FALSE,,nfl,FALSE,NA,510,935,75,211.14902,75,1198,152,2018-08-24T21:53:39Z,QRCODE,FALSE,PA,heinz-field,Heinz Field,Pittsburgh,"Pittsburgh, PA 15212",508,1119,15212,"Pittsburgh, PA",0.9033526,TRUE,America/New_York,0,100 Art Rooney Avenue,https://seatgeek.com/venues/heinz-field/tickets,US,9,Heinz Field,40.4468,-80.0158,2015-12-08T15:36:23Z,QRCODE_TM,FALSE
Patriots at Titans,2018-11-11T21:00:00,4346990,2018-04-20T00:47:30,0.923,FALSE,2018-11-11T12:00:00,0.844,2018-11-11T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990,New England Patriots at Tennessee Titans,normal,FALSE,,nfl,FALSE,NA,287,586,257,552.3171,260,2449,481,2018-08-24T21:53:40Z,QRCODE,FALSE,TN,nissan-stadium,Nissan Stadium,Nashville,"Nashville, TN 37213",659,1126,37213,"Nashville, TN",0.8546275,TRUE,America/New_York,0,1 Titans Way,https://seatgeek.com/venues/nissan-stadium/tickets,US,16,Nissan Stadium,36.1665,-86.7713,2015-10-19T15:09:39Z,NONE,FALSE
Cardinals at Chiefs,2018-11-11T22:00:00,4346980,2018-04-20T00:47:27,0.878,FALSE,2018-11-11T12:00:00,0.81,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980,Arizona Cardinals at Kansas City Chiefs,normal,FALSE,,nfl,FALSE,NA,967,1072,50,153.06204,50,982,127,2018-08-24T21:53:40Z,QRCODE,FALSE,MO,arrowhead-stadium,Arrowhead Stadium,Kansas City,"Kansas City, MO 64129",616,1128,64129,"Kansas City, MO",0.8827867,TRUE,America/Chicago,0,1 Arrowhead Drive,https://seatgeek.com/venues/arrowhead-stadium/tickets,US,8,Arrowhead Stadium,39.0489,-94.4839,2015-08-20T16:20:51Z,QRCODE_TM,FALSE
