"","timestamp","datetime_tbd","is_open","created_at","popularity","type","time_tbd","score","title","short_title","datetime_utc","url","date_tbd","status","visible_until_utc","datetime_local","description","id","announce_date","general_admission","lowest_price","lowest_price_good_deals","listing_count","average_price","highest_price","employee_only","method","created_at","postal_code","name_v2","popularity","timezone","city","score","address","url","has_upcoming_events","display_location","name","num_upcoming_events","country","state","extended_address","id","slug","lon","lat","employee_only","method","created_at"
"218","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:51",0.867,"nfl",FALSE,0.881,"Detroit Lions at Arizona Cardinals","Lions at Cardinals","2018-12-09T21:25:00","https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-university-of-phoenix-stadium/nfl/4347099",FALSE,"normal","2018-12-10T01:25:00","2018-12-09T14:25:00","",4347099,"2018-04-20T00:00:00",NA,37,37,1623,135.44,980,FALSE,"QRCODE","2018-08-24T21:53:42Z","85305","University of Phoenix Stadium",0,"America/Phoenix","Glendale",0.93402725,"1 Cardinals Drive","https://seatgeek.com/venues/university-of-phoenix-stadium/tickets",TRUE,"Glendale, AZ","University of Phoenix Stadium",11,"US","AZ","Glendale, AZ 85305",43,"university-of-phoenix-stadium",-112.262,33.5294,FALSE,"NONE","2015-12-21T17:26:05Z"
"219","2018-09-05_08.12.46",FALSE,TRUE,"2018-04-05T23:08:46",0.9,"nfl",FALSE,0.939,"Philadelphia Eagles at Dallas Cowboys","Eagles at Cowboys","2018-12-09T21:25:00","https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919",FALSE,"normal","2018-12-10T01:25:00","2018-12-09T15:25:00","",4327919,"2018-04-05T00:00:00",NA,56,56,2966,466.75,4311,FALSE,"QRCODE","2018-04-17T22:02:33Z","76011","AT&T Stadium",0,"America/Chicago","Arlington",0.9751414,"1 AT&T Way","https://seatgeek.com/venues/at-t-stadium/tickets",TRUE,"Arlington, TX","AT&T Stadium",25,"US","TX","Arlington, TX 76011",4965,"at-t-stadium",-97.0957,32.7459,FALSE,"QRCODE","2018-04-17T22:02:33Z"
"220","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T01:04:24",0.87,"nfl",FALSE,0.899,"Pittsburgh Steelers at Oakland Raiders","Steelers at Raiders","2018-12-10T01:20:00","https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151",FALSE,"normal","2018-12-10T05:20:00","2018-12-09T17:20:00","",4347151,"2018-04-20T00:00:00",NA,196,196,765,454.18,1794,FALSE,"QRCODE","2018-08-24T21:53:42Z","94621","Oakland-Alameda County Coliseum",0,"America/Los_Angeles","Oakland",0.7817843,"7000 Coliseum Way","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",TRUE,"Oakland, CA","Oakland-Alameda County Coliseum",31,"US","CA","Oakland, CA 94621",14,"oakland-alameda-county-coliseum",-122.201,37.7469,FALSE,"PDF417","2015-06-24T00:00:00Z"
"221","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:55",0.868,"nfl",FALSE,0.898,"Minnesota Vikings at Seattle Seahawks","Vikings at Seahawks","2018-12-11T01:15:00","https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123",FALSE,"normal","2018-12-11T05:15:00","2018-12-10T17:15:00","",4347123,"2018-04-20T00:00:00",NA,141,141,991,419.71,1654,FALSE,"QRCODE","2018-08-24T21:53:42Z","98134","CenturyLink Field",0,"America/Los_Angeles","Seattle",0.87232786,"800 Occidental Ave S","https://seatgeek.com/venues/centurylink-field/tickets",TRUE,"Seattle, WA","CenturyLink Field",14,"US","WA","Seattle, WA 98134",339,"centurylink-field",-122.33,47.6,FALSE,"QRCODE","2018-03-02T22:54:54Z"
"222","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:26",0.829,"nfl",FALSE,0.862,"Los Angeles Chargers at Kansas City Chiefs","Chargers at Chiefs","2018-12-14T01:20:00","https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978",FALSE,"normal","2018-12-14T05:20:00","2018-12-13T19:20:00","",4346978,"2018-04-20T00:00:00",NA,37,37,1234,163.38,7880,FALSE,"QRCODE","2018-08-24T21:53:42Z","64129","Arrowhead Stadium",0,"America/Chicago","Kansas City",0.8827867,"1 Arrowhead Drive","https://seatgeek.com/venues/arrowhead-stadium/tickets",TRUE,"Kansas City, MO","Arrowhead Stadium",10,"US","MO","Kansas City, MO 64129",1128,"arrowhead-stadium",-94.4839,39.0489,FALSE,"QRCODE_TM","2015-08-20T16:20:51Z"
"223","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:35",0.875,"nfl",FALSE,0.909,"Houston Texans at New York Jets","Texans at Jets","2018-12-15T21:30:00","https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015",FALSE,"normal","2018-12-16T01:30:00","2018-12-15T16:30:00","",4347015,"2018-04-20T00:00:00",NA,26,26,2001,161.87,1221,FALSE,"QRCODE","2018-08-24T21:53:42Z","07073","MetLife Stadium",0,"America/New_York","East Rutherford",0.94873494,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets",TRUE,"East Rutherford, NJ","MetLife Stadium",21,"US","NJ","East Rutherford, NJ 07073",1587,"metlife-stadium",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"224","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T01:04:04",0.829,"nfl",FALSE,0.845,"Cleveland Browns at Denver Broncos","Browns at Broncos","2018-12-15T21:30:00","https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135",FALSE,"normal","2018-12-16T01:30:00","2018-12-15T14:30:00","",4347135,"2018-04-20T00:00:00",NA,87,87,536,260.9,1130,FALSE,"QRCODE","2018-08-24T21:53:42Z","80204","Sports Authority Field at Mile High",0,"America/Denver","Denver",0.9028296,"1701 Bryant St.","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",TRUE,"Denver, CO","Sports Authority Field at Mile High",8,"US","CO","Denver, CO 80204",1131,"sports-authority-field-at-mile-high",-105.02,39.74,FALSE,"QRCODE_TM","2015-08-07T18:39:02Z"
"225","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:41",0.869,"nfl",FALSE,0.883,"Arizona Cardinals at Atlanta Falcons","Cardinals at Falcons","2018-12-16T18:00:00","https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T13:00:00","",4347047,"2018-04-20T00:00:00",NA,68,68,1541,221.15,10438,FALSE,"QRCODE","2018-08-24T21:53:42Z","30313","Mercedes-Benz Stadium",0,"America/New_York","Atlanta",0.76958936,"35 Northside Dr NW","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",TRUE,"Atlanta, GA","Mercedes-Benz Stadium",15,"US","GA","Atlanta, GA 30313",419590,"mercedes-benz-stadium",-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"226","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:32",0.885,"nfl",FALSE,0.921,"Green Bay Packers at Chicago Bears","Packers at Bears","2018-12-16T18:00:00","https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T12:00:00","",4347002,"2018-04-20T00:00:00",NA,143,143,1047,440.71,2225,FALSE,"QRCODE","2018-08-24T21:53:42Z","60605","Soldier Field",0,"America/Chicago","Chicago",0.940013,"1410 S. Museum Campus Drive","https://seatgeek.com/venues/soldier-field/tickets",TRUE,"Chicago, IL","Soldier Field",12,"US","IL","Chicago, IL 60605",31,"soldier-field",-87.6159,41.8623,FALSE,"NONE","2018-06-02T00:44:08Z"
"227","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:20",0.889,"nfl",FALSE,0.911,"Dallas Cowboys at Indianapolis Colts","Cowboys at Colts","2018-12-16T18:00:00","https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T13:00:00","",4346955,"2018-04-20T00:00:00",NA,103,103,1140,316.41,6154,FALSE,"QRCODE","2018-08-24T21:53:42Z","46225","Lucas Oil Stadium",0,"America/Indiana/Indianapolis","Indianapolis",0.9071682,"500 South Capitol Avenue","https://seatgeek.com/venues/lucas-oil-stadium/tickets",TRUE,"Indianapolis, IN","Lucas Oil Stadium",15,"US","IN","Indianapolis, IN 46225",1130,"lucas-oil-stadium",-86.1639,39.7601,FALSE,"QRCODE_TM","2015-08-22T16:51:43Z"
"228","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:43",0.815,"nfl",FALSE,0.847,"Detroit Lions at Buffalo Bills","Lions at Bills","2018-12-16T18:00:00","https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T13:00:00","",4347057,"2018-04-20T00:00:00",NA,25,25,2165,102.73,9541,FALSE,"QRCODE","2018-08-24T21:53:42Z","14127","New Era Field",0,"America/New_York","Orchard Park",0.8815085,"1 Bills Drive","https://seatgeek.com/venues/new-era-field/tickets",TRUE,"Orchard Park, NY","New Era Field",8,"US","NY","Orchard Park, NY 14127",1135,"new-era-field",-78.7874,42.7737,FALSE,"QRCODE_TM","2015-08-12T16:52:53Z"
"229","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:44",0.806,"nfl",FALSE,0.833,"Tampa Bay Buccaneers at Baltimore Ravens","Buccaneers at Ravens","2018-12-16T18:00:00","https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T13:00:00","",4347066,"2018-04-20T00:00:00",NA,37,37,1454,178.37,923,FALSE,"QRCODE","2018-08-24T21:53:42Z","21230","M&T Bank Stadium",0,"America/New_York","Baltimore",0.8927189,"1101 Russell St","https://seatgeek.com/venues/m-t-bank-stadium/tickets",TRUE,"Baltimore, MD","M&T Bank Stadium",9,"US","MD","Baltimore, MD 21230",1121,"m-t-bank-stadium",-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"230","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:18",0.796,"nfl",FALSE,0.827,"Washington Redskins at Jacksonville Jaguars","Redskins at Jaguars","2018-12-16T18:00:00","https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346945",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T13:00:00","",4346945,"2018-04-20T00:00:00",NA,64,64,849,171.28,2558,FALSE,"QRCODE","2018-08-24T21:53:42Z","32202","TIAA Bank Field",0,"America/New_York","Jacksonville",0.83759147,"1 Everbank Field Dr","https://seatgeek.com/venues/tiaa-bank-field/tickets",TRUE,"Jacksonville, FL","TIAA Bank Field",10,"US","FL","Jacksonville, FL 32202",5178,"tiaa-bank-field",-81.6373,30.3239,FALSE,"QRCODE_TM","2015-10-17T20:03:42Z"
"231","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T01:04:05",0.881,"nfl",FALSE,0.9,"Miami Dolphins at Minnesota Vikings","Dolphins at Vikings","2018-12-16T18:00:00","https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T12:00:00","",4347144,"2018-04-20T00:00:00",NA,92,92,1109,270.29,11271,FALSE,"QRCODE","2018-08-24T21:53:42Z","55415","U.S. Bank Stadium",0,"America/Chicago","Minneapolis",0.88524246,"401 Chicago Avenue","https://seatgeek.com/venues/u-s-bank-stadium/tickets",TRUE,"Minneapolis, MN","U.S. Bank Stadium",14,"US","MN","Minneapolis, MN 55415",218451,"u-s-bank-stadium",-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
"232","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:39",0.832,"nfl",FALSE,0.864,"Oakland Raiders at Cincinnati Bengals","Raiders at Bengals","2018-12-16T18:00:00","https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T13:00:00","",4347037,"2018-04-20T00:00:00",NA,53,53,1033,140.92,11944,FALSE,"QRCODE","2018-08-24T21:53:42Z","45202","Paul Brown Stadium",0,"America/New_York","Cincinnati",0.86166537,"1 Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets",TRUE,"Cincinnati, OH","Paul Brown Stadium",9,"US","OH","Cincinnati, OH 45202",1124,"paul-brown-stadium",-84.5177,39.0961,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
"233","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:29",0.837,"nfl",FALSE,0.878,"Tennessee Titans at New York Giants","Titans at Giants","2018-12-16T18:00:00","https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988",FALSE,"normal","2018-12-16T22:00:00","2018-12-16T13:00:00","",4346988,"2018-04-20T00:00:00",NA,81,81,1833,236.92,1549,FALSE,"QRCODE","2018-08-24T21:53:42Z","07073","MetLife Stadium",0,"America/New_York","East Rutherford",0.94873494,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets",TRUE,"East Rutherford, NJ","MetLife Stadium",21,"US","NJ","East Rutherford, NJ 07073",1587,"metlife-stadium",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"234","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:55",0.875,"nfl",FALSE,0.91,"Seattle Seahawks at San Francisco 49ers","Seahawks at 49ers","2018-12-16T21:05:00","https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122",FALSE,"normal","2018-12-17T01:05:00","2018-12-16T13:05:00","",4347122,"2018-04-20T00:00:00",NA,84,84,1680,278.77,3694,FALSE,"QRCODE","2018-08-24T21:53:42Z","95054","Levi's Stadium",0,"America/Los_Angeles","Santa Clara",0.95768774,"4900 Marie P DeBartolo Way","https://seatgeek.com/venues/levi-s-stadium/tickets",TRUE,"Santa Clara, CA","Levi's Stadium",13,"US","CA","Santa Clara, CA 95054",58670,"levi-s-stadium",-121.969,37.4023,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"235","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:46",0.888,"nfl",FALSE,0.929,"New England Patriots at Pittsburgh Steelers","Patriots at Steelers","2018-12-16T21:25:00","https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077",FALSE,"normal","2018-12-17T01:25:00","2018-12-16T16:25:00","",4347077,"2018-04-20T00:00:00",NA,200,200,1318,462.45,10750,FALSE,"QRCODE","2018-08-24T21:53:42Z","15212","Heinz Field",0,"America/New_York","Pittsburgh",0.9033526,"100 Art Rooney Avenue","https://seatgeek.com/venues/heinz-field/tickets",TRUE,"Pittsburgh, PA","Heinz Field",13,"US","PA","Pittsburgh, PA 15212",1119,"heinz-field",-80.0158,40.4468,FALSE,"QRCODE_TM","2015-12-08T15:36:23Z"
"236","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:14",0.877,"nfl",FALSE,0.915,"Philadelphia Eagles at Los Angeles Rams","Eagles at Rams","2018-12-17T01:20:00","https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919",FALSE,"normal","2018-12-17T05:20:00","2018-12-16T17:20:00","",4346919,"2018-04-20T00:00:00",NA,114,114,1483,330.89,1939,FALSE,"QRCODE","2018-08-24T21:53:42Z","90037","Los Angeles Memorial Coliseum",0,"America/Los_Angeles","Los Angeles",0.86898464,"3911 S Figueroa St","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",TRUE,"Los Angeles, CA","Los Angeles Memorial Coliseum",14,"US","CA","Los Angeles, CA 90037",51012,"los-angeles-memorial-coliseum-1",-118.29,34.01,FALSE,"QRCODE","2018-08-23T17:59:28Z"
