"","timestamp","datetime_tbd","popularity","url","is_open","datetime_local","visible_until_utc","score","datetime_utc","created_at","announce_date","description","type","short_title","title","status","time_tbd","date_tbd","id","general_admission","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","average_price","highest_price","listing_count","created_at","employee_only","method","city","name_v2","url","timezone","has_upcoming_events","score","metro_code","display_location","slug","country","postal_code","state","extended_address","address","name","popularity","num_upcoming_events","id","lat","lon","created_at","employee_only","method"
"121","2018-09-26_08.06.25",FALSE,0.864,"https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-everbank-field/nfl/4346947",FALSE,"2018-11-18T20:20:00","2018-11-19T05:20:00",0.857,"2018-11-19T01:20:00","2018-04-20T00:47:19","2018-04-20T00:00:00","","nfl","Steelers at Jaguars","Pittsburgh Steelers at Jacksonville Jaguars","normal",FALSE,FALSE,4346947,NA,140,315,768,140,350.0486,1091,473,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Jacksonville","EverBank Field","https://seatgeek.com/venues/everbank-field/tickets","America/New_York",TRUE,0.83759147,561,"Jacksonville, FL","everbank-field","US","32202","FL","Jacksonville, FL 32202","1 Everbank Field Dr","EverBank Field",0,8,5178,30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"122","2018-09-26_08.06.25",FALSE,0.914,"https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137",FALSE,"2018-11-19T19:15:00","2018-11-20T05:15:00",0.91,"2018-11-20T01:15:00","2018-04-20T01:04:04","2018-04-20T00:00:00","","nfl","Chiefs at Rams","Kansas City Chiefs at Los Angeles Rams","normal",FALSE,FALSE,4347137,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Mexico City","Estadio Azteca","https://seatgeek.com/venues/estadio-azteca-2/tickets","America/Mexico_City",TRUE,0,0,"Mexico City, Mexico","estadio-azteca-2","Mexico","04650",NA,"Mexico City, Mexico","Calzada de Tlalpan 3665","Estadio Azteca",0,1,41952,19.3,-99.15,NA,NA,NA
"123","2018-09-26_08.06.25",FALSE,0.916,"https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024",FALSE,"2018-11-22T12:30:00","2018-11-22T21:30:00",0.907,"2018-11-22T17:30:00","2018-04-20T00:47:36","2018-04-20T00:00:00","","nfl","Bears at Lions","Chicago Bears at Detroit Lions","normal",FALSE,FALSE,4347024,NA,NA,176,725,97,253.43321,17908,1415,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Detroit","Ford Field","https://seatgeek.com/venues/ford-field/tickets","America/Detroit",TRUE,0.9029952,505,"Detroit, MI","ford-field","US","48226","MI","Detroit, MI 48226","2000 Brush St.","Ford Field",0,11,346,42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"124","2018-09-26_08.06.25",FALSE,0.95,"https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921",TRUE,"2018-11-22T15:30:00","2018-11-23T01:30:00",0.956,"2018-11-22T21:30:00","2018-04-05T23:08:47","2018-04-05T00:00:00","","nfl","Redskins at Cowboys","Washington Redskins at Dallas Cowboys","normal",FALSE,FALSE,4327921,NA,30,306,2309,30,376.75555,3000,3015,"2018-04-17T22:02:33Z",FALSE,"QRCODE","Arlington","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago",TRUE,0.9751414,623,"Arlington, TX","at-t-stadium","US","76011","TX","Arlington, TX 76011","1 AT&T Way","AT&T Stadium",0,20,4965,32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"125","2018-09-26_08.06.25",FALSE,0.874,"https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968",TRUE,"2018-11-22T19:20:00","2018-11-23T05:20:00",0.865,"2018-11-23T01:20:00","2018-04-20T00:47:24","2018-04-20T00:00:00","","nfl","Falcons at Saints","Atlanta Falcons at New Orleans Saints","normal",FALSE,FALSE,4346968,NA,120,300,1142,120,327.51437,4200,1287,"2018-05-29T20:39:22Z",FALSE,"QRCODE","New Orleans","Mercedes-Benz Superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","America/Chicago",TRUE,0.8966978,622,"New Orleans, LA","mercedes-benz-superdome","US","70112","LA","New Orleans, LA 70112","1500 Sugar Bowl Drive","Mercedes-Benz Superdome",0,17,128,29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
"126","2018-09-26_08.06.25",FALSE,0.429,"https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-2-pm/4281983",FALSE,"2018-11-23T14:00:00","2018-11-24T00:00:00",0.346,"2018-11-23T20:00:00","2018-02-28T15:00:16","2018-02-28T00:00:00","","ncaa_football","Coastal Carolina at South Alabama","Coastal Carolina Chanticleers at South Alabama Jaguars Football","normal",FALSE,FALSE,4281983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mobile","Ladd Peebles Stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","America/Chicago",TRUE,0.50177634,686,"Mobile, AL","ladd-peebles-stadium","US","36604","AL","Mobile, AL 36604","1621 Virginia St.","Ladd Peebles Stadium",0,5,3716,30.6748,-88.0761,NA,NA,NA
"127","2018-09-26_08.06.25",FALSE,0.858,"https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.851,"2018-11-25T18:00:00","2018-04-20T00:47:39","2018-04-20T00:00:00","","nfl","Browns at Bengals","Cleveland Browns at Cincinnati Bengals","normal",FALSE,FALSE,4347039,NA,57,101,875,56,114.57801,422,564,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Cincinnati","Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York",TRUE,0.86166537,515,"Cincinnati, OH","paul-brown-stadium","US","45202","OH","Cincinnati, OH 45202","1 Paul Brown Stadium","Paul Brown Stadium",0,7,1124,39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"128","2018-09-26_08.06.25",FALSE,0.853,"https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.838,"2018-11-25T18:00:00","2018-04-20T00:47:43","2018-04-20T00:00:00","","nfl","Jaguars at Bills","Jacksonville Jaguars at Buffalo Bills","normal",FALSE,FALSE,4347058,NA,24,73,1473,24,96.821976,636,1247,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Orchard Park","New Era Field","https://seatgeek.com/venues/new-era-field/tickets","America/New_York",TRUE,0.8815085,514,"Orchard Park, NY","new-era-field","US","14127","NY","Orchard Park, NY 14127","1 Bills Drive","New Era Field",0,7,1135,42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"129","2018-09-26_08.06.25",FALSE,0.917,"https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.918,"2018-11-25T18:00:00","2018-04-20T00:47:14","2018-04-20T00:00:00","","nfl","Giants at Eagles","New York Giants at Philadelphia Eagles","normal",FALSE,FALSE,4346918,NA,143,358,926,215,413.3902,1255,469,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Philadelphia","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","America/New_York",TRUE,0.90542686,504,"Philadelphia, PA","lincoln-financial-field","US","19148","PA","Philadelphia, PA 19148","1020 Pattison Ave","Lincoln Financial Field",0,15,330,39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"130","2018-09-26_08.06.25",FALSE,0.936,"https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.946,"2018-11-25T18:00:00","2018-04-20T00:47:50","2018-04-20T00:00:00","","nfl","Patriots at Jets","New England Patriots at New York Jets","normal",FALSE,FALSE,4347098,NA,92,268,1141,108,306.86157,6034,809,"2018-08-24T21:53:41Z",FALSE,"QRCODE","East Rutherford","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",TRUE,0.94873494,501,"East Rutherford, NJ","metlife-stadium","US","07073","NJ","East Rutherford, NJ 07073","1 MetLife Stadium Drive","MetLife Stadium",0,16,1587,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
