"","eventID","eventType","game","gameName_short","V5","venueID","lowest_price","highest_price","average_price","listing_count","lowest_price_good_deals","announce_date","created_at","visible_until_utc","status","url"
"29","4347119","nfl","Detroit Lions at San Francisco 49ers","Lions at 49ers","Levi's Stadium","58670","85","2989","240.45","1342","85","2018-04-20T00:00:00","2018-04-20T00:47:54","2018-09-17T00:05:00","normal","https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119"
"30","4347149","nfl","Oakland Raiders at Denver Broncos","Raiders at Broncos","Sports Authority Field at Mile High","1131","156","1706","421.54","968","156","2018-04-20T00:00:00","2018-04-20T01:04:06","2018-09-17T00:25:00","normal","https://seatgeek.com/raiders-at-broncos-tickets/9-16-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347149"
"31","4346951","nfl","New England Patriots at Jacksonville Jaguars","Patriots at Jaguars","TIAA Bank Field","5178","149","1346","335.31","808","149","2018-04-20T00:00:00","2018-04-20T00:47:19","2018-09-17T00:25:00","normal","https://seatgeek.com/patriots-at-jaguars-tickets/9-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346951"
"32","4327925","nfl","New York Giants at Dallas Cowboys","Giants at Cowboys","AT&T Stadium","4965","47","3000","388.1","2278","47","2018-04-05T00:00:00","2018-04-05T23:08:47","2018-09-17T04:20:00","normal","https://seatgeek.com/giants-at-cowboys-tickets/9-16-2018-arlington-texas-at-t-stadium/nfl/4327925"
"33","4347010","nfl","Seattle Seahawks at Chicago Bears","Seahawks at Bears","Soldier Field","31","153","11645","473.59","944","153","2018-04-20T00:00:00","2018-04-20T00:47:34","2018-09-18T04:15:00","normal","https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010"
"34","4347000","nfl","New York Jets at Cleveland Browns","Jets at Browns","FirstEnergy Stadium","1123","37","1507","142.55","1739","38","2018-04-20T00:00:00","2018-04-20T00:47:31","2018-09-21T04:20:00","normal","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000"
"35","4241762","ncaa_football","South Alabama Jaguars at Memphis Tigers Football","South Alabama at Memphis","Liberty Bowl Stadium","2827","23","245","54.64","181","23","2018-01-31T00:00:00","2018-01-31T15:00:53","2018-09-23T04:00:00","normal","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762"
"36","4346963","nfl","Indianapolis Colts at Philadelphia Eagles","Colts at Eagles","Lincoln Financial Field","330","214","1226","392.8","294","214","2018-04-20T00:00:00","2018-04-20T00:47:23","2018-09-23T21:00:00","normal","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963"
"37","4347088","nfl","Oakland Raiders at Miami Dolphins","Raiders at Dolphins","Hard Rock Stadium","29","63","2636","252.08","2241","63","2018-04-20T00:00:00","2018-04-20T00:47:48","2018-09-23T21:00:00","normal","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088"
"38","4347142","nfl","Buffalo Bills at Minnesota Vikings","Bills at Vikings","U.S. Bank Stadium","218451","99","1667","277.84","1214","99","2018-04-20T00:00:00","2018-04-20T01:04:05","2018-09-23T21:00:00","normal","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142"
"39","4346943","nfl","Green Bay Packers at Washington Redskins","Packers at Redskins","FedEx Field","35","159","1276","361.13","1945","159","2018-04-20T00:00:00","2018-04-20T00:47:18","2018-09-23T21:00:00","normal","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943"
"40","4346985","nfl","San Francisco 49ers at Kansas City Chiefs","49ers at Chiefs","Arrowhead Stadium","1128","88","123594","316.23","1719","88","2018-04-20T00:00:00","2018-04-20T00:47:28","2018-09-23T21:00:00","normal","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985"
"41","4347072","nfl","Denver Broncos at Baltimore Ravens","Broncos at Ravens","M&T Bank Stadium","1121","82","927","238.36","1420","82","2018-04-20T00:00:00","2018-04-20T00:47:45","2018-09-23T21:00:00","normal","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072"
"42","4347021","nfl","New York Giants at Houston Texans","Giants at Texans","NRG Stadium","41","100","5735","278.89","1294","100","2018-04-20T00:00:00","2018-04-20T00:47:36","2018-09-23T21:00:00","normal","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021"
"43","4347053","nfl","New Orleans Saints at Atlanta Falcons","Saints at Falcons","Mercedes-Benz Stadium","419590","133","2539","399.21","1078","133","2018-04-20T00:00:00","2018-04-20T00:47:42","2018-09-23T21:00:00","normal","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053"
"44","4347045","nfl","Cincinnati Bengals at Carolina Panthers","Bengals at Panthers","Bank of America Stadium","1122","77","5377","235.08","1456","77","2018-04-20T00:00:00","2018-04-20T00:47:41","2018-09-23T21:00:00","normal","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045"
"45","4346950","nfl","Tennessee Titans at Jacksonville Jaguars","Titans at Jaguars","TIAA Bank Field","5178","46","2558","119.48","1204","46","2018-04-20T00:00:00","2018-04-20T00:47:19","2018-09-23T21:00:00","normal","https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-tiaa-bank-field/nfl/4346950"
"46","4346923","nfl","Los Angeles Chargers at Los Angeles Rams","Chargers at Rams","Los Angeles Memorial Coliseum","51012","59","2361","160.27","2411","59","2018-04-20T00:00:00","2018-04-20T00:47:14","2018-09-24T00:05:00","normal","https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923"
"47","4347129","nfl","Dallas Cowboys at Seattle Seahawks","Cowboys at Seahawks","CenturyLink Field","339","229","2719","767.08","484","229","2018-04-20T00:00:00","2018-04-20T00:47:56","2018-09-24T00:25:00","normal","https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129"
"48","4347104","nfl","Chicago Bears at Arizona Cardinals","Bears at Cardinals","State Farm Stadium","43","77","5735","256.22","1558","77","2018-04-20T00:00:00","2018-04-20T00:47:52","2018-09-24T00:25:00","normal","https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104"
"49","4347028","nfl","New England Patriots at Detroit Lions","Patriots at Lions","Ford Field","346","135","123594","541.58","1225","135","2018-04-20T00:00:00","2018-04-20T00:47:37","2018-09-24T04:20:00","normal","https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028"
"50","4346932","nfl","Pittsburgh Steelers at Tampa Bay Buccaneers","Steelers at Buccaneers","Raymond James Stadium","39","154","1268","412.23","1161","154","2018-04-20T00:00:00","2018-04-20T00:47:16","2018-09-25T04:15:00","normal","https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932"
"51","4346922","nfl","Minnesota Vikings at Los Angeles Rams","Vikings at Rams","Los Angeles Memorial Coliseum","51012","60","3883","210.83","1972","60","2018-04-20T00:00:00","2018-04-20T00:47:14","2018-09-28T04:20:00","normal","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922"
"52","4401810","sports","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","Memorial Coliseum","5102","11","35","31","6",NA,"2018-06-05T00:00:00","2018-06-05T16:00:59","2018-09-29T03:00:00","normal","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810"
"53","4163969","ncaa_football","Southwest Classic: Arkansas vs Texas A&M","Southwest Classic: Arkansas vs Texas A&M","AT&T Stadium","4965","102","14133","339.21","1974","102","2017-12-05T00:00:00","2017-12-05T15:00:24","2018-09-30T05:00:00","normal","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-3-30-am/4163969"
