short_title,announce_date,title,type,id,is_open,popularity,datetime_utc,created_at,status,url,time_tbd,datetime_local,score,date_tbd,datetime_tbd,description,visible_until_utc,general_admission,lowest_price_good_deals,highest_price,visible_listing_count,median_price,lowest_price,average_price,listing_count,created_at,employee_only,method,num_upcoming_events,extended_address,id,city,name,state,popularity,has_upcoming_events,address,url,slug,postal_code,name_v2,timezone,score,country,display_location,metro_code,lon,lat,created_at,employee_only,method
Cardinals at 49ers,2018-04-20T00:00:00,Arizona Cardinals at San Francisco 49ers,nfl,4347115,FALSE,0.939,2018-10-07T20:25:00,2018-04-20T00:47:53,normal,https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115,FALSE,2018-10-07T13:25:00,0.91,FALSE,FALSE,,2018-10-08T00:25:00,NA,34,1003,734,78,36,102.8778,491,2018-09-05T19:47:23Z,FALSE,QRCODE,12,"Santa Clara, CA 95054",58670,Santa Clara,Levi's Stadium,CA,0,TRUE,4900 Marie P DeBartolo Way,https://seatgeek.com/venues/levi-s-stadium/tickets,levi-s-stadium,95054,Levi's Stadium,America/Los_Angeles,0.95768774,US,"Santa Clara, CA",0,-121.969,37.4023,2015-07-10T00:00:00Z,FALSE,QRCODE_TM
Rams at Seahawks,2018-04-20T00:00:00,Los Angeles Rams at Seattle Seahawks,nfl,4347128,FALSE,0.946,2018-10-07T20:25:00,2018-04-20T00:47:56,normal,https://seatgeek.com/rams-at-seahawks-tickets/10-7-2018-seattle-washington-centurylink-field/nfl/4347128,FALSE,2018-10-07T13:25:00,0.923,FALSE,FALSE,,2018-10-08T00:25:00,NA,130,12063,353,246,130,501.10678,103,2018-08-24T21:19:14Z,FALSE,QRCODE,10,"Seattle, WA 98134",339,Seattle,CenturyLink Field,WA,0,TRUE,800 Occidental Ave S,https://seatgeek.com/venues/centurylink-field/tickets,centurylink-field,98134,CenturyLink Field,America/Los_Angeles,0.87232786,US,"Seattle, WA",819,-122.33,47.6,2018-03-02T22:54:54Z,FALSE,QRCODE
Vikings at Eagles,2018-04-20T00:00:00,Minnesota Vikings at Philadelphia Eagles,nfl,4346976,FALSE,0.965,2018-10-07T20:25:00,2018-04-20T00:47:26,normal,https://seatgeek.com/vikings-at-eagles-tickets/10-7-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346976,FALSE,2018-10-07T16:25:00,0.945,FALSE,FALSE,,2018-10-08T00:25:00,NA,145,619,349,292,154,303.9192,99,2018-08-24T21:03:38Z,FALSE,QRCODE,14,"Philadelphia, PA 19148",330,Philadelphia,Lincoln Financial Field,PA,0,TRUE,1020 Pattison Ave,https://seatgeek.com/venues/lincoln-financial-field/tickets,lincoln-financial-field,19148,Lincoln Financial Field,America/New_York,0.90542685999999994,US,"Philadelphia, PA",504,-75.1675,39.9046,2015-07-10T00:00:00Z,FALSE,QRCODE_TM
Cowboys at Texans,2018-04-20T00:00:00,Dallas Cowboys at Houston Texans,nfl,4347020,FALSE,0.984,2018-10-08T00:20:00,2018-04-20T00:47:36,normal,https://seatgeek.com/cowboys-at-texans-tickets/10-7-2018-houston-texas-nrg-stadium/nfl/4347020,FALSE,2018-10-07T19:20:00,0.971,FALSE,FALSE,,2018-10-08T04:20:00,NA,214,1481,389,421,214,480.15952,163,2018-08-24T21:04:53Z,FALSE,QRCODE,44,"Houston, TX 77054",41,Houston,NRG Stadium,TX,0,TRUE,1 Reliant Park,https://seatgeek.com/venues/nrg-stadium/tickets,nrg-stadium,77054,NRG Stadium,America/Chicago,0.8624192,US,"Houston, TX",618,-95.4107,29.6847,2015-11-04T18:42:27Z,FALSE,QRCODE_TM
Baltimore Ravens at A Purple Evening,2018-08-03T00:00:00,Baltimore Ravens at A Purple Evening,sports,4474093,FALSE,0.531,2018-10-08T20:00:00,2018-08-03T16:01:06,normal,https://seatgeek.com/baltimore-ravens-at-a-purple-evening-tickets/sport/2018-10-08-4-pm/4474093,FALSE,2018-10-08T16:00:00,0.311,FALSE,FALSE,,2018-10-09T00:00:00,NA,NA,63,1,62,62,62.5,2,2015-08-04T00:00:00Z,FALSE,QRCODE_TM,7,"Baltimore, MD 21230",1121,Baltimore,M&T Bank Stadium,MD,0,TRUE,1101 Russell St,https://seatgeek.com/venues/m-t-bank-stadium/tickets,m-t-bank-stadium,21230,M&T Bank Stadium,America/New_York,0.8927189,US,"Baltimore, MD",512,-76.623,39.2774,2015-08-04T00:00:00Z,FALSE,QRCODE_TM
Redskins at Saints,2018-04-20T00:00:00,Washington Redskins at New Orleans Saints,nfl,4346971,TRUE,0.915,2018-10-09T00:15:00,2018-04-20T00:47:25,normal,https://seatgeek.com/redskins-at-saints-tickets/10-8-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346971,FALSE,2018-10-08T19:15:00,0.894,FALSE,FALSE,,2018-10-09T04:15:00,NA,62,1200,1110,180,62,203.54341,1198,2018-05-29T20:38:55Z,FALSE,QRCODE,16,"New Orleans, LA 70112",128,New Orleans,Mercedes-Benz Superdome,LA,0,TRUE,1500 Sugar Bowl Drive,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,mercedes-benz-superdome,70112,Mercedes-Benz Superdome,America/Chicago,0.8966978,US,"New Orleans, LA",622,-90.0786,29.9515,2018-08-27T20:46:59Z,FALSE,QRCODE_TM
Eagles at Giants,2018-04-20T00:00:00,Philadelphia Eagles at New York Giants,nfl,4346917,FALSE,0.953,2018-10-12T00:20:00,2018-04-20T00:47:14,normal,https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917,FALSE,2018-10-11T20:20:00,0.962,FALSE,FALSE,,2018-10-12T04:20:00,NA,146,1519,618,241,132,319.4503,342,2018-08-24T21:52:02Z,FALSE,QRCODE,15,"East Rutherford, NJ 07073",1587,East Rutherford,MetLife Stadium,NJ,0,TRUE,1 MetLife Stadium Drive,https://seatgeek.com/venues/metlife-stadium/tickets,metlife-stadium,07073,MetLife Stadium,America/New_York,0.94873494,US,"East Rutherford, NJ",501,-74.0737,40.8142,2015-09-12T14:14:07Z,FALSE,QRCODE_TM
Alabama State at South Alabama,2017-12-21T00:00:00,Alabama State Hornets at South Alabama Jaguars Football,ncaa_football,4192619,FALSE,0.627,2018-10-13T21:00:00,2017-12-21T15:00:36,normal,https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619,FALSE,2018-10-13T16:00:00,0.51,FALSE,FALSE,,2018-10-14T01:00:00,NA,20,74,5,37,20,40.75,12,NA,NA,NA,5,"Mobile, AL 36604",3716,Mobile,Ladd Peebles Stadium,AL,0,TRUE,1621 Virginia St.,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,ladd-peebles-stadium,36604,Ladd Peebles Stadium,America/Chicago,0.50177634,US,"Mobile, AL",686,-88.0761,30.6748,NA,NA,NA
Buccaneers at Falcons,2018-04-20T00:00:00,Tampa Bay Buccaneers at Atlanta Falcons,nfl,4347051,FALSE,0.902,2018-10-14T17:00:00,2018-04-20T00:47:42,normal,https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051,FALSE,2018-10-14T13:00:00,0.913,FALSE,FALSE,,2018-10-14T21:00:00,NA,68,865,872,164,71,188.60545,697,2018-08-24T21:53:35Z,FALSE,QRCODE,19,"Atlanta, GA 30313",419590,Atlanta,Mercedes-Benz Stadium,GA,0,TRUE,441 M.L.K. Jr Dr NW,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,mercedes-benz-stadium,30313,Mercedes-Benz Stadium,America/New_York,0.76958936,US,"Atlanta, GA",0,-84.4,33.76,2018-08-23T20:14:46Z,FALSE,QRCODE
Colts at Jets,2018-04-20T00:00:00,Indianapolis Colts at New York Jets,nfl,4346961,FALSE,0.929,2018-10-14T17:00:00,2018-04-20T00:47:22,normal,https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961,FALSE,2018-10-14T13:00:00,0.939,FALSE,FALSE,,2018-10-14T21:00:00,NA,37,679,992,133,42,154.39905,634,2018-08-24T21:52:02Z,FALSE,QRCODE,15,"East Rutherford, NJ 07073",1587,East Rutherford,MetLife Stadium,NJ,0,TRUE,1 MetLife Stadium Drive,https://seatgeek.com/venues/metlife-stadium/tickets,metlife-stadium,07073,MetLife Stadium,America/New_York,0.94873494,US,"East Rutherford, NJ",501,-74.0737,40.8142,2015-09-12T14:14:07Z,FALSE,QRCODE_TM
