is_open,id,title,announce_date,score,type,status,description,datetime_local,visible_until_utc,time_tbd,date_tbd,url,created_at,popularity,short_title,datetime_utc,datetime_tbd,general_admission,visible_listing_count,average_price,lowest_price_good_deals,median_price,listing_count,lowest_price,highest_price,employee_only,created_at,method,metro_code,postal_code,timezone,has_upcoming_events,id,city,extended_address,display_location,state,score,num_upcoming_events,address,slug,name,url,country,popularity,name_v2,lat,lon,employee_only,created_at,method
FALSE,4347066,Tampa Bay Buccaneers at Baltimore Ravens,2018-04-20T00:00:00,0.867,nfl,normal,,2018-12-16T13:00:00,2018-12-16T22:00:00,FALSE,FALSE,https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066,2018-04-20T00:47:44,0.777,Buccaneers at Ravens,2018-12-16T18:00:00,FALSE,NA,2164,121.170296,34,96,781,34,570,FALSE,2018-08-24T21:53:42Z,QRCODE,512,21230,America/New_York,TRUE,1121,Baltimore,"Baltimore, MD 21230","Baltimore, MD",MD,0.8927189,5,1101 Russell St,m-t-bank-stadium,M&T Bank Stadium,https://seatgeek.com/venues/m-t-bank-stadium/tickets,US,0,M&T Bank Stadium,39.2774,-76.623,FALSE,2015-08-04T00:00:00Z,QRCODE_TM
FALSE,4346945,Washington Redskins at Jacksonville Jaguars,2018-04-20T00:00:00,0.86,nfl,normal,,2018-12-16T13:00:00,2018-12-16T22:00:00,FALSE,FALSE,https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346945,2018-04-20T00:47:18,0.77,Redskins at Jaguars,2018-12-16T18:00:00,FALSE,NA,1096,142.32463,47,110,613,47,652,FALSE,2018-08-24T21:53:42Z,QRCODE,561,32202,America/New_York,TRUE,5178,Jacksonville,"Jacksonville, FL 32202","Jacksonville, FL",FL,0.83759147,6,1 Everbank Field Dr,tiaa-bank-field,TIAA Bank Field,https://seatgeek.com/venues/tiaa-bank-field/tickets,US,0,TIAA Bank Field,30.3239,-81.6373,FALSE,2015-10-17T20:03:42Z,QRCODE_TM
FALSE,4347144,Miami Dolphins at Minnesota Vikings,2018-04-20T00:00:00,0.939,nfl,normal,,2018-12-16T12:00:00,2018-12-16T22:00:00,FALSE,FALSE,https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144,2018-04-20T01:04:05,0.839,Dolphins at Vikings,2018-12-16T18:00:00,FALSE,NA,1486,268.8239,105,225,460,105,1804,FALSE,2018-08-24T21:53:42Z,QRCODE,0,55415,America/Chicago,TRUE,218451,Minneapolis,"Minneapolis, MN 55415","Minneapolis, MN",MN,0.88524246,13,401 Chicago Avenue,u-s-bank-stadium,U.S. Bank Stadium,https://seatgeek.com/venues/u-s-bank-stadium/tickets,US,0,U.S. Bank Stadium,44.97,-93.26,FALSE,2018-08-22T15:34:15Z,NONE
FALSE,4346988,Tennessee Titans at New York Giants,2018-04-20T00:00:00,0.915,nfl,normal,,2018-12-16T13:00:00,2018-12-16T22:00:00,FALSE,FALSE,https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988,2018-04-20T00:47:29,0.811,Titans at Giants,2018-12-16T18:00:00,FALSE,NA,2275,170.22728,62,133,946,62,1216,FALSE,2018-08-24T21:53:42Z,QRCODE,501,07073,America/New_York,TRUE,1587,East Rutherford,"East Rutherford, NJ 07073","East Rutherford, NJ",NJ,0.94873494,11,1 MetLife Stadium Drive,metlife-stadium,MetLife Stadium,https://seatgeek.com/venues/metlife-stadium/tickets,US,0,MetLife Stadium,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
FALSE,4347037,Oakland Raiders at Cincinnati Bengals,2018-04-20T00:00:00,0.904,nfl,normal,,2018-12-16T13:00:00,2018-12-16T22:00:00,FALSE,FALSE,https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037,2018-04-20T00:47:39,0.804,Raiders at Bengals,2018-12-16T18:00:00,FALSE,NA,993,117.784744,49,102,590,49,600,FALSE,2018-08-24T21:53:42Z,QRCODE,515,45202,America/New_York,TRUE,1124,Cincinnati,"Cincinnati, OH 45202","Cincinnati, OH",OH,0.86166537,5,1 Paul Brown Stadium,paul-brown-stadium,Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,US,0,Paul Brown Stadium,39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
FALSE,4347122,Seattle Seahawks at San Francisco 49ers,2018-04-20T00:00:00,0.957,nfl,normal,,2018-12-16T13:05:00,2018-12-17T01:05:00,FALSE,FALSE,https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122,2018-04-20T00:47:55,0.844,Seahawks at 49ers,2018-12-16T21:05:00,FALSE,NA,2212,150.18082,57,132,1095,58,721,FALSE,2018-08-24T21:53:42Z,QRCODE,0,95054,America/Los_Angeles,TRUE,58670,Santa Clara,"Santa Clara, CA 95054","Santa Clara, CA",CA,0.95768774,9,4900 Marie P DeBartolo Way,levi-s-stadium,Levi's Stadium,https://seatgeek.com/venues/levi-s-stadium/tickets,US,0,Levi's Stadium,37.4023,-121.969,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
FALSE,4347077,New England Patriots at Pittsburgh Steelers,2018-04-20T00:00:00,0.981,nfl,normal,,2018-12-16T16:25:00,2018-12-17T01:25:00,FALSE,FALSE,https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077,2018-04-20T00:47:46,0.866,Patriots at Steelers,2018-12-16T21:25:00,FALSE,NA,1811,429.7434,186,341,608,202,11029,FALSE,2018-08-24T21:53:42Z,QRCODE,508,15212,America/New_York,TRUE,1119,Pittsburgh,"Pittsburgh, PA 15212","Pittsburgh, PA",PA,0.9033526,7,100 Art Rooney Avenue,heinz-field,Heinz Field,https://seatgeek.com/venues/heinz-field/tickets,US,0,Heinz Field,40.4468,-80.0158,FALSE,2018-10-04T12:42:28Z,QRCODE
FALSE,4346919,Philadelphia Eagles at Los Angeles Rams,2018-04-20T00:00:00,0.952,nfl,normal,,2018-12-16T17:20:00,2018-12-17T05:20:00,FALSE,FALSE,https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919,2018-04-20T00:47:14,0.837,Eagles at Rams,2018-12-17T01:20:00,FALSE,NA,1690,357.84744,112,271,603,112,1937,FALSE,2018-08-24T21:53:42Z,QRCODE,0,90037,America/Los_Angeles,TRUE,51012,Los Angeles,"Los Angeles, CA 90037","Los Angeles, CA",CA,0.86898464,8,3911 S Figueroa St,los-angeles-memorial-coliseum-1,Los Angeles Memorial Coliseum,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,US,0,Los Angeles Memorial Coliseum,34.0138,-118.288,FALSE,2018-08-23T17:59:28Z,QRCODE
FALSE,4347035,New Orleans Saints at Carolina Panthers,2018-04-20T00:00:00,0.923,nfl,normal,,2018-12-17T20:15:00,2018-12-18T05:15:00,FALSE,FALSE,https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035,2018-04-20T00:47:38,0.812,Saints at Panthers,2018-12-18T01:15:00,FALSE,NA,1736,235.70105,83,167,572,83,1024,FALSE,2018-08-24T21:53:42Z,QRCODE,517,28202,America/New_York,TRUE,1122,Charlotte,"Charlotte, NC 28202","Charlotte, NC",NC,0.8968222,8,800 South Mint Street,bank-of-america-stadium,Bank of America Stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,US,0,Bank of America Stadium,35.2243,-80.8524,FALSE,2015-09-25T18:23:51Z,QRCODE_TM
FALSE,4346986,Washington Redskins at Tennessee Titans,2018-04-20T00:00:00,0.856,nfl,normal,,2018-12-23T12:00:00,2018-12-23T21:00:00,FALSE,FALSE,https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986,2018-04-20T00:47:29,0.763,Redskins at Titans,2018-12-23T17:00:00,FALSE,NA,1579,138.8125,36,120,656,36,779,FALSE,2018-08-24T21:53:43Z,QRCODE,659,37213,America/New_York,TRUE,1126,Nashville,"Nashville, TN 37213","Nashville, TN",TN,0.8546275,15,1 Titans Way,nissan-stadium,Nissan Stadium,https://seatgeek.com/venues/nissan-stadium/tickets,US,0,Nissan Stadium,36.1665,-86.7713,FALSE,2015-10-19T15:09:39Z,NONE
