"","date","timestamp","name","type","id","test","url","locale","startTBD","startDateTime","endDateTime","localDate","localTime","dateTime","dateTBD","dateTBA","timeTBA","noSpecificTime","code","timezone","spanMultipleDays","id","name","description","staticUrl","info","info"
"11","2018-12-26","2018-12-26_08.52.44","New Orleans Saints vs. Carolina Panthers","event","G5viZ4F6WMP-4",FALSE,"https://www.ticketmaster.com/new-orleans-saints-vs-carolina-panthers-new-orleans-louisiana-12-30-2018/event/1B005481FDDE5855","en-us",FALSE,NA,NA,"2018-12-30","12:00:00","2018-12-30T18:00:00Z",FALSE,FALSE,FALSE,FALSE,"offsale","America/Chicago",FALSE,"4635","SEATGEEK","SEATGEEK / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/scs/39707s.gif",NA,NA
"12","2018-12-26","2018-12-26_08.52.44","Baltimore Ravens vs. Cleveland Browns","event","1AvfZ4kGkH6RpCR",FALSE,"https://www.ticketmaster.com/baltimore-ravens-vs-cleveland-browns-baltimore-maryland-12-30-2018/event/1500546F07BD63AF","en-us",FALSE,"2018-04-20T00:00:00Z","2018-12-30T22:25:00Z","2018-12-30","16:25:00","2018-12-30T21:25:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/New_York",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/wdc/66995s.gif","There is an overall 10 ticket limit for this event.","1 ADA - 1 Companion.  2 ticket limit."
"13","2018-12-26","2018-12-26_08.52.44","New York Giants vs. Dallas Cowboys","event","k7vGF463D6VyO",FALSE,"https://www.ticketmaster.com/new-york-giants-vs-dallas-cowboys-east-rutherford-new-jersey-12-30-2018/event/00005474BB1F4E60","en-us",FALSE,"2018-04-27T16:00:00Z","2018-12-30T19:00:00Z","2018-12-30","13:00:00","2018-12-30T18:00:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/New_York",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/ny1/41546s.gif","There is a eight (8) ticket limit per household.",NA
"14","2018-12-26","2018-12-26_08.52.44","Kansas City Chiefs vs. Oakland Raiders","event","vv17bZ4kGkDNHWnW",FALSE,"https://www.ticketmaster.com/kansas-city-chiefs-vs-oakland-raiders-kansas-city-missouri-12-30-2018/event/0600546EE3F3DABD","en-us",FALSE,"2018-04-20T15:00:00Z","2018-12-30T22:25:00Z","2018-12-30","15:25:00","2018-12-30T21:25:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/Chicago",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/ch3/85301s.gif",NA,NA
"15","2018-12-26","2018-12-26_08.52.44","Green Bay Packers vs. Detroit Lions","event","vv17jZ4kGkXYYShj",FALSE,"https://www.ticketmaster.com/green-bay-packers-vs-detroit-lions-green-bay-wisconsin-12-30-2018/event/0700546FB0C336DC","en-us",FALSE,NA,NA,"2018-12-30","12:00:00","2018-12-30T18:00:00Z",FALSE,FALSE,FALSE,FALSE,"offsale","America/Chicago",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/ch5/86265s.gif","There is a 4 ticket limit per household on this event","ADA Seating: Wheelchair Accessible is a space only.  Companion are actual seats.  Please use companion seating for limited mobility as well."
"16","2018-12-26","2018-12-26_08.52.44","2019 Pro Bowl","event","1AeFZ48GknbgQj9",FALSE,"https://www.ticketmaster.com/2019-pro-bowl-orlando-florida-01-27-2019/event/2200550A98D5A717","en-us",FALSE,"2018-10-30T13:00:00Z","2019-01-27T21:00:00Z","2019-01-27","15:00:00","2019-01-27T20:00:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/New_York",FALSE,"494","PROMOTED BY VENUE","PROMOTED BY VENUE / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/fl2/88328s.gif",NA,NA
"17","2018-12-26","2018-12-26_08.52.44","Buffalo Bills vs. Miami Dolphins","event","k7vGF4krYbbyJ",FALSE,"https://www.ticketmaster.com/buffalo-bills-vs-miami-dolphins-orchard-park-new-york-12-30-2018/event/00005467B0618E66","en-us",FALSE,"2018-05-08T16:00:00Z","2018-12-30T19:00:00Z","2018-12-30","13:00:00","2018-12-30T18:00:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/New_York",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/ny1/87584s.gif","There is an 6 Ticket Limit in the Family Sections 224-227.",NA
"18","2018-12-26","2018-12-26_08.52.44","New England Patriots vs. New York Jets","event","vv177Z4kGkT9JBNw",FALSE,"https://www.ticketmaster.com/new-england-patriots-vs-new-york-foxborough-massachusetts-12-30-2018/event/0100546FD79BA8F2","en-us",FALSE,"2018-07-23T14:00:00Z","2018-12-30T19:00:00Z","2018-12-30","13:00:00","2018-12-30T18:00:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/New_York",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/ny2/ny2567a.gif","There is a four (4) ticket limit.",NA
"19","2018-12-26","2018-12-26_08.52.44","Houston Texans vs. Jacksonville Jaguars","event","G5dIZ4kPHTeyS",FALSE,"https://www.ticketmaster.com/houston-texans-vs-jacksonville-jaguars-houston-texas-12-30-2018/event/3A0054697CFC2E73","en-us",FALSE,"2018-04-27T15:00:00Z","2018-12-30T18:00:00Z","2018-12-30","12:00:00","2018-12-30T18:00:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/Chicago",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/dl2/85232s.gif",NA,"Wheelchair accessible and companion seating available for ADA seating requests.  There is a 4 ticket limit for ADA seat requests.  All ADA seating is subject to availability"
"20","2018-12-26","2018-12-26_08.52.44","Tennessee Titans VIP Packages","event","G5viZ43RmA5i8",FALSE,"https://www.ticketmastervip.com/d/tennessee-titans-packages?utm_source=ticketmaster.com&utm_medium=referral&utm_campaign=nfl_tennessee_titanss&utm_content=shell_event_search_link","en-us",FALSE,"2009-09-12T01:00:00Z","2018-12-31T06:00:00Z","2018-12-31",NA,NA,FALSE,FALSE,FALSE,TRUE,"onsale","America/Chicago",TRUE,"494","PROMOTED BY VENUE","PROMOTED BY VENUE / NTL / USA",NA,"OFF",NA
