id,datetime_local,popularity,short_title,score,status,is_open,url,title,announce_date,datetime_tbd,time_tbd,created_at,datetime_utc,visible_until_utc,date_tbd,type,description,general_admission,visible_listing_count,highest_price,lowest_price,average_price,lowest_price_good_deals,median_price,listing_count,method,employee_only,created_at,id,has_upcoming_events,state,num_upcoming_events,popularity,timezone,country,city,metro_code,url,address,extended_address,slug,display_location,postal_code,name,score,name_v2,lon,lat,method,employee_only,created_at
4347151,2018-12-09T17:20:00,0.868,Steelers at Raiders,0.947,normal,FALSE,https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151,Pittsburgh Steelers at Oakland Raiders,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T01:04:24,2018-12-10T01:20:00,2018-12-10T05:20:00,FALSE,nfl,,NA,794,1038,182,394.2137,182,366,510,QRCODE,FALSE,2018-08-24T21:53:42Z,14,TRUE,CA,22,0,America/Los_Angeles,US,Oakland,807,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,7000 Coliseum Way,"Oakland, CA 94621",oakland-alameda-county-coliseum,"Oakland, CA",94621,Oakland-Alameda County Coliseum,0.7817843,Oakland-Alameda County Coliseum,-122.201,37.7469,PDF417,FALSE,2015-06-24T00:00:00Z
4347123,2018-12-10T17:15:00,0.873,Vikings at Seahawks,0.954,normal,FALSE,https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123,Minnesota Vikings at Seattle Seahawks,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:55,2018-12-11T01:15:00,2018-12-11T05:15:00,FALSE,nfl,,NA,795,1341,142,367.5867,128,342,346,QRCODE,FALSE,2018-08-24T21:53:42Z,339,TRUE,WA,12,0,America/Los_Angeles,US,Seattle,819,https://seatgeek.com/venues/centurylink-field/tickets,800 Occidental Ave S,"Seattle, WA 98134",centurylink-field,"Seattle, WA",98134,CenturyLink Field,0.87232786,CenturyLink Field,-122.33,47.6,QRCODE,FALSE,2018-03-02T22:54:54Z
4346978,2018-12-13T19:20:00,0.821,Chargers at Chiefs,0.893,normal,FALSE,https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978,Los Angeles Chargers at Kansas City Chiefs,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:26,2018-12-14T01:20:00,2018-12-14T05:20:00,FALSE,nfl,,NA,1098,700,38,141.03104,35,124,902,QRCODE,FALSE,2018-08-24T21:53:42Z,1128,TRUE,MO,9,0,America/Chicago,US,Kansas City,616,https://seatgeek.com/venues/arrowhead-stadium/tickets,1 Arrowhead Drive,"Kansas City, MO 64129",arrowhead-stadium,"Kansas City, MO",64129,Arrowhead Stadium,0.8827867,Arrowhead Stadium,-94.4839,39.0489,QRCODE_TM,FALSE,2015-08-20T16:20:51Z
4347015,2018-12-15T16:30:00,0.863,Texans at Jets,0.941,normal,FALSE,https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015,Houston Texans at New York Jets,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:35,2018-12-15T21:30:00,2018-12-16T01:30:00,FALSE,nfl,,NA,1353,918,36,150.39346,36,123,1131,QRCODE,FALSE,2018-08-24T21:53:42Z,1587,TRUE,NJ,17,0,America/New_York,US,East Rutherford,501,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,"East Rutherford, NJ 07073",metlife-stadium,"East Rutherford, NJ",07073,MetLife Stadium,0.94873494,MetLife Stadium,-74.0737,40.8142,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
4347135,2018-12-15T14:30:00,0.833,Browns at Broncos,0.895,normal,FALSE,https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135,Cleveland Browns at Denver Broncos,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T01:04:04,2018-12-15T21:30:00,2018-12-16T01:30:00,FALSE,nfl,,NA,811,1204,115,294.06082,84,238,148,QRCODE,FALSE,2018-08-24T21:53:42Z,1131,TRUE,CO,6,0,America/Denver,US,Denver,751,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,1701 Bryant St.,"Denver, CO 80204",sports-authority-field-at-mile-high,"Denver, CO",80204,Sports Authority Field at Mile High,0.9028296,Sports Authority Field at Mile High,-105.02,39.74,QRCODE_TM,FALSE,2015-08-07T18:39:02Z
4347047,2018-12-16T13:00:00,0.864,Cardinals at Falcons,0.932,normal,FALSE,https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047,Arizona Cardinals at Atlanta Falcons,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:41,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,1297,1193,64,194.5739,62,163,1042,QRCODE,FALSE,2018-08-24T21:53:42Z,419590,TRUE,GA,19,0,America/New_York,US,Atlanta,0,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,35 Northside Dr NW,"Atlanta, GA 30313",mercedes-benz-stadium,"Atlanta, GA",30313,Mercedes-Benz Stadium,0.76958936,Mercedes-Benz Stadium,-84.4,33.76,QRCODE,FALSE,2018-08-23T20:14:46Z
4347002,2018-12-16T12:00:00,0.9,Packers at Bears,0.987,normal,FALSE,https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002,Green Bay Packers at Chicago Bears,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:32,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,NA,2225,153,404.64,169,NA,202,QRCODE,FALSE,2018-08-24T21:53:42Z,31,TRUE,IL,10,0,America/Chicago,US,Chicago,602,https://seatgeek.com/venues/soldier-field/tickets,1410 S. Museum Campus Drive,"Chicago, IL 60605",soldier-field,"Chicago, IL",60605,Soldier Field,0.940013,Soldier Field,-87.6159,41.8623,NONE,FALSE,2018-06-02T00:44:08Z
4347057,2018-12-16T13:00:00,0.822,Lions at Bills,0.887,normal,FALSE,https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057,Detroit Lions at Buffalo Bills,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:43,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,1518,640,24,85.48341,17,66,1206,QRCODE,FALSE,2018-08-24T21:53:42Z,1135,TRUE,NY,7,0,America/New_York,US,Orchard Park,514,https://seatgeek.com/venues/new-era-field/tickets,1 Bills Drive,"Orchard Park, NY 14127",new-era-field,"Orchard Park, NY",14127,New Era Field,0.8815085,New Era Field,-78.7874,42.7737,QRCODE_TM,FALSE,2015-08-12T16:52:53Z
4346955,2018-12-16T13:00:00,0.887,Cowboys at Colts,0.966,normal,FALSE,https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955,Dallas Cowboys at Indianapolis Colts,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:20,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,NA,1974,104,282.14,104,NA,485,QRCODE,FALSE,2018-08-24T21:53:42Z,1130,TRUE,IN,14,0,America/Indiana/Indianapolis,US,Indianapolis,527,https://seatgeek.com/venues/lucas-oil-stadium/tickets,500 South Capitol Avenue,"Indianapolis, IN 46225",lucas-oil-stadium,"Indianapolis, IN",46225,Lucas Oil Stadium,0.9071682,Lucas Oil Stadium,-86.1639,39.7601,QRCODE_TM,FALSE,2018-09-13T22:29:37Z
4347066,2018-12-16T13:00:00,0.807,Buccaneers at Ravens,0.87,normal,FALSE,https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066,Tampa Bay Buccaneers at Baltimore Ravens,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:44,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,1431,607,39,126.65374,33,95,748,QRCODE,FALSE,2018-08-24T21:53:42Z,1121,TRUE,MD,8,0,America/New_York,US,Baltimore,512,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1101 Russell St,"Baltimore, MD 21230",m-t-bank-stadium,"Baltimore, MD",21230,M&T Bank Stadium,0.8927189,M&T Bank Stadium,-76.623,39.2774,QRCODE_TM,FALSE,2015-08-04T00:00:00Z
