id,type,time_tbd,title,visible_until_utc,created_at,datetime_utc,is_open,description,url,announce_date,short_title,status,datetime_tbd,date_tbd,popularity,datetime_local,score,general_admission,listing_count,average_price,lowest_price,median_price,visible_listing_count,highest_price,lowest_price_good_deals,method,employee_only,created_at,id,name_v2,num_upcoming_events,country,score,timezone,postal_code,extended_address,slug,url,address,has_upcoming_events,display_location,metro_code,popularity,state,name,city,lat,lon,method,employee_only,created_at
4347094,nfl,FALSE,Minnesota Vikings at New England Patriots,2018-12-03T01:25:00,2018-04-20T00:47:50,2018-12-02T21:25:00,FALSE,,https://seatgeek.com/vikings-at-patriots-tickets/12-2-2018-foxborough-massachusetts-gillette-stadium/nfl/4347094,2018-04-20T00:00:00,Vikings at Patriots,normal,FALSE,FALSE,0.896,2018-12-02T16:25:00,0.958,NA,124,557.6129,207,434,557,1235,207,QRCODE,FALSE,2018-08-24T21:53:41Z,33,Gillette Stadium,14,US,0.8983344,America/New_York,02035,"Foxborough, MA 02035",gillette-stadium,https://seatgeek.com/venues/gillette-stadium/tickets,1 Patriot Place,TRUE,"Foxborough, MA",506,0,MA,Gillette Stadium,Foxborough,42.0906,-71.2674,NONE,FALSE,2018-08-22T15:36:58Z
4347124,nfl,FALSE,San Francisco 49ers at Seattle Seahawks,2018-12-03T05:20:00,2018-04-20T00:47:55,2018-12-03T01:20:00,FALSE,,https://seatgeek.com/49ers-at-seahawks-tickets/12-2-2018-seattle-washington-centurylink-field/nfl/4347124,2018-04-20T00:00:00,49ers at Seahawks,normal,FALSE,FALSE,0.885,2018-12-02T17:20:00,0.962,NA,283,425.88693,176,398,840,1337,140,QRCODE,FALSE,2018-08-24T21:53:41Z,339,CenturyLink Field,11,US,0.87232786,America/Los_Angeles,98134,"Seattle, WA 98134",centurylink-field,https://seatgeek.com/venues/centurylink-field/tickets,800 Occidental Ave S,TRUE,"Seattle, WA",819,0,WA,CenturyLink Field,Seattle,47.6,-122.33,QRCODE,FALSE,2018-03-02T22:54:54Z
4346936,nfl,FALSE,Washington Redskins at Philadelphia Eagles,2018-12-04T05:15:00,2018-04-20T00:47:17,2018-12-04T01:15:00,FALSE,,https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936,2018-04-20T00:00:00,Redskins at Eagles,normal,FALSE,FALSE,0.857,2018-12-03T20:15:00,0.929,NA,627,312.36365,147,261,1168,1188,122,QRCODE,FALSE,2018-08-24T21:53:41Z,330,Lincoln Financial Field,14,US,0.90542685999999994,America/New_York,19148,"Philadelphia, PA 19148",lincoln-financial-field,https://seatgeek.com/venues/lincoln-financial-field/tickets,1020 Pattison Ave,TRUE,"Philadelphia, PA",504,0,PA,Lincoln Financial Field,Philadelphia,39.9046,-75.1675,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
4346987,nfl,FALSE,Jacksonville Jaguars at Tennessee Titans,2018-12-07T04:20:00,2018-04-20T00:47:29,2018-12-07T00:20:00,FALSE,,https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987,2018-04-20T00:00:00,Jaguars at Titans,normal,FALSE,FALSE,0.768,2018-12-06T19:20:00,0.827,NA,631,145.55309,38,121,925,2276,36,QRCODE,FALSE,2018-08-24T21:53:42Z,1126,Nissan Stadium,16,US,0.8546275,America/New_York,37213,"Nashville, TN 37213",nissan-stadium,https://seatgeek.com/venues/nissan-stadium/tickets,1 Titans Way,TRUE,"Nashville, TN",659,0,TN,Nissan Stadium,Nashville,36.1665,-86.7713,NONE,FALSE,2015-10-19T15:09:39Z
4346926,nfl,FALSE,New Orleans Saints at Tampa Bay Buccaneers,2018-12-09T22:00:00,2018-04-20T00:47:15,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926,2018-04-20T00:00:00,Saints at Buccaneers,normal,FALSE,FALSE,0.827,2018-12-09T13:00:00,0.897,NA,31,232.41936,81,182,248,962,74,QRCODE,FALSE,2018-08-24T21:53:42Z,39,Raymond James Stadium,15,US,0.86513025,America/New_York,33607,"Tampa, FL 33607",raymond-james-stadium,https://seatgeek.com/venues/raymond-james-stadium/tickets,4201 North Dale Mabry Highway,TRUE,"Tampa, FL",539,0,FL,Raymond James Stadium,Tampa,27.9753,-82.5034,QRCODE_TM,FALSE,2015-08-24T14:44:53Z
4346995,nfl,FALSE,Carolina Panthers at Cleveland Browns,2018-12-09T22:00:00,2018-04-20T00:47:31,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995,2018-04-20T00:00:00,Panthers at Browns,normal,FALSE,FALSE,0.826,2018-12-09T13:00:00,0.885,NA,1179,109.23495,40,92,1303,1174,34,QRCODE,FALSE,2018-08-24T21:53:42Z,1123,FirstEnergy Stadium,6,US,0.86852187,America/New_York,44114,"Cleveland, OH 44114",firstenergy-stadium-15,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,100 Alfred Lerner Way,TRUE,"Cleveland, OH",510,0,OH,FirstEnergy Stadium,Cleveland,41.5065,-81.7,NONE,FALSE,2015-11-11T20:55:31Z
4347003,nfl,FALSE,Los Angeles Rams at Chicago Bears,2018-12-09T22:00:00,2018-04-20T00:47:32,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003,2018-04-20T00:00:00,Rams at Bears,normal,FALSE,FALSE,0.828,2018-12-09T12:00:00,0.895,NA,158,332.5,123,254,856,2227,123,QRCODE,FALSE,2018-08-24T21:53:42Z,31,Soldier Field,8,US,0.940013,America/Chicago,60605,"Chicago, IL 60605",soldier-field,https://seatgeek.com/venues/soldier-field/tickets,1410 S. Museum Campus Drive,TRUE,"Chicago, IL",602,0,IL,Soldier Field,Chicago,41.8623,-87.6159,NONE,FALSE,2018-06-02T00:44:08Z
4347086,nfl,FALSE,New England Patriots at Miami Dolphins,2018-12-09T22:00:00,2018-04-20T00:47:48,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086,2018-04-20T00:00:00,Patriots at Dolphins,normal,FALSE,FALSE,0.875,2018-12-09T13:00:00,0.956,NA,215,411.79535,193,363,816,1679,174,QRCODE,FALSE,2018-08-24T21:53:42Z,29,Hard Rock Stadium,35,US,0.8378203,America/New_York,33056,"Miami Gardens, FL 33056",hard-rock-stadium,https://seatgeek.com/venues/hard-rock-stadium/tickets,347 Don Shula Dr.,TRUE,"Miami Gardens, FL",528,0,FL,Hard Rock Stadium,Miami Gardens,25.96,-80.24,NONE,FALSE,2017-10-03T18:58:44Z
4347059,nfl,FALSE,New York Jets at Buffalo Bills,2018-12-09T22:00:00,2018-04-20T00:47:43,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/jets-at-bills-tickets/12-9-2018-orchard-park-new-york-new-era-field/nfl/4347059,2018-04-20T00:00:00,Jets at Bills,normal,FALSE,FALSE,0.816,2018-12-09T13:00:00,0.876,NA,1331,85.323814,23,61,1437,643,23,QRCODE,FALSE,2018-08-24T21:53:42Z,1135,New Era Field,7,US,0.8815085,America/New_York,14127,"Orchard Park, NY 14127",new-era-field,https://seatgeek.com/venues/new-era-field/tickets,1 Bills Drive,TRUE,"Orchard Park, NY",514,0,NY,New Era Field,Orchard Park,42.7737,-78.7874,QRCODE_TM,FALSE,2015-08-12T16:52:53Z
4347014,nfl,FALSE,Indianapolis Colts at Houston Texans,2018-12-09T22:00:00,2018-04-20T00:47:35,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014,2018-04-20T00:00:00,Colts at Texans,normal,FALSE,FALSE,0.841,2018-12-09T12:00:00,0.914,NA,617,174.03404,30,133,1049,2226,30,QRCODE,FALSE,2018-08-24T21:53:42Z,41,NRG Stadium,44,US,0.8624192,America/Chicago,77054,"Houston, TX 77054",nrg-stadium,https://seatgeek.com/venues/nrg-stadium/tickets,1 Reliant Park,TRUE,"Houston, TX",618,0,TX,NRG Stadium,Houston,29.6847,-95.4107,QRCODE_TM,FALSE,2015-11-04T18:42:27Z
