created_at,status,title,url,datetime_local,date_tbd,score,visible_until_utc,datetime_tbd,type,announce_date,time_tbd,datetime_utc,popularity,short_title,id,description,is_open,general_admission,median_price,visible_listing_count,highest_price,listing_count,lowest_price_good_deals,average_price,lowest_price,employee_only,created_at,method,city,postal_code,url,name_v2,score,popularity,address,slug,display_location,timezone,name,state,has_upcoming_events,country,num_upcoming_events,id,extended_address,lat,lon,employee_only,created_at,method
2018-04-20T00:47:16,normal,Cleveland Browns at Tampa Bay Buccaneers,https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931,2018-10-21T13:00:00,FALSE,0.86,2018-10-21T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-21T17:00:00,0.837,Browns at Buccaneers,4346931,,FALSE,NA,NA,NA,649,24,83,241.21,83,FALSE,2018-08-24T21:53:38Z,QRCODE,Tampa,33607,https://seatgeek.com/venues/raymond-james-stadium/tickets,Raymond James Stadium,0.86513025,0,4201 North Dale Mabry Highway,raymond-james-stadium,"Tampa, FL",America/New_York,Raymond James Stadium,FL,TRUE,US,15,39,"Tampa, FL 33607",27.9753,-82.5034,FALSE,2015-08-24T14:44:53Z,QRCODE_TM
2018-04-20T00:47:47,normal,Detroit Lions at Miami Dolphins,https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084,2018-10-21T13:00:00,FALSE,0.875,2018-10-21T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-21T17:00:00,0.848,Lions at Dolphins,4347084,,FALSE,NA,NA,NA,899,183,52,156.21,52,FALSE,2018-08-24T21:53:38Z,QRCODE,Miami Gardens,33056,https://seatgeek.com/venues/hard-rock-stadium/tickets,Hard Rock Stadium,0.8378203,0,347 Don Shula Dr.,hard-rock-stadium,"Miami Gardens, FL",America/New_York,Hard Rock Stadium,FL,TRUE,US,37,29,"Miami Gardens, FL 33056",25.96,-80.24,FALSE,2017-10-03T18:58:44Z,NONE
2018-04-20T00:47:39,normal,Carolina Panthers at Philadelphia Eagles,https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036,2018-10-21T13:00:00,FALSE,0.92,2018-10-21T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-21T17:00:00,0.889,Panthers at Eagles,4347036,,FALSE,NA,NA,NA,3679,393,168,432.12,168,FALSE,2018-08-24T21:53:38Z,QRCODE,Philadelphia,19148,https://seatgeek.com/venues/lincoln-financial-field/tickets,Lincoln Financial Field,0.90542685999999994,0,1020 Pattison Ave,lincoln-financial-field,"Philadelphia, PA",America/New_York,Lincoln Financial Field,PA,TRUE,US,16,330,"Philadelphia, PA 19148",39.9046,-75.1675,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
2018-04-20T00:47:27,normal,Cincinnati Bengals at Kansas City Chiefs,https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982,2018-10-21T12:00:00,FALSE,0.881,2018-10-21T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-21T17:00:00,0.856,Bengals at Chiefs,4346982,,FALSE,NA,NA,NA,602,1006,44,136.03,42,FALSE,2018-08-24T21:53:38Z,QRCODE,Kansas City,64129,https://seatgeek.com/venues/arrowhead-stadium/tickets,Arrowhead Stadium,0.8827867,0,1 Arrowhead Drive,arrowhead-stadium,"Kansas City, MO",America/Chicago,Arrowhead Stadium,MO,TRUE,US,9,1128,"Kansas City, MO 64129",39.0489,-94.4839,FALSE,2015-08-20T16:20:51Z,QRCODE_TM
2018-04-20T00:47:19,normal,Houston Texans at Jacksonville Jaguars,https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948,2018-10-21T13:00:00,FALSE,0.801,2018-10-21T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-21T17:00:00,0.79,Texans at Jaguars,4346948,,FALSE,NA,NA,NA,588,691,51,127.69,51,FALSE,2018-08-24T21:53:38Z,QRCODE,Jacksonville,32202,https://seatgeek.com/venues/tiaa-bank-field/tickets,TIAA Bank Field,0.83759147,0,1 Everbank Field Dr,tiaa-bank-field,"Jacksonville, FL",America/New_York,TIAA Bank Field,FL,TRUE,US,10,5178,"Jacksonville, FL 32202",30.3239,-81.6373,FALSE,2015-10-17T20:03:42Z,QRCODE_TM
2018-04-20T00:47:45,normal,New Orleans Saints at Baltimore Ravens,https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071,2018-10-21T16:05:00,FALSE,0.859,2018-10-22T00:05:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-21T20:05:00,0.837,Saints at Ravens,4347071,,FALSE,NA,NA,NA,607,515,57,153.97,57,FALSE,2018-08-24T21:53:38Z,QRCODE,Baltimore,21230,https://seatgeek.com/venues/m-t-bank-stadium/tickets,M&T Bank Stadium,0.8927189,0,1101 Russell St,m-t-bank-stadium,"Baltimore, MD",America/New_York,M&T Bank Stadium,MD,TRUE,US,8,1121,"Baltimore, MD 21230",39.2774,-76.623,FALSE,2015-08-04T00:00:00Z,QRCODE_TM
2018-04-20T00:47:18,normal,Dallas Cowboys at Washington Redskins,https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941,2018-10-21T16:25:00,FALSE,0.963,2018-10-22T00:25:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-21T20:25:00,0.926,Cowboys at Redskins,4346941,,FALSE,NA,NA,NA,1248,615,199,378.74,199,FALSE,2018-08-24T21:53:38Z,QRCODE,Landover,20785,https://seatgeek.com/venues/fedex-field/tickets,FedEx Field,0.9333444,0,1600 Fedex Way,fedex-field,"Landover, MD",America/New_York,FedEx Field,MD,TRUE,US,9,35,"Landover, MD 20785",38.9071,-76.8658,FALSE,2015-09-12T14:13:58Z,QRCODE_TM
2018-04-20T00:47:54,normal,Los Angeles Rams at San Francisco 49ers,https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118,2018-10-21T17:20:00,FALSE,0.927,2018-10-22T04:20:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-22T00:20:00,0.892,Rams at 49ers,4347118,,FALSE,NA,NA,NA,2989,905,104,258.68,104,FALSE,2018-08-24T21:53:38Z,QRCODE,Santa Clara,95054,https://seatgeek.com/venues/levi-s-stadium/tickets,Levi's Stadium,0.95768774,0,4900 Marie P DeBartolo Way,levi-s-stadium,"Santa Clara, CA",America/Los_Angeles,Levi's Stadium,CA,TRUE,US,13,58670,"Santa Clara, CA 95054",37.4023,-121.969,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
2018-04-20T00:47:42,normal,New York Giants at Atlanta Falcons,https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050,2018-10-22T20:15:00,FALSE,0.927,2018-10-23T04:15:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-10-23T00:15:00,0.894,Giants at Falcons,4347050,,FALSE,NA,NA,NA,1791,688,121,320.03,121,FALSE,2018-08-24T21:53:38Z,QRCODE,Atlanta,30313,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,Mercedes-Benz Stadium,0.76958936,0,441 M.L.K. Jr Dr NW,mercedes-benz-stadium,"Atlanta, GA",America/New_York,Mercedes-Benz Stadium,GA,TRUE,US,15,419590,"Atlanta, GA 30313",33.76,-84.4,FALSE,2018-08-23T20:14:46Z,QRCODE
2018-02-28T15:00:17,normal,Troy Trojans at South Alabama Jaguars Football,https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985,2018-10-23T19:00:00,FALSE,0.296,2018-10-24T04:00:00,FALSE,ncaa_football,2018-02-28T00:00:00,FALSE,2018-10-24T00:00:00,0.363,Troy at South Alabama,4281985,,FALSE,NA,NA,NA,93,26,27,43.75,27,NA,NA,NA,Mobile,36604,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,Ladd Peebles Stadium,0.50177634,0,1621 Virginia St.,ladd-peebles-stadium,"Mobile, AL",America/Chicago,Ladd Peebles Stadium,AL,TRUE,US,7,3716,"Mobile, AL 36604",30.6748,-88.0761,NA,NA,NA
