id,created_at,popularity,status,datetime_local,is_open,time_tbd,score,description,visible_until_utc,type,url,title,short_title,announce_date,datetime_tbd,date_tbd,datetime_utc,general_admission,listing_count,highest_price,average_price,visible_listing_count,lowest_price,lowest_price_good_deals,median_price,method,created_at,employee_only,id,num_upcoming_events,state,extended_address,display_location,name_v2,city,metro_code,score,has_upcoming_events,address,slug,postal_code,url,country,timezone,name,popularity,lon,lat,method,created_at,employee_only
4347068,2018-04-20T00:47:45,0.827,normal,2018-11-18T13:00:00,FALSE,FALSE,0.853,,2018-11-18T22:00:00,nfl,https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068,Cincinnati Bengals at Baltimore Ravens,Bengals at Ravens,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,658,553,127.455925,1167,40,40,99,QRCODE,2018-08-24T21:53:40Z,FALSE,1121,8,MD,"Baltimore, MD 21230","Baltimore, MD",M&T Bank Stadium,Baltimore,512,0.8927189,TRUE,1101 Russell St,m-t-bank-stadium,21230,https://seatgeek.com/venues/m-t-bank-stadium/tickets,US,America/New_York,M&T Bank Stadium,0,-76.623,39.2774,QRCODE_TM,2015-08-04T00:00:00Z,FALSE
4347049,2018-04-20T00:47:41,0.935,normal,2018-11-18T13:00:00,FALSE,FALSE,0.978,,2018-11-18T22:00:00,nfl,https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049,Dallas Cowboys at Atlanta Falcons,Cowboys at Falcons,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,688,2206,465.5465,1056,219,219,388,QRCODE,2018-08-24T21:53:40Z,FALSE,419590,19,GA,"Atlanta, GA 30313","Atlanta, GA",Mercedes-Benz Stadium,Atlanta,0,0.76958936,TRUE,35 Northside Dr NW,mercedes-benz-stadium,30313,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,US,America/New_York,Mercedes-Benz Stadium,0,-84.4,33.76,QRCODE,2018-08-23T20:14:46Z,FALSE
4347005,2018-04-20T00:47:32,0.893,normal,2018-11-18T12:00:00,FALSE,FALSE,0.932,,2018-11-18T22:00:00,nfl,https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005,Minnesota Vikings at Chicago Bears,Vikings at Bears,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,134,1196,361.77612,859,139,139,314,QRCODE,2018-08-24T21:53:40Z,FALSE,31,9,IL,"Chicago, IL 60605","Chicago, IL",Soldier Field,Chicago,602,0.940013,TRUE,1410 S. Museum Campus Drive,soldier-field,60605,https://seatgeek.com/venues/soldier-field/tickets,US,America/Chicago,Soldier Field,0,-87.6159,41.8623,NONE,2018-06-02T00:44:08Z,FALSE
4347025,2018-04-20T00:47:37,0.901,normal,2018-11-18T13:00:00,FALSE,FALSE,0.931,,2018-11-18T22:00:00,nfl,https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025,Carolina Panthers at Detroit Lions,Panthers at Lions,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,702,2393,156.5342,979,67,41,127,QRCODE,2018-08-24T21:53:40Z,FALSE,346,11,MI,"Detroit, MI 48226","Detroit, MI",Ford Field,Detroit,505,0.9029952,TRUE,2000 Brush St.,ford-field,48226,https://seatgeek.com/venues/ford-field/tickets,US,America/Detroit,Ford Field,0,-83.0459,42.34,NONE,2015-11-04T17:31:52Z,FALSE
4346969,2018-04-20T00:47:25,0.889,normal,2018-11-18T12:00:00,TRUE,FALSE,0.92,,2018-11-18T22:00:00,nfl,https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969,Philadelphia Eagles at New Orleans Saints,Eagles at Saints,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,1357,3000,390.69,NA,160,160,NA,QRCODE,2018-05-29T20:39:16Z,FALSE,128,17,LA,"New Orleans, LA 70112","New Orleans, LA",Mercedes-Benz Superdome,New Orleans,622,0.8966978,TRUE,1500 Sugar Bowl Drive,mercedes-benz-superdome,70112,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,US,America/Chicago,Mercedes-Benz Superdome,0,-90.0786,29.9515,QRCODE_TM,2018-08-27T20:46:59Z,FALSE
4346929,2018-04-20T00:47:16,0.884,normal,2018-11-18T13:00:00,FALSE,FALSE,0.921,,2018-11-18T22:00:00,nfl,https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929,Tampa Bay Buccaneers at New York Giants,Buccaneers at Giants,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,612,1488,256.17,NA,96,96,NA,QRCODE,2018-08-24T21:53:40Z,FALSE,1587,15,NJ,"East Rutherford, NJ 07073","East Rutherford, NJ",MetLife Stadium,East Rutherford,501,0.94873494,TRUE,1 MetLife Stadium Drive,metlife-stadium,07073,https://seatgeek.com/venues/metlife-stadium/tickets,US,America/New_York,MetLife Stadium,0,-74.0737,40.8142,QRCODE_TM,2015-09-12T14:14:07Z,FALSE
4346957,2018-04-20T00:47:22,0.851,normal,2018-11-18T13:00:00,FALSE,FALSE,0.871,,2018-11-18T22:00:00,nfl,https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957,Tennessee Titans at Indianapolis Colts,Titans at Colts,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,738,441,103.26016,1088,30,30,78,QRCODE,2018-08-24T21:53:40Z,FALSE,1130,13,IN,"Indianapolis, IN 46225","Indianapolis, IN",Lucas Oil Stadium,Indianapolis,527,0.9071682,TRUE,500 South Capitol Avenue,lucas-oil-stadium,46225,https://seatgeek.com/venues/lucas-oil-stadium/tickets,US,America/Indiana/Indianapolis,Lucas Oil Stadium,0,-86.1639,39.7601,QRCODE_TM,2018-09-13T22:29:37Z,FALSE
4346939,2018-04-20T00:47:17,0.894,normal,2018-11-18T13:00:00,FALSE,FALSE,0.928,,2018-11-18T22:00:00,nfl,https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939,Houston Texans at Washington Redskins,Texans at Redskins,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T18:00:00,NA,882,465,168.45691,1205,82,79,151,QRCODE,2018-08-24T21:53:40Z,FALSE,35,7,MD,"Landover, MD 20785","Landover, MD",FedEx Field,Landover,511,0.9333444,TRUE,1600 Fedex Way,fedex-field,20785,https://seatgeek.com/venues/fedex-field/tickets,US,America/New_York,FedEx Field,0,-76.8658,38.9071,QRCODE_TM,2015-09-12T14:13:58Z,FALSE
4347100,2018-04-20T00:47:51,0.908,normal,2018-11-18T14:05:00,FALSE,FALSE,0.941,,2018-11-19T01:05:00,nfl,https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100,Oakland Raiders at Arizona Cardinals,Raiders at Cardinals,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T21:05:00,NA,546,851,262.489,899,109,104,243,QRCODE,2018-08-24T21:53:40Z,FALSE,43,10,AZ,"Glendale, AZ 85305","Glendale, AZ",State Farm Stadium,Glendale,753,0.93402725,TRUE,1 Cardinals Drive,state-farm-stadium,85305,https://seatgeek.com/venues/state-farm-stadium/tickets,US,America/Phoenix,State Farm Stadium,0,-112.262,33.5294,NONE,2015-12-21T17:26:05Z,FALSE
4347110,2018-04-20T00:47:52,0.91,normal,2018-11-18T13:05:00,FALSE,FALSE,0.96,,2018-11-19T01:05:00,nfl,https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110,Denver Broncos at Los Angeles Chargers,Broncos at Chargers,2018-04-20T00:00:00,FALSE,FALSE,2018-11-18T21:05:00,NA,402,738,273.22885,534,175,175,232,QRCODE,2018-08-24T21:53:40Z,FALSE,52,15,CA,"Carson, CA 90746","Carson, CA",StubHub Center,Carson,803,0.7228164,TRUE,18400 Avalon Blvd,stubhub-center,90746,https://seatgeek.com/venues/stubhub-center/tickets,US,America/Los_Angeles,StubHub Center,0,-118.261,33.8643,NA,NA,NA
4346947,2018-04-20T00:47:19,0.862,normal,2018-11-18T20:20:00,FALSE,FALSE,0.902,,2018-11-19T05:20:00,nfl,https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-everbank-field/nfl/4346947,Pittsburgh Steelers at Jacksonville Jaguars,Steelers at Jaguars,2018-04-20T00:00:00,FALSE,FALSE,2018-11-19T01:20:00,NA,471,123594,608.25055,822,138,138,307,QRCODE,2018-08-24T21:53:40Z,FALSE,5178,9,FL,"Jacksonville, FL 32202","Jacksonville, FL",EverBank Field,Jacksonville,561,0.83759147,TRUE,1 Everbank Field Dr,everbank-field,32202,https://seatgeek.com/venues/everbank-field/tickets,US,America/New_York,EverBank Field,0,-81.6373,30.3239,QRCODE_TM,2015-10-17T20:03:42Z,FALSE
4347137,2018-04-20T01:04:04,0.903,normal,2018-11-19T19:15:00,FALSE,FALSE,0.945,,2018-11-20T05:15:00,nfl,https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137,Kansas City Chiefs at Los Angeles Rams,Chiefs at Rams,2018-04-20T00:00:00,FALSE,FALSE,2018-11-20T01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,QRCODE,2018-08-24T21:53:40Z,FALSE,41952,1,NA,"Mexico City, Mexico","Mexico City, Mexico",Estadio Azteca,Mexico City,0,0,TRUE,Calzada de Tlalpan 3665,estadio-azteca-2,04950,https://seatgeek.com/venues/estadio-azteca-2/tickets,Mexico,America/Mexico_City,Estadio Azteca,0,-99.15,19.3,NA,NA,NA
4347024,2018-04-20T00:47:36,0.911,normal,2018-11-22T12:30:00,FALSE,FALSE,0.948,,2018-11-22T21:30:00,nfl,https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024,Chicago Bears at Detroit Lions,Bears at Lions,2018-04-20T00:00:00,FALSE,FALSE,2018-11-22T17:30:00,NA,628,2408,221.55414,892,97,97,180,QRCODE,2018-08-24T21:53:40Z,FALSE,346,11,MI,"Detroit, MI 48226","Detroit, MI",Ford Field,Detroit,505,0.9029952,TRUE,2000 Brush St.,ford-field,48226,https://seatgeek.com/venues/ford-field/tickets,US,America/Detroit,Ford Field,0,-83.0459,42.34,NONE,2015-11-04T17:31:52Z,FALSE
4327921,2018-04-05T23:08:47,0.945,normal,2018-11-22T15:30:00,TRUE,FALSE,0.998,,2018-11-23T01:30:00,nfl,https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921,Washington Redskins at Dallas Cowboys,Redskins at Cowboys,2018-04-05T00:00:00,FALSE,FALSE,2018-11-22T21:30:00,NA,3117,3375,388.64005,2396,37,37,321,QRCODE,2018-04-17T22:02:33Z,FALSE,4965,22,TX,"Arlington, TX 76011","Arlington, TX",AT&T Stadium,Arlington,623,0.9751414,TRUE,1 AT&T Way,at-t-stadium,76011,https://seatgeek.com/venues/at-t-stadium/tickets,US,America/Chicago,AT&T Stadium,0,-97.0957,32.7459,QRCODE,2018-04-17T22:02:33Z,FALSE
4346968,2018-04-20T00:47:24,0.865,normal,2018-11-22T19:20:00,TRUE,FALSE,0.902,,2018-11-23T05:20:00,nfl,https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968,Atlanta Falcons at New Orleans Saints,Falcons at Saints,2018-04-20T00:00:00,FALSE,FALSE,2018-11-23T01:20:00,NA,1358,4200,318.39545,1208,120,120,296,QRCODE,2018-05-29T20:39:22Z,FALSE,128,17,LA,"New Orleans, LA 70112","New Orleans, LA",Mercedes-Benz Superdome,New Orleans,622,0.8966978,TRUE,1500 Sugar Bowl Drive,mercedes-benz-superdome,70112,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,US,America/Chicago,Mercedes-Benz Superdome,0,-90.0786,29.9515,QRCODE_TM,2018-08-27T20:46:59Z,FALSE
4281983,2018-02-28T15:00:16,0.344,normal,2018-11-23T14:00:00,FALSE,FALSE,0.293,,2018-11-24T00:00:00,ncaa_football,https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-2-pm/4281983,Coastal Carolina Chanticleers at South Alabama Jaguars Football,Coastal Carolina at South Alabama,2018-02-28T00:00:00,FALSE,FALSE,2018-11-23T20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3716,5,AL,"Mobile, AL 36604","Mobile, AL",Ladd Peebles Stadium,Mobile,686,0.50177634,TRUE,1621 Virginia St.,ladd-peebles-stadium,36604,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,US,America/Chicago,Ladd Peebles Stadium,0,-88.0761,30.6748,NA,NA,NA
4346918,2018-04-20T00:47:14,0.908,normal,2018-11-25T13:00:00,FALSE,FALSE,0.955,,2018-11-25T22:00:00,nfl,https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918,New York Giants at Philadelphia Eagles,Giants at Eagles,2018-04-20T00:00:00,FALSE,FALSE,2018-11-25T18:00:00,NA,398,1242,413.3442,1038,142,139,350,QRCODE,2018-08-24T21:53:40Z,FALSE,330,16,PA,"Philadelphia, PA 19148","Philadelphia, PA",Lincoln Financial Field,Philadelphia,504,0.90542685999999994,TRUE,1020 Pattison Ave,lincoln-financial-field,19148,https://seatgeek.com/venues/lincoln-financial-field/tickets,US,America/New_York,Lincoln Financial Field,0,-75.1675,39.9046,QRCODE_TM,2015-07-10T00:00:00Z,FALSE
4347039,2018-04-20T00:47:39,0.854,normal,2018-11-25T13:00:00,FALSE,FALSE,0.893,,2018-11-25T22:00:00,nfl,https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039,Cleveland Browns at Cincinnati Bengals,Browns at Bengals,2018-04-20T00:00:00,FALSE,FALSE,2018-11-25T18:00:00,NA,542,423,114.743546,926,56,52,102,QRCODE,2018-08-24T21:53:40Z,FALSE,1124,7,OH,"Cincinnati, OH 45202","Cincinnati, OH",Paul Brown Stadium,Cincinnati,515,0.86166537,TRUE,1 Paul Brown Stadium,paul-brown-stadium,45202,https://seatgeek.com/venues/paul-brown-stadium/tickets,US,America/New_York,Paul Brown Stadium,0,-84.5177,39.0961,QRCODE_TM,2015-10-09T16:14:37Z,FALSE
4347058,2018-04-20T00:47:43,0.853,normal,2018-11-25T13:00:00,FALSE,FALSE,0.886,,2018-11-25T22:00:00,nfl,https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058,Jacksonville Jaguars at Buffalo Bills,Jaguars at Bills,2018-04-20T00:00:00,FALSE,FALSE,2018-11-25T18:00:00,NA,1267,640,92.41279,1495,27,25,71,QRCODE,2018-08-24T21:53:41Z,FALSE,1135,7,NY,"Orchard Park, NY 14127","Orchard Park, NY",New Era Field,Orchard Park,514,0.8815085,TRUE,1 Bills Drive,new-era-field,14127,https://seatgeek.com/venues/new-era-field/tickets,US,America/New_York,New Era Field,0,-78.7874,42.7737,QRCODE_TM,2015-08-12T16:52:53Z,FALSE
4347125,2018-04-20T00:47:55,0.875,normal,2018-11-25T13:00:00,FALSE,FALSE,0.917,,2018-11-25T22:00:00,nfl,https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125,Seattle Seahawks at Carolina Panthers,Seahawks at Panthers,2018-04-20T00:00:00,FALSE,FALSE,2018-11-25T18:00:00,NA,503,1196,228.87,NA,90,90,NA,QRCODE,2018-08-24T21:53:41Z,FALSE,1122,9,NC,"Charlotte, NC 28202","Charlotte, NC",Bank of America Stadium,Charlotte,517,0.8968222,TRUE,800 South Mint Street,bank-of-america-stadium,28202,https://seatgeek.com/venues/bank-of-america-stadium/tickets,US,America/New_York,Bank of America Stadium,0,-80.8524,35.2243,QRCODE_TM,2015-09-25T18:23:51Z,FALSE
4347067,2018-04-20T00:47:44,0.835,normal,2018-11-25T13:00:00,FALSE,FALSE,0.871,,2018-11-25T22:00:00,nfl,https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067,Oakland Raiders at Baltimore Ravens,Raiders at Ravens,2018-04-20T00:00:00,FALSE,FALSE,2018-11-25T18:00:00,NA,590,724,178.38814,1066,67,66,138,QRCODE,2018-08-24T21:53:41Z,FALSE,1121,8,MD,"Baltimore, MD 21230","Baltimore, MD",M&T Bank Stadium,Baltimore,512,0.8927189,TRUE,1101 Russell St,m-t-bank-stadium,21230,https://seatgeek.com/venues/m-t-bank-stadium/tickets,US,America/New_York,M&T Bank Stadium,0,-76.623,39.2774,QRCODE_TM,2015-08-04T00:00:00Z,FALSE
4347098,2018-04-20T00:47:50,0.928,normal,2018-11-25T13:00:00,FALSE,FALSE,0.985,,2018-11-25T22:00:00,nfl,https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098,New England Patriots at New York Jets,Patriots at Jets,2018-04-20T00:00:00,FALSE,FALSE,2018-11-25T18:00:00,NA,707,6037,309.93494,1169,109,96,262,QRCODE,2018-08-24T21:53:41Z,FALSE,1587,15,NJ,"East Rutherford, NJ 07073","East Rutherford, NJ",MetLife Stadium,East Rutherford,501,0.94873494,TRUE,1 MetLife Stadium Drive,metlife-stadium,07073,https://seatgeek.com/venues/metlife-stadium/tickets,US,America/New_York,MetLife Stadium,0,-74.0737,40.8142,QRCODE_TM,2015-09-12T14:14:07Z,FALSE
4346928,2018-04-20T00:47:15,0.855,normal,2018-11-25T13:00:00,FALSE,FALSE,0.897,,2018-11-25T22:00:00,nfl,https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928,San Francisco 49ers at Tampa Bay Buccaneers,49ers at Buccaneers,2018-04-20T00:00:00,FALSE,FALSE,2018-11-25T18:00:00,NA,26,458,233.8077,385,79,78,186,QRCODE,2018-08-24T21:53:40Z,FALSE,39,15,FL,"Tampa, FL 33607","Tampa, FL",Raymond James Stadium,Tampa,539,0.86513025,TRUE,4201 North Dale Mabry Highway,raymond-james-stadium,33607,https://seatgeek.com/venues/raymond-james-stadium/tickets,US,America/New_York,Raymond James Stadium,0,-82.5034,27.9753,QRCODE_TM,2015-08-24T14:44:53Z,FALSE
