type,date_tbd,id,description,status,announce_date,popularity,is_open,datetime_tbd,datetime_utc,datetime_local,short_title,title,time_tbd,visible_until_utc,created_at,score,url,general_admission,median_price,highest_price,visible_listing_count,average_price,lowest_price_good_deals,lowest_price,listing_count,employee_only,created_at,method,slug,extended_address,address,id,state,timezone,num_upcoming_events,has_upcoming_events,popularity,city,country,name,metro_code,display_location,postal_code,name_v2,score,url,lat,lon,employee_only,created_at,method
nfl,FALSE,4346969,,normal,2018-04-20T00:00:00,0.871,TRUE,FALSE,2018-11-18T18:00:00,2018-11-18T12:00:00,Eagles at Saints,Philadelphia Eagles at New Orleans Saints,FALSE,2018-11-18T22:00:00,2018-04-20T00:47:25,0.926,https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969,NA,NA,3000,NA,369.89,167,167,1301,FALSE,2018-05-29T20:39:16Z,QRCODE,mercedes-benz-superdome,"New Orleans, LA 70112",1500 Sugar Bowl Drive,128,LA,America/Chicago,15,TRUE,0,New Orleans,US,Mercedes-Benz Superdome,622,"New Orleans, LA",70112,Mercedes-Benz Superdome,0.8966978,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,29.9515,-90.0786,FALSE,2018-08-27T20:46:59Z,QRCODE_TM
nfl,FALSE,4346929,,normal,2018-04-20T00:00:00,0.861,FALSE,FALSE,2018-11-18T18:00:00,2018-11-18T13:00:00,Buccaneers at Giants,Tampa Bay Buccaneers at New York Giants,FALSE,2018-11-18T22:00:00,2018-04-20T00:47:16,0.921,https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929,NA,NA,1217,NA,237.55,92,92,521,FALSE,2018-08-24T21:53:40Z,QRCODE,metlife-stadium,"East Rutherford, NJ 07073",1 MetLife Stadium Drive,1587,NJ,America/New_York,14,TRUE,0,East Rutherford,US,MetLife Stadium,501,"East Rutherford, NJ",07073,MetLife Stadium,0.94873494,https://seatgeek.com/venues/metlife-stadium/tickets,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
nfl,FALSE,4346957,,normal,2018-04-20T00:00:00,0.824,FALSE,FALSE,2018-11-18T18:00:00,2018-11-18T13:00:00,Titans at Colts,Tennessee Titans at Indianapolis Colts,FALSE,2018-11-18T22:00:00,2018-04-20T00:47:22,0.863,https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957,NA,NA,468,NA,108.38,31,31,646,FALSE,2018-08-24T21:53:40Z,QRCODE,lucas-oil-stadium,"Indianapolis, IN 46225",500 South Capitol Avenue,1130,IN,America/Indiana/Indianapolis,11,TRUE,0,Indianapolis,US,Lucas Oil Stadium,527,"Indianapolis, IN",46225,Lucas Oil Stadium,0.9071682,https://seatgeek.com/venues/lucas-oil-stadium/tickets,39.7601,-86.1639,FALSE,2018-09-13T22:29:37Z,QRCODE_TM
nfl,FALSE,4346939,,normal,2018-04-20T00:00:00,0.864,FALSE,FALSE,2018-11-18T18:00:00,2018-11-18T13:00:00,Texans at Redskins,Houston Texans at Washington Redskins,FALSE,2018-11-18T22:00:00,2018-04-20T00:47:17,0.919,https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939,NA,NA,410,NA,171.43,87,84,883,FALSE,2018-08-24T21:53:40Z,QRCODE,fedex-field,"Landover, MD 20785",1600 Fedex Way,35,MD,America/New_York,6,TRUE,0,Landover,US,FedEx Field,511,"Landover, MD",20785,FedEx Field,0.9333444,https://seatgeek.com/venues/fedex-field/tickets,38.9071,-76.8658,FALSE,2015-09-12T14:13:58Z,QRCODE_TM
nfl,FALSE,4347110,,normal,2018-04-20T00:00:00,0.887,FALSE,FALSE,2018-11-18T21:05:00,2018-11-18T13:05:00,Broncos at Chargers,Denver Broncos at Los Angeles Chargers,FALSE,2018-11-19T01:05:00,2018-04-20T00:47:52,0.959,https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110,NA,NA,655,NA,284.37,189,189,281,FALSE,2018-08-24T21:53:40Z,QRCODE,stubhub-center,"Carson, CA 90746",18400 Avalon Blvd,52,CA,America/Los_Angeles,10,TRUE,0,Carson,US,StubHub Center,803,"Carson, CA",90746,StubHub Center,0.7228164,https://seatgeek.com/venues/stubhub-center/tickets,33.8643,-118.261,NA,NA,NA
nfl,FALSE,4347100,,normal,2018-04-20T00:00:00,0.882,FALSE,FALSE,2018-11-18T21:05:00,2018-11-18T14:05:00,Raiders at Cardinals,Oakland Raiders at Arizona Cardinals,FALSE,2018-11-19T01:05:00,2018-04-20T00:47:51,0.937,https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100,NA,NA,124105,NA,464.92,70,70,519,FALSE,2018-08-24T21:53:40Z,QRCODE,state-farm-stadium,"Glendale, AZ 85305",1 Cardinals Drive,43,AZ,America/Phoenix,8,TRUE,0,Glendale,US,State Farm Stadium,753,"Glendale, AZ",85305,State Farm Stadium,0.93402725,https://seatgeek.com/venues/state-farm-stadium/tickets,33.5294,-112.262,FALSE,2015-12-21T17:26:05Z,NONE
nfl,FALSE,4346947,,normal,2018-04-20T00:00:00,0.842,FALSE,FALSE,2018-11-19T01:20:00,2018-11-18T20:20:00,Steelers at Jaguars,Pittsburgh Steelers at Jacksonville Jaguars,FALSE,2018-11-19T05:20:00,2018-04-20T00:47:19,0.901,https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-everbank-field/nfl/4346947,NA,NA,935,NA,343.62,167,144,419,FALSE,2018-08-24T21:53:40Z,QRCODE,everbank-field,"Jacksonville, FL 32202",1 Everbank Field Dr,5178,FL,America/New_York,7,TRUE,0,Jacksonville,US,EverBank Field,561,"Jacksonville, FL",32202,EverBank Field,0.83759147,https://seatgeek.com/venues/everbank-field/tickets,30.3239,-81.6373,FALSE,2015-10-17T20:03:42Z,QRCODE_TM
nfl,FALSE,4347137,,normal,2018-04-20T00:00:00,0.879,FALSE,FALSE,2018-11-20T01:15:00,2018-11-19T19:15:00,Chiefs at Rams,Kansas City Chiefs at Los Angeles Rams,FALSE,2018-11-20T05:15:00,2018-04-20T01:04:04,0.941,https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2018-08-24T21:53:40Z,QRCODE,estadio-azteca-2,"Mexico City, Mexico",Calzada de Tlalpan 3665,41952,NA,America/Mexico_City,1,TRUE,0,Mexico City,Mexico,Estadio Azteca,0,"Mexico City, Mexico",04950,Estadio Azteca,0,https://seatgeek.com/venues/estadio-azteca-2/tickets,19.3,-99.15,NA,NA,NA
nfl,FALSE,4347024,,normal,2018-04-20T00:00:00,0.891,FALSE,FALSE,2018-11-22T17:30:00,2018-11-22T12:30:00,Bears at Lions,Chicago Bears at Detroit Lions,FALSE,2018-11-22T21:30:00,2018-04-20T00:47:36,0.95,https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024,NA,NA,944,NA,210.94,104,102,438,FALSE,2018-08-24T21:53:40Z,QRCODE,ford-field,"Detroit, MI 48226",2000 Brush St.,346,MI,America/Detroit,10,TRUE,0,Detroit,US,Ford Field,505,"Detroit, MI",48226,Ford Field,0.9029952,https://seatgeek.com/venues/ford-field/tickets,42.34,-83.0459,FALSE,2015-11-04T17:31:52Z,NONE
nfl,FALSE,4327921,,normal,2018-04-05T00:00:00,0.912,TRUE,FALSE,2018-11-22T21:30:00,2018-11-22T15:30:00,Redskins at Cowboys,Washington Redskins at Dallas Cowboys,FALSE,2018-11-23T01:30:00,2018-04-05T23:08:47,0.988,https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921,NA,NA,3000,NA,365.47,28,28,2707,FALSE,2018-10-06T23:29:11Z,QRCODE_TM,at-t-stadium,"Arlington, TX 76011",1 AT&T Way,4965,TX,America/Chicago,17,TRUE,0,Arlington,US,AT&T Stadium,623,"Arlington, TX",76011,AT&T Stadium,0.9751414,https://seatgeek.com/venues/at-t-stadium/tickets,32.7459,-97.0957,FALSE,2018-10-06T23:29:11Z,QRCODE_TM
nfl,FALSE,4346968,,normal,2018-04-20T00:00:00,0.849,TRUE,FALSE,2018-11-23T01:20:00,2018-11-22T19:20:00,Falcons at Saints,Atlanta Falcons at New Orleans Saints,FALSE,2018-11-23T05:20:00,2018-04-20T00:47:24,0.907,https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968,NA,NA,4200,NA,333.98,120,120,1190,FALSE,2018-05-29T20:39:22Z,QRCODE,mercedes-benz-superdome,"New Orleans, LA 70112",1500 Sugar Bowl Drive,128,LA,America/Chicago,15,TRUE,0,New Orleans,US,Mercedes-Benz Superdome,622,"New Orleans, LA",70112,Mercedes-Benz Superdome,0.8966978,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,29.9515,-90.0786,FALSE,2018-08-27T20:46:59Z,QRCODE_TM
sports,FALSE,4455655,,normal,2018-07-18T00:00:00,0.399,FALSE,FALSE,2018-11-23T19:00:00,2018-11-23T13:00:00,Texas Tech Red Raiders at Iowa State Cyclones Womens Volleyball,Texas Tech Red Raiders at Iowa State Cyclones Womens Volleyball,FALSE,2018-11-23T23:00:00,2018-07-18T16:01:12,0.336,https://seatgeek.com/texas-tech-red-raiders-at-iowa-state-cyclones-womens-volleyball-tickets/sport/2018-11-23-1-pm/4455655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hilton-coliseum,"Ames, IA 50010",1700 Lincoln Way,3458,IA,America/Chicago,45,TRUE,0,Ames,US,Hilton Coliseum,679,"Ames, IA",50010,Hilton Coliseum,0.6426054,https://seatgeek.com/venues/hilton-coliseum/tickets,42.02,-93.63,NA,NA,NA
ncaa_football,FALSE,4281983,,normal,2018-02-28T00:00:00,0.364,FALSE,FALSE,2018-11-23T20:00:00,2018-11-23T14:00:00,Coastal Carolina at South Alabama,Coastal Carolina Chanticleers at South Alabama Jaguars Football,FALSE,2018-11-24T00:00:00,2018-02-28T15:00:16,0.299,https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-2-pm/4281983,NA,37,42,5,35.6,25,25,5,NA,NA,NA,ladd-peebles-stadium,"Mobile, AL 36604",1621 Virginia St.,3716,AL,America/Chicago,5,TRUE,0,Mobile,US,Ladd Peebles Stadium,686,"Mobile, AL",36604,Ladd Peebles Stadium,0.50177634,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,30.6748,-88.0761,NA,NA,NA
ncaa_football,FALSE,4241803,*Child Policy:: Children age 2 years and older require a ticket for entry.,normal,2018-01-31T00:00:00,0.684,TRUE,FALSE,2018-11-24T09:30:00,2018-11-24T03:30:00,TFBI Shootout: Texas Tech V Baylor University,TFBI Shootout: Texas Tech V Baylor University,TRUE,2018-11-25T06:00:00,2018-01-31T15:02:10,0.689,https://seatgeek.com/tfbi-shootout-texas-tech-v-baylor-university-tickets/ncaa-football/2018-11-24-3-30-am/4241803,NA,NA,17300,NA,171.46,55,55,1595,FALSE,2018-10-06T23:29:11Z,QRCODE_TM,at-t-stadium,"Arlington, TX 76011",1 AT&T Way,4965,TX,America/Chicago,17,TRUE,0,Arlington,US,AT&T Stadium,623,"Arlington, TX",76011,AT&T Stadium,0.9751414,https://seatgeek.com/venues/at-t-stadium/tickets,32.7459,-97.0957,FALSE,2018-10-06T23:29:11Z,QRCODE_TM
nfl,FALSE,4347058,,normal,2018-04-20T00:00:00,0.818,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,Jaguars at Bills,Jacksonville Jaguars at Buffalo Bills,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:43,0.865,https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058,NA,NA,636,NA,87.09,25,25,1216,FALSE,2018-08-24T21:53:41Z,QRCODE,new-era-field,"Orchard Park, NY 14127",1 Bills Drive,1135,NY,America/New_York,6,TRUE,0,Orchard Park,US,New Era Field,514,"Orchard Park, NY",14127,New Era Field,0.8815085,https://seatgeek.com/venues/new-era-field/tickets,42.7737,-78.7874,FALSE,2015-08-12T16:52:53Z,QRCODE_TM
nfl,FALSE,4346918,,normal,2018-04-20T00:00:00,0.892,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,Giants at Eagles,New York Giants at Philadelphia Eagles,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:14,0.962,https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918,NA,NA,1242,NA,415.65,202,202,335,FALSE,2018-08-24T21:53:40Z,QRCODE,lincoln-financial-field,"Philadelphia, PA 19148",1020 Pattison Ave,330,PA,America/New_York,12,TRUE,0,Philadelphia,US,Lincoln Financial Field,504,"Philadelphia, PA",19148,Lincoln Financial Field,0.90542685999999994,https://seatgeek.com/venues/lincoln-financial-field/tickets,39.9046,-75.1675,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
nfl,FALSE,4347039,,normal,2018-04-20T00:00:00,0.833,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,Browns at Bengals,Cleveland Browns at Cincinnati Bengals,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:39,0.89,https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039,NA,NA,543,NA,139.04,80,80,468,FALSE,2018-08-24T21:53:40Z,QRCODE,paul-brown-stadium,"Cincinnati, OH 45202",1 Paul Brown Stadium,1124,OH,America/New_York,6,TRUE,0,Cincinnati,US,Paul Brown Stadium,515,"Cincinnati, OH",45202,Paul Brown Stadium,0.86166537,https://seatgeek.com/venues/paul-brown-stadium/tickets,39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
nfl,FALSE,4347125,,normal,2018-04-20T00:00:00,0.858,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,Seahawks at Panthers,Seattle Seahawks at Carolina Panthers,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:55,0.921,https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125,NA,NA,883,NA,210.29,90,90,410,FALSE,2018-08-24T21:53:41Z,QRCODE,bank-of-america-stadium,"Charlotte, NC 28202",800 South Mint Street,1122,NC,America/New_York,8,TRUE,0,Charlotte,US,Bank of America Stadium,517,"Charlotte, NC",28202,Bank of America Stadium,0.8968222,https://seatgeek.com/venues/bank-of-america-stadium/tickets,35.2243,-80.8524,FALSE,2015-09-25T18:23:51Z,QRCODE_TM
nfl,FALSE,4347098,,normal,2018-04-20T00:00:00,0.908,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,Patriots at Jets,New England Patriots at New York Jets,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:50,0.988,https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098,NA,NA,6034,NA,325.47,121,121,661,FALSE,2018-08-24T21:53:41Z,QRCODE,metlife-stadium,"East Rutherford, NJ 07073",1 MetLife Stadium Drive,1587,NJ,America/New_York,14,TRUE,0,East Rutherford,US,MetLife Stadium,501,"East Rutherford, NJ",07073,MetLife Stadium,0.94873494,https://seatgeek.com/venues/metlife-stadium/tickets,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
nfl,FALSE,4347067,,normal,2018-04-20T00:00:00,0.821,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,Raiders at Ravens,Oakland Raiders at Baltimore Ravens,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:44,0.875,https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067,NA,NA,693,NA,175.91,67,67,525,FALSE,2018-08-24T21:53:41Z,QRCODE,m-t-bank-stadium,"Baltimore, MD 21230",1101 Russell St,1121,MD,America/New_York,6,TRUE,0,Baltimore,US,M&T Bank Stadium,512,"Baltimore, MD",21230,M&T Bank Stadium,0.8927189,https://seatgeek.com/venues/m-t-bank-stadium/tickets,39.2774,-76.623,FALSE,2015-08-04T00:00:00Z,QRCODE_TM
nfl,FALSE,4346928,,normal,2018-04-20T00:00:00,0.839,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,49ers at Buccaneers,San Francisco 49ers at Tampa Bay Buccaneers,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:15,0.9,https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928,NA,NA,434,NA,212.41,153,82,27,FALSE,2018-08-24T21:53:40Z,QRCODE,raymond-james-stadium,"Tampa, FL 33607",4201 North Dale Mabry Highway,39,FL,America/New_York,15,TRUE,0,Tampa,US,Raymond James Stadium,539,"Tampa, FL",33607,Raymond James Stadium,0.86513025,https://seatgeek.com/venues/raymond-james-stadium/tickets,27.9753,-82.5034,FALSE,2015-08-24T14:44:53Z,QRCODE_TM
nfl,FALSE,4346956,,normal,2018-04-20T00:00:00,0.834,FALSE,FALSE,2018-11-25T18:00:00,2018-11-25T13:00:00,Dolphins at Colts,Miami Dolphins at Indianapolis Colts,FALSE,2018-11-25T22:00:00,2018-04-20T00:47:21,0.881,https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956,NA,NA,940,NA,110.2,33,33,601,FALSE,2018-08-24T21:53:40Z,QRCODE,lucas-oil-stadium,"Indianapolis, IN 46225",500 South Capitol Avenue,1130,IN,America/Indiana/Indianapolis,11,TRUE,0,Indianapolis,US,Lucas Oil Stadium,527,"Indianapolis, IN",46225,Lucas Oil Stadium,0.9071682,https://seatgeek.com/venues/lucas-oil-stadium/tickets,39.7601,-86.1639,FALSE,2018-09-13T22:29:37Z,QRCODE_TM
