created_at,datetime_local,popularity,status,description,visible_until_utc,title,date_tbd,score,is_open,datetime_tbd,url,announce_date,time_tbd,id,datetime_utc,type,short_title,general_admission,lowest_price_good_deals,visible_listing_count,listing_count,lowest_price,median_price,average_price,highest_price,created_at,method,employee_only,city,popularity,timezone,country,name,num_upcoming_events,has_upcoming_events,postal_code,name_v2,extended_address,score,metro_code,url,id,state,address,slug,display_location,lat,lon,created_at,method,employee_only
2018-04-20T00:47:17,2018-10-28T13:00:00,0.859,normal,,2018-10-28T21:00:00,Washington Redskins at New York Giants,FALSE,0.931,FALSE,FALSE,https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940,2018-04-20T00:00:00,FALSE,4346940,2018-10-28T17:00:00,nfl,Redskins at Giants,NA,125,951,359,133,223,293.64066,1498,2018-08-24T21:53:39Z,QRCODE,FALSE,East Rutherford,0,America/New_York,US,MetLife Stadium,18,TRUE,07073,MetLife Stadium,"East Rutherford, NJ 07073",0.94873494,501,https://seatgeek.com/venues/metlife-stadium/tickets,1587,NJ,1 MetLife Stadium Drive,metlife-stadium,"East Rutherford, NJ",40.8142,-74.0737,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
2018-04-20T00:47:46,2018-10-28T13:00:00,0.845,normal,,2018-10-28T21:00:00,Cleveland Browns at Pittsburgh Steelers,FALSE,0.908,FALSE,FALSE,https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078,2018-04-20T00:00:00,FALSE,4347078,2018-10-28T17:00:00,nfl,Browns at Steelers,NA,98,683,377,120,241,285.85675,1148,2018-08-24T21:53:39Z,QRCODE,FALSE,Pittsburgh,0,America/New_York,US,Heinz Field,12,TRUE,15212,Heinz Field,"Pittsburgh, PA 15212",0.9033526,508,https://seatgeek.com/venues/heinz-field/tickets,1119,PA,100 Art Rooney Avenue,heinz-field,"Pittsburgh, PA",40.4468,-80.0158,2015-12-08T15:36:23Z,QRCODE_TM,FALSE
2018-04-20T00:47:27,2018-10-28T12:00:00,0.871,normal,,2018-10-28T21:00:00,Denver Broncos at Kansas City Chiefs,FALSE,0.942,FALSE,FALSE,https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981,2018-04-20T00:00:00,FALSE,4346981,2018-10-28T17:00:00,nfl,Broncos at Chiefs,NA,79,1061,955,79,166,189.422,691,2018-08-24T21:53:39Z,QRCODE,FALSE,Kansas City,0,America/Chicago,US,Arrowhead Stadium,9,TRUE,64129,Arrowhead Stadium,"Kansas City, MO 64129",0.8827867,616,https://seatgeek.com/venues/arrowhead-stadium/tickets,1128,MO,1 Arrowhead Drive,arrowhead-stadium,"Kansas City, MO",39.0489,-94.4839,2015-08-20T16:20:51Z,QRCODE_TM,FALSE
2018-04-20T00:47:33,2018-10-28T12:00:00,0.846,normal,,2018-10-28T21:00:00,New York Jets at Chicago Bears,FALSE,0.913,FALSE,FALSE,https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007,2018-04-20T00:00:00,FALSE,4347007,2018-10-28T17:00:00,nfl,Jets at Bears,NA,109,795,150,109,272,297.72665,1197,2018-08-24T21:53:39Z,QRCODE,FALSE,Chicago,0,America/Chicago,US,Soldier Field,12,TRUE,60605,Soldier Field,"Chicago, IL 60605",0.940013,602,https://seatgeek.com/venues/soldier-field/tickets,31,IL,1410 S. Museum Campus Drive,soldier-field,"Chicago, IL",41.8623,-87.6159,2018-06-02T00:44:08Z,NONE,FALSE
2018-04-20T01:04:25,2018-10-28T13:05:00,0.822,normal,,2018-10-29T00:05:00,Indianapolis Colts at Oakland Raiders,FALSE,0.886,FALSE,FALSE,https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153,2018-04-20T00:00:00,FALSE,4347153,2018-10-28T20:05:00,nfl,Colts at Raiders,NA,77,1112,565,77,180,188.14159,708,2018-08-24T21:53:39Z,QRCODE,FALSE,Oakland,0,America/Los_Angeles,US,Oakland-Alameda County Coliseum,26,TRUE,94621,Oakland-Alameda County Coliseum,"Oakland, CA 94621",0.7817843,807,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,14,CA,7000 Coliseum Way,oakland-alameda-county-coliseum,"Oakland, CA",37.7469,-122.201,2015-06-24T00:00:00Z,PDF417,FALSE
2018-04-20T00:47:14,2018-10-28T13:25:00,0.891,normal,,2018-10-29T00:25:00,Green Bay Packers at Los Angeles Rams,FALSE,0.968,FALSE,FALSE,https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921,2018-04-20T00:00:00,FALSE,4346921,2018-10-28T20:25:00,nfl,Packers at Rams,NA,284,1102,482,261,564,612.69916,11233,2018-08-24T21:53:39Z,QRCODE,FALSE,Los Angeles,0,America/Los_Angeles,US,Los Angeles Memorial Coliseum,12,TRUE,90037,Los Angeles Memorial Coliseum,"Los Angeles, CA 90037",0.86898464,0,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,51012,CA,3911 S Figueroa St,los-angeles-memorial-coliseum-1,"Los Angeles, CA",34.0138,-118.288,2018-08-23T17:59:28Z,QRCODE,FALSE
2018-04-20T00:47:51,2018-10-28T13:25:00,0.878,normal,,2018-10-29T00:25:00,San Francisco 49ers at Arizona Cardinals,FALSE,0.943,FALSE,FALSE,https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101,2018-04-20T00:00:00,FALSE,4347101,2018-10-28T20:25:00,nfl,49ers at Cardinals,NA,41,1106,807,41,109,136.02727,727,2018-08-24T21:53:39Z,QRCODE,FALSE,Glendale,0,America/Phoenix,US,State Farm Stadium,10,TRUE,85305,State Farm Stadium,"Glendale, AZ 85305",0.93402725,753,https://seatgeek.com/venues/state-farm-stadium/tickets,43,AZ,1 Cardinals Drive,state-farm-stadium,"Glendale, AZ",33.5294,-112.262,2015-12-21T17:26:05Z,NONE,FALSE
2018-04-20T01:04:04,2018-10-28T19:20:00,0.858,normal,,2018-10-29T04:20:00,New Orleans Saints at Minnesota Vikings,FALSE,0.924,FALSE,FALSE,https://seatgeek.com/saints-at-vikings-tickets/10-28-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347136,2018-04-20T00:00:00,FALSE,4347136,2018-10-29T00:20:00,nfl,Saints at Vikings,NA,128,907,494,131,258,307.19434,2391,2018-08-24T21:53:39Z,QRCODE,FALSE,Minneapolis,0,America/Chicago,US,U.S. Bank Stadium,13,TRUE,55415,U.S. Bank Stadium,"Minneapolis, MN 55415",0.88524246,0,https://seatgeek.com/venues/u-s-bank-stadium/tickets,218451,MN,900 South 5th Street,u-s-bank-stadium,"Minneapolis, MN",44.97,-93.26,2018-08-22T15:34:15Z,NONE,FALSE
2018-04-20T00:47:44,2018-10-29T20:15:00,0.854,normal,,2018-10-30T04:15:00,New England Patriots at Buffalo Bills,FALSE,0.927,FALSE,FALSE,https://seatgeek.com/patriots-at-bills-tickets/10-29-2018-orchard-park-new-york-new-era-field/nfl/4347062,2018-04-20T00:00:00,FALSE,4347062,2018-10-30T00:15:00,nfl,Patriots at Bills,NA,108,1205,1027,104,177,209.36514,1076,2018-08-24T21:53:39Z,QRCODE,FALSE,Orchard Park,0,America/New_York,US,New Era Field,8,TRUE,14127,New Era Field,"Orchard Park, NY 14127",0.8815085,514,https://seatgeek.com/venues/new-era-field/tickets,1135,NY,1 Bills Drive,new-era-field,"Orchard Park, NY",42.7737,-78.7874,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
2018-04-20T00:47:57,2018-11-01T17:20:00,0.901,normal,,2018-11-02T04:20:00,Oakland Raiders at San Francisco 49ers,FALSE,0.988,FALSE,FALSE,https://seatgeek.com/raiders-at-49ers-tickets/11-1-2018-santa-clara-california-levi-s-stadium/nfl/4347131,2018-04-20T00:00:00,FALSE,4347131,2018-11-02T00:20:00,nfl,Raiders at 49ers,NA,269,1006,756,269,503,712.51324,126804,2018-08-24T21:53:39Z,QRCODE,FALSE,Santa Clara,0,America/Los_Angeles,US,Levi's Stadium,13,TRUE,95054,Levi's Stadium,"Santa Clara, CA 95054",0.95768774,0,https://seatgeek.com/venues/levi-s-stadium/tickets,58670,CA,4900 Marie P DeBartolo Way,levi-s-stadium,"Santa Clara, CA",37.4023,-121.969,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
2018-02-28T15:00:09,2018-11-03T14:00:00,0.393,normal,,2018-11-03T23:00:00,South Alabama Jaguars at Arkansas State Red Wolves Football,FALSE,0.389,FALSE,FALSE,https://seatgeek.com/south-alabama-jaguars-at-arkansas-state-red-wolves-football-tickets/ncaa-football/2018-11-03-2-pm/4281935,2018-02-28T00:00:00,FALSE,4281935,2018-11-03T19:00:00,ncaa_football,South Alabama at Arkansas State,NA,NA,75,51,25,42,54.92157,179,NA,NA,NA,Jonesboro,0,America/Chicago,US,Centennial Bank Stadium,4,TRUE,72401,Centennial Bank Stadium,"Jonesboro, AR 72401",0.47753516,0,https://seatgeek.com/venues/centennial-bank-stadium-1/tickets,8896,AR,2180 Aggie Rd,centennial-bank-stadium-1,"Jonesboro, AR",35.8429,-90.6797,NA,NA,NA
2018-04-20T00:47:47,2018-11-04T13:00:00,0.826,normal,,2018-11-04T22:00:00,New York Jets at Miami Dolphins,FALSE,0.899,FALSE,FALSE,https://seatgeek.com/jets-at-dolphins-tickets/11-4-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347083,2018-04-20T00:00:00,FALSE,4347083,2018-11-04T18:00:00,nfl,Jets at Dolphins,NA,57,929,189,67,164,223.68784,903,2018-08-24T21:53:39Z,QRCODE,FALSE,Miami Gardens,0,America/New_York,US,Hard Rock Stadium,38,TRUE,33056,Hard Rock Stadium,"Miami Gardens, FL 33056",0.8378203,528,https://seatgeek.com/venues/hard-rock-stadium/tickets,29,FL,347 Don Shula Dr.,hard-rock-stadium,"Miami Gardens, FL",25.96,-80.24,2017-10-03T18:58:44Z,NONE,FALSE
2018-04-20T00:47:31,2018-11-04T13:00:00,0.811,normal,,2018-11-04T22:00:00,Kansas City Chiefs at Cleveland Browns,FALSE,0.87,FALSE,FALSE,https://seatgeek.com/chiefs-at-browns-tickets/11-4-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346997,2018-04-20T00:00:00,FALSE,4346997,2018-11-04T18:00:00,nfl,Chiefs at Browns,NA,34,1341,1127,34,83,100.63265,1174,2018-08-24T21:53:39Z,QRCODE,FALSE,Cleveland,0,America/New_York,US,FirstEnergy Stadium,7,TRUE,44114,FirstEnergy Stadium,"Cleveland, OH 44114",0.86852187,510,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,1123,OH,100 Alfred Lerner Way,firstenergy-stadium-15,"Cleveland, OH",41.5065,-81.7,2015-11-11T20:55:31Z,NONE,FALSE
2018-04-20T01:04:05,2018-11-04T12:00:00,0.849,normal,,2018-11-04T22:00:00,Detroit Lions at Minnesota Vikings,FALSE,0.915,FALSE,FALSE,https://seatgeek.com/lions-at-vikings-tickets/11-4-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347140,2018-04-20T00:00:00,FALSE,4347140,2018-11-04T18:00:00,nfl,Lions at Vikings,NA,104,941,570,105,203,246.13684,1552,2018-08-24T21:53:39Z,QRCODE,FALSE,Minneapolis,0,America/Chicago,US,U.S. Bank Stadium,13,TRUE,55415,U.S. Bank Stadium,"Minneapolis, MN 55415",0.88524246,0,https://seatgeek.com/venues/u-s-bank-stadium/tickets,218451,MN,900 South 5th Street,u-s-bank-stadium,"Minneapolis, MN",44.97,-93.26,2018-08-22T15:34:15Z,NONE,FALSE
2018-04-20T00:47:17,2018-11-04T13:00:00,0.867,normal,,2018-11-04T22:00:00,Atlanta Falcons at Washington Redskins,FALSE,0.939,FALSE,FALSE,https://seatgeek.com/falcons-at-redskins-tickets/11-4-2018-landover-maryland-fedex-field/nfl/4346937,2018-04-20T00:00:00,FALSE,4346937,2018-11-04T18:00:00,nfl,Falcons at Redskins,NA,83,1070,700,83,174,192.76714,1011,2018-08-24T21:53:39Z,QRCODE,FALSE,Landover,0,America/New_York,US,FedEx Field,8,TRUE,20785,FedEx Field,"Landover, MD 20785",0.9333444,511,https://seatgeek.com/venues/fedex-field/tickets,35,MD,1600 Fedex Way,fedex-field,"Landover, MD",38.9071,-76.8658,2015-09-12T14:13:58Z,QRCODE_TM,FALSE
2018-04-20T00:47:45,2018-11-04T13:00:00,0.839,normal,,2018-11-04T22:00:00,Pittsburgh Steelers at Baltimore Ravens,FALSE,0.911,FALSE,FALSE,https://seatgeek.com/steelers-at-ravens-tickets/11-4-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347069,2018-04-20T00:00:00,FALSE,4347069,2018-11-04T18:00:00,nfl,Steelers at Ravens,NA,123,998,600,126,199,250.145,970,2018-08-24T21:53:39Z,QRCODE,FALSE,Baltimore,0,America/New_York,US,M&T Bank Stadium,8,TRUE,21230,M&T Bank Stadium,"Baltimore, MD 21230",0.8927189,512,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1121,MD,1101 Russell St,m-t-bank-stadium,"Baltimore, MD",39.2774,-76.623,2015-08-04T00:00:00Z,QRCODE_TM,FALSE
2018-04-20T00:47:38,2018-11-04T13:00:00,0.82,normal,,2018-11-04T22:00:00,Tampa Bay Buccaneers at Carolina Panthers,FALSE,0.887,FALSE,FALSE,https://seatgeek.com/buccaneers-at-panthers-tickets/11-4-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347033,2018-04-20T00:00:00,FALSE,4347033,2018-11-04T18:00:00,nfl,Buccaneers at Panthers,NA,65,856,404,65,140,180.27228,996,2018-08-24T21:53:39Z,QRCODE,FALSE,Charlotte,0,America/New_York,US,Bank of America Stadium,9,TRUE,28202,Bank of America Stadium,"Charlotte, NC 28202",0.8968222,517,https://seatgeek.com/venues/bank-of-america-stadium/tickets,1122,NC,800 South Mint Street,bank-of-america-stadium,"Charlotte, NC",35.2243,-80.8524,2015-09-25T18:23:51Z,QRCODE_TM,FALSE
2018-04-20T00:47:43,2018-11-04T13:00:00,0.834,normal,,2018-11-04T22:00:00,Chicago Bears at Buffalo Bills,FALSE,0.9,FALSE,FALSE,https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061,2018-04-20T00:00:00,FALSE,4347061,2018-11-04T18:00:00,nfl,Bears at Bills,NA,51,1280,787,51,110,136.1385,584,2018-08-24T21:53:39Z,QRCODE,FALSE,Orchard Park,0,America/New_York,US,New Era Field,8,TRUE,14127,New Era Field,"Orchard Park, NY 14127",0.8815085,514,https://seatgeek.com/venues/new-era-field/tickets,1135,NY,1 Bills Drive,new-era-field,"Orchard Park, NY",42.7737,-78.7874,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
2018-04-20T00:47:56,2018-11-04T13:05:00,0.845,normal,,2018-11-05T01:05:00,Los Angeles Chargers at Seattle Seahawks,FALSE,0.919,FALSE,FALSE,https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127,2018-04-20T00:00:00,FALSE,4347127,2018-11-04T21:05:00,nfl,Chargers at Seahawks,NA,135,619,281,135,323,354.85767,1351,2018-08-24T21:53:39Z,QRCODE,FALSE,Seattle,0,America/Los_Angeles,US,CenturyLink Field,18,TRUE,98134,CenturyLink Field,"Seattle, WA 98134",0.87232786,819,https://seatgeek.com/venues/centurylink-field/tickets,339,WA,800 Occidental Ave S,centurylink-field,"Seattle, WA",47.6,-122.33,2018-03-02T22:54:54Z,QRCODE,FALSE
2018-04-20T01:04:05,2018-11-04T14:05:00,0.829,normal,,2018-11-05T01:05:00,Houston Texans at Denver Broncos,FALSE,0.892,FALSE,FALSE,https://seatgeek.com/texans-at-broncos-tickets/11-4-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347141,2018-04-20T00:00:00,FALSE,4347141,2018-11-04T21:05:00,nfl,Texans at Broncos,NA,116,796,121,140,272,335.50412,1270,2018-08-24T21:53:39Z,QRCODE,FALSE,Denver,0,America/Denver,US,Sports Authority Field at Mile High,7,TRUE,80204,Sports Authority Field at Mile High,"Denver, CO 80204",0.9028296,751,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,1131,CO,1701 Bryant Street,sports-authority-field-at-mile-high,"Denver, CO",39.74,-105.02,2015-08-07T18:39:02Z,QRCODE_TM,FALSE
2018-04-20T00:47:25,2018-11-04T15:25:00,0.818,normal,,2018-11-05T01:25:00,Los Angeles Rams at New Orleans Saints,FALSE,0.881,TRUE,FALSE,https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970,2018-04-20T00:00:00,FALSE,4346970,2018-11-04T21:25:00,nfl,Rams at Saints,NA,71,1358,1396,71,210,245.44986,5948,2018-05-29T20:39:08Z,QRCODE,FALSE,New Orleans,0,America/Chicago,US,Mercedes-Benz Superdome,18,TRUE,70112,Mercedes-Benz Superdome,"New Orleans, LA 70112",0.8966978,622,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,128,LA,1500 Sugar Bowl Drive,mercedes-benz-superdome,"New Orleans, LA",29.9515,-90.0786,2018-08-27T20:46:59Z,QRCODE_TM,FALSE
2018-08-23T19:51:10,2018-11-04T19:00:00,0.565,normal,,2018-11-05T05:00:00,Alex G,FALSE,0.551,FALSE,FALSE,https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650,2018-08-23T00:00:00,FALSE,4494650,2018-11-05T01:00:00,concert,Alex G,TRUE,NA,1,27,53,62,118,562,NA,NA,NA,Chicago,0,America/Chicago,US,Thalia Hall,58,TRUE,60608,Thalia Hall,"Chicago, IL 60608",0.51888376,0,https://seatgeek.com/venues/thalia-hall/tickets,60271,IL,1807 S Allport St,thalia-hall,"Chicago, IL",41.8577,-87.6575,NA,NA,NA
