time_tbd,date_tbd,datetime_tbd,short_title,description,popularity,status,type,announce_date,title,score,created_at,is_open,id,url,visible_until_utc,datetime_utc,datetime_local,general_admission,visible_listing_count,median_price,lowest_price_good_deals,average_price,highest_price,listing_count,lowest_price,created_at,employee_only,method,slug,popularity,postal_code,country,address,name,state,display_location,metro_code,timezone,score,has_upcoming_events,id,url,name_v2,extended_address,num_upcoming_events,city,lat,lon,created_at,employee_only,method
FALSE,FALSE,FALSE,Seahawks at Panthers,,0.862,normal,nfl,2018-04-20T00:00:00,Seattle Seahawks at Carolina Panthers,0.921,2018-04-20T00:47:55,FALSE,4347125,https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125,2018-11-25T22:00:00,2018-11-25T18:00:00,2018-11-25T13:00:00,NA,1024,175,80,231.04082,1196,490,90,2018-08-24T21:53:41Z,FALSE,QRCODE,bank-of-america-stadium,0,28202,US,800 South Mint Street,Bank of America Stadium,NC,"Charlotte, NC",517,America/New_York,0.8968222,TRUE,1122,https://seatgeek.com/venues/bank-of-america-stadium/tickets,Bank of America Stadium,"Charlotte, NC 28202",9,Charlotte,35.2243,-80.8524,2015-09-25T18:23:51Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,49ers at Buccaneers,,0.844,normal,nfl,2018-04-20T00:00:00,San Francisco 49ers at Tampa Bay Buccaneers,0.901,2018-04-20T00:47:15,FALSE,4346928,https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928,2018-11-25T22:00:00,2018-11-25T18:00:00,2018-11-25T13:00:00,NA,384,206,71,241.5,528,28,80,2018-08-24T21:53:40Z,FALSE,QRCODE,raymond-james-stadium,0,33607,US,4201 North Dale Mabry Highway,Raymond James Stadium,FL,"Tampa, FL",539,America/New_York,0.86513025,TRUE,39,https://seatgeek.com/venues/raymond-james-stadium/tickets,Raymond James Stadium,"Tampa, FL 33607",14,Tampa,27.9753,-82.5034,2015-08-24T14:44:53Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,Dolphins at Colts,,0.839,normal,nfl,2018-04-20T00:00:00,Miami Dolphins at Indianapolis Colts,0.884,2018-04-20T00:47:21,FALSE,4346956,https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956,2018-11-25T22:00:00,2018-11-25T18:00:00,2018-11-25T13:00:00,NA,1054,94,34,113.56534,970,704,34,2018-08-24T21:53:40Z,FALSE,QRCODE,lucas-oil-stadium,0,46225,US,500 South Capitol Avenue,Lucas Oil Stadium,IN,"Indianapolis, IN",527,America/Indiana/Indianapolis,0.9071682,TRUE,1130,https://seatgeek.com/venues/lucas-oil-stadium/tickets,Lucas Oil Stadium,"Indianapolis, IN 46225",12,Indianapolis,39.7601,-86.1639,2018-09-13T22:29:37Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,Cardinals at Chargers,,0.829,normal,nfl,2018-04-20T00:00:00,Arizona Cardinals at Los Angeles Chargers,0.89,2018-04-20T00:47:52,FALSE,4347109,https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109,2018-11-26T01:05:00,2018-11-25T21:05:00,2018-11-25T13:05:00,NA,684,198,99,209.96385,599,581,108,2018-08-24T21:53:41Z,FALSE,QRCODE,stubhub-center,0,90746,US,18400 Avalon Blvd,StubHub Center,CA,"Carson, CA",803,America/Los_Angeles,0.7228164,TRUE,52,https://seatgeek.com/venues/stubhub-center/tickets,StubHub Center,"Carson, CA 90746",16,Carson,33.8643,-118.261,NA,NA,NA
FALSE,FALSE,FALSE,Steelers at Broncos,,0.881,normal,nfl,2018-04-20T00:00:00,Pittsburgh Steelers at Denver Broncos,0.939,2018-04-20T01:04:05,FALSE,4347143,https://seatgeek.com/steelers-at-broncos-tickets/11-25-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347143,2018-11-26T01:25:00,2018-11-25T21:25:00,2018-11-25T14:25:00,NA,1079,396,167,484.1635,2388,159,212,2018-08-24T21:53:41Z,FALSE,QRCODE,sports-authority-field-at-mile-high,0,80204,US,1701 Bryant Street,Sports Authority Field at Mile High,CO,"Denver, CO",751,America/Denver,0.9028296,TRUE,1131,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,Sports Authority Field at Mile High,"Denver, CO 80204",6,Denver,39.74,-105.02,2015-08-07T18:39:02Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,Packers at Vikings,,0.892,normal,nfl,2018-04-20T00:00:00,Green Bay Packers at Minnesota Vikings,0.958,2018-04-20T01:04:04,FALSE,4347133,https://seatgeek.com/packers-at-vikings-tickets/11-25-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347133,2018-11-26T05:20:00,2018-11-26T01:20:00,2018-11-25T19:20:00,NA,926,370,240,457.56845,3584,526,231,2018-08-24T21:53:41Z,FALSE,QRCODE,u-s-bank-stadium,0,55415,US,401 Chicago Avenue,U.S. Bank Stadium,MN,"Minneapolis, MN",0,America/Chicago,0.88524246,TRUE,218451,https://seatgeek.com/venues/u-s-bank-stadium/tickets,U.S. Bank Stadium,"Minneapolis, MN 55415",13,Minneapolis,44.97,-93.26,2018-08-22T15:34:15Z,FALSE,NONE
FALSE,FALSE,FALSE,Titans at Texans,,0.812,normal,nfl,2018-04-20T00:00:00,Tennessee Titans at Houston Texans,0.874,2018-04-20T00:47:36,FALSE,4347017,https://seatgeek.com/titans-at-texans-tickets/11-26-2018-houston-texas-nrg-stadium/nfl/4347017,2018-11-27T05:15:00,2018-11-27T01:15:00,2018-11-26T19:15:00,NA,1258,138,44,175.59605,959,609,44,2018-08-24T21:53:41Z,FALSE,QRCODE,nrg-stadium,0,77054,US,1 Reliant Park,NRG Stadium,TX,"Houston, TX",618,America/Chicago,0.8624192,TRUE,41,https://seatgeek.com/venues/nrg-stadium/tickets,NRG Stadium,"Houston, TX 77054",44,Houston,29.6847,-95.4107,2015-11-04T18:42:27Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,Saints at Cowboys,,0.917,normal,nfl,2018-04-05T00:00:00,New Orleans Saints at Dallas Cowboys,0.997,2018-04-05T23:08:47,TRUE,4327920,https://seatgeek.com/saints-at-cowboys-tickets/11-29-2018-arlington-texas-at-t-stadium/nfl/4327920,2018-11-30T05:20:00,2018-11-30T01:20:00,2018-11-29T19:20:00,NA,2266,353,41,420.42627,4309,2862,41,2018-04-17T22:02:33Z,FALSE,QRCODE,at-t-stadium,0,76011,US,1 AT&T Way,AT&T Stadium,TX,"Arlington, TX",623,America/Chicago,0.9751414,TRUE,4965,https://seatgeek.com/venues/at-t-stadium/tickets,AT&T Stadium,"Arlington, TX 76011",21,Arlington,32.7459,-97.0957,2018-04-17T22:02:33Z,FALSE,QRCODE
FALSE,FALSE,FALSE,Rams at Lions,,0.846,normal,nfl,2018-04-20T00:00:00,Los Angeles Rams at Detroit Lions,0.902,2018-04-20T00:47:36,FALSE,4347023,https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023,2018-12-02T22:00:00,2018-12-02T18:00:00,2018-12-02T13:00:00,NA,937,130,62,168.71951,2392,656,66,2018-08-24T21:53:41Z,FALSE,QRCODE,ford-field,0,48226,US,2000 Brush St.,Ford Field,MI,"Detroit, MI",505,America/Detroit,0.9029952,TRUE,346,https://seatgeek.com/venues/ford-field/tickets,Ford Field,"Detroit, MI 48226",9,Detroit,42.34,-83.0459,2015-11-04T17:31:52Z,FALSE,NONE
FALSE,FALSE,FALSE,Bills at Dolphins,,0.816,normal,nfl,2018-04-20T00:00:00,Buffalo Bills at Miami Dolphins,0.882,2018-04-20T00:47:48,FALSE,4347087,https://seatgeek.com/bills-at-dolphins-tickets/12-2-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347087,2018-12-02T22:00:00,2018-12-02T18:00:00,2018-12-02T13:00:00,NA,1010,137,46,157.0145,902,207,49,2018-08-24T21:53:41Z,FALSE,QRCODE,hard-rock-stadium,0,33056,US,347 Don Shula Dr.,Hard Rock Stadium,FL,"Miami Gardens, FL",528,America/New_York,0.8378203,TRUE,29,https://seatgeek.com/venues/hard-rock-stadium/tickets,Hard Rock Stadium,"Miami Gardens, FL 33056",38,Miami Gardens,25.96,-80.24,2017-10-03T18:58:44Z,FALSE,NONE
