description,time_tbd,id,visible_until_utc,announce_date,datetime_utc,short_title,created_at,status,datetime_local,popularity,type,date_tbd,title,score,datetime_tbd,url,is_open,general_admission,listing_count,median_price,visible_listing_count,highest_price,lowest_price,average_price,lowest_price_good_deals,created_at,employee_only,method,id,has_upcoming_events,country,state,metro_code,slug,score,display_location,extended_address,popularity,postal_code,city,timezone,num_upcoming_events,name_v2,name,url,address,lat,lon,created_at,employee_only,method
,FALSE,4347005,2018-11-18T22:00:00,2018-04-20T00:00:00,2018-11-18T18:00:00,Vikings at Bears,2018-04-20T00:47:32,normal,2018-11-18T12:00:00,0.878,nfl,FALSE,Minnesota Vikings at Chicago Bears,0.932,FALSE,https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005,FALSE,NA,151,314,871,1196,139,355.98013,139,2018-08-24T21:53:40Z,FALSE,QRCODE,31,TRUE,US,IL,602,soldier-field,0.940013,"Chicago, IL","Chicago, IL 60605",0,60605,Chicago,America/Chicago,10,Soldier Field,Soldier Field,https://seatgeek.com/venues/soldier-field/tickets,1410 S. Museum Campus Drive,41.8623,-87.6159,2018-06-02T00:44:08Z,FALSE,NONE
,FALSE,4347025,2018-11-18T22:00:00,2018-04-20T00:00:00,2018-11-18T18:00:00,Panthers at Lions,2018-04-20T00:47:37,normal,2018-11-18T13:00:00,0.887,nfl,FALSE,Carolina Panthers at Detroit Lions,0.932,FALSE,https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025,FALSE,NA,708,127,1032,2393,67,156.4548,41,2018-08-24T21:53:40Z,FALSE,QRCODE,346,TRUE,US,MI,505,ford-field,0.9029952,"Detroit, MI","Detroit, MI 48226",0,48226,Detroit,America/Detroit,11,Ford Field,Ford Field,https://seatgeek.com/venues/ford-field/tickets,2000 Brush St.,42.34,-83.0459,2015-11-04T17:31:52Z,FALSE,NONE
,FALSE,4347049,2018-11-18T22:00:00,2018-04-20T00:00:00,2018-11-18T18:00:00,Cowboys at Falcons,2018-04-20T00:47:41,normal,2018-11-18T13:00:00,0.92,nfl,FALSE,Dallas Cowboys at Atlanta Falcons,0.978,FALSE,https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049,FALSE,NA,699,394,1058,2206,219,465.12875,219,2018-08-24T21:53:40Z,FALSE,QRCODE,419590,TRUE,US,GA,0,mercedes-benz-stadium,0.76958936,"Atlanta, GA","Atlanta, GA 30313",0,30313,Atlanta,America/New_York,20,Mercedes-Benz Stadium,Mercedes-Benz Stadium,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,441 M.L.K. Jr Dr NW,33.76,-84.4,2018-08-23T20:14:46Z,FALSE,QRCODE
,FALSE,4346957,2018-11-18T22:00:00,2018-04-20T00:00:00,2018-11-18T18:00:00,Titans at Colts,2018-04-20T00:47:22,normal,2018-11-18T13:00:00,0.841,nfl,FALSE,Tennessee Titans at Indianapolis Colts,0.876,FALSE,https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957,FALSE,NA,745,79,1125,441,30,103.46309,30,2018-08-24T21:53:40Z,FALSE,QRCODE,1130,TRUE,US,IN,527,lucas-oil-stadium,0.9071682,"Indianapolis, IN","Indianapolis, IN 46225",0,46225,Indianapolis,America/Indiana/Indianapolis,14,Lucas Oil Stadium,Lucas Oil Stadium,https://seatgeek.com/venues/lucas-oil-stadium/tickets,500 South Capitol Avenue,39.7601,-86.1639,2018-09-13T22:29:37Z,FALSE,QRCODE_TM
,FALSE,4346929,2018-11-18T22:00:00,2018-04-20T00:00:00,2018-11-18T18:00:00,Buccaneers at Giants,2018-04-20T00:47:16,normal,2018-11-18T13:00:00,0.87,nfl,FALSE,Tampa Bay Buccaneers at New York Giants,0.924,FALSE,https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929,FALSE,NA,655,192,1186,1289,92,236.61526,92,2018-08-24T21:53:40Z,FALSE,QRCODE,1587,TRUE,US,NJ,501,metlife-stadium,0.94873494,"East Rutherford, NJ","East Rutherford, NJ 07073",0,07073,East Rutherford,America/New_York,16,MetLife Stadium,MetLife Stadium,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,40.8142,-74.0737,2015-09-12T14:14:07Z,FALSE,QRCODE_TM
,FALSE,4346939,2018-11-18T22:00:00,2018-04-20T00:00:00,2018-11-18T18:00:00,Texans at Redskins,2018-04-20T00:47:17,normal,2018-11-18T13:00:00,0.875,nfl,FALSE,Houston Texans at Washington Redskins,0.924,FALSE,https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939,FALSE,NA,888,151,1228,465,82,167.78378,79,2018-08-24T21:53:40Z,FALSE,QRCODE,35,TRUE,US,MD,511,fedex-field,0.9333444,"Landover, MD","Landover, MD 20785",0,20785,Landover,America/New_York,7,FedEx Field,FedEx Field,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,38.9071,-76.8658,2015-09-12T14:13:58Z,FALSE,QRCODE_TM
,FALSE,4347110,2018-11-19T01:05:00,2018-04-20T00:00:00,2018-11-18T21:05:00,Broncos at Chargers,2018-04-20T00:47:52,normal,2018-11-18T13:05:00,0.889,nfl,FALSE,Denver Broncos at Los Angeles Chargers,0.954,FALSE,https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110,FALSE,NA,425,230,568,738,174,271.2353,167,2018-08-24T21:53:40Z,FALSE,QRCODE,52,TRUE,US,CA,803,stubhub-center,0.7228164,"Carson, CA","Carson, CA 90746",0,90746,Carson,America/Los_Angeles,16,StubHub Center,StubHub Center,https://seatgeek.com/venues/stubhub-center/tickets,18400 Avalon Blvd,33.8643,-118.261,NA,NA,NA
,FALSE,4347100,2018-11-19T01:05:00,2018-04-20T00:00:00,2018-11-18T21:05:00,Raiders at Cardinals,2018-04-20T00:47:51,normal,2018-11-18T14:05:00,0.892,nfl,FALSE,Oakland Raiders at Arizona Cardinals,0.941,FALSE,https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100,FALSE,NA,554,243,910,851,109,261.74008,104,2018-08-24T21:53:40Z,FALSE,QRCODE,43,TRUE,US,AZ,753,state-farm-stadium,0.93402725,"Glendale, AZ","Glendale, AZ 85305",0,85305,Glendale,America/Phoenix,10,State Farm Stadium,State Farm Stadium,https://seatgeek.com/venues/state-farm-stadium/tickets,1 Cardinals Drive,33.5294,-112.262,2015-12-21T17:26:05Z,FALSE,NONE
,FALSE,4346947,2018-11-19T05:20:00,2018-04-20T00:00:00,2018-11-19T01:20:00,Steelers at Jaguars,2018-04-20T00:47:19,normal,2018-11-18T20:20:00,0.834,nfl,FALSE,Pittsburgh Steelers at Jacksonville Jaguars,0.884,FALSE,https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-everbank-field/nfl/4346947,FALSE,NA,471,307,847,789,138,347.76645,138,2018-08-24T21:53:40Z,FALSE,QRCODE,5178,TRUE,US,FL,561,everbank-field,0.83759147,"Jacksonville, FL","Jacksonville, FL 32202",0,32202,Jacksonville,America/New_York,9,EverBank Field,EverBank Field,https://seatgeek.com/venues/everbank-field/tickets,1 Everbank Field Dr,30.3239,-81.6373,2015-10-17T20:03:42Z,FALSE,QRCODE_TM
,FALSE,4347137,2018-11-20T05:15:00,2018-04-20T00:00:00,2018-11-20T01:15:00,Chiefs at Rams,2018-04-20T01:04:04,normal,2018-11-19T19:15:00,0.873,nfl,FALSE,Kansas City Chiefs at Los Angeles Rams,0.929,FALSE,https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-24T21:53:40Z,FALSE,QRCODE,41952,TRUE,Mexico,NA,0,estadio-azteca-2,0,"Mexico City, Mexico","Mexico City, Mexico",0,04650,Mexico City,America/Mexico_City,1,Estadio Azteca,Estadio Azteca,https://seatgeek.com/venues/estadio-azteca-2/tickets,Calzada de Tlalpan 3665,19.3,-99.15,NA,NA,NA
,FALSE,4347024,2018-11-22T21:30:00,2018-04-20T00:00:00,2018-11-22T17:30:00,Bears at Lions,2018-04-20T00:47:36,normal,2018-11-22T12:30:00,0.897,nfl,FALSE,Chicago Bears at Detroit Lions,0.951,FALSE,https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024,FALSE,NA,635,181,915,2408,97,222,97,2018-08-24T21:53:40Z,FALSE,QRCODE,346,TRUE,US,MI,505,ford-field,0.9029952,"Detroit, MI","Detroit, MI 48226",0,48226,Detroit,America/Detroit,11,Ford Field,Ford Field,https://seatgeek.com/venues/ford-field/tickets,2000 Brush St.,42.34,-83.0459,2015-11-04T17:31:52Z,FALSE,NONE
