short_title,url,id,time_tbd,date_tbd,datetime_tbd,title,score,type,datetime_local,datetime_utc,description,status,popularity,is_open,announce_date,created_at,visible_until_utc,general_admission,average_price,lowest_price,highest_price,listing_count,lowest_price_good_deals,median_price,visible_listing_count,created_at,method,employee_only,url,id,postal_code,has_upcoming_events,extended_address,timezone,score,name,name_v2,state,slug,address,popularity,country,num_upcoming_events,metro_code,city,display_location,lon,lat,created_at,method,employee_only
Redskins at Eagles,https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936,4346936,FALSE,FALSE,FALSE,Washington Redskins at Philadelphia Eagles,0.942,nfl,2018-12-03T20:15:00,2018-12-04T01:15:00,,normal,0.836,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:17,2018-12-04T05:15:00,NA,325.74326,150,1217,592,119,272,1274,2018-08-24T21:53:41Z,QRCODE,FALSE,https://seatgeek.com/venues/lincoln-financial-field/tickets,330,19148,TRUE,"Philadelphia, PA 19148",America/New_York,0.90542685999999994,Lincoln Financial Field,Lincoln Financial Field,PA,lincoln-financial-field,1020 Pattison Ave,0,US,16,504,Philadelphia,"Philadelphia, PA",-75.1675,39.9046,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Jaguars at Titans,https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987,4346987,FALSE,FALSE,FALSE,Jacksonville Jaguars at Tennessee Titans,0.849,nfl,2018-12-06T19:20:00,2018-12-07T00:20:00,,normal,0.76,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:29,2018-12-07T04:20:00,NA,150.84714,38,2319,628,36,127,1017,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/nissan-stadium/tickets,1126,37213,TRUE,"Nashville, TN 37213",America/New_York,0.8546275,Nissan Stadium,Nissan Stadium,TN,nissan-stadium,1 Titans Way,0,US,14,659,Nashville,"Nashville, TN",-86.7713,36.1665,2015-10-19T15:09:39Z,NONE,FALSE
Panthers at Browns,https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995,4346995,FALSE,FALSE,FALSE,Carolina Panthers at Cleveland Browns,0.897,nfl,2018-12-09T13:00:00,2018-12-09T18:00:00,,normal,0.807,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:31,2018-12-09T22:00:00,NA,90.62198,30,1172,1201,25,71,1475,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,1123,44114,TRUE,"Cleveland, OH 44114",America/New_York,0.86852187,FirstEnergy Stadium,FirstEnergy Stadium,OH,firstenergy-stadium-15,100 Alfred Lerner Way,0,US,7,510,Cleveland,"Cleveland, OH",-81.7,41.5065,2015-11-11T20:55:31Z,NONE,FALSE
Saints at Buccaneers,https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926,4346926,FALSE,FALSE,FALSE,New Orleans Saints at Tampa Bay Buccaneers,0.882,nfl,2018-12-09T13:00:00,2018-12-09T18:00:00,,normal,0.788,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:15,2018-12-09T22:00:00,NA,215.67857,70,640,28,59,156,424,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/raymond-james-stadium/tickets,39,33607,TRUE,"Tampa, FL 33607",America/New_York,0.86513025,Raymond James Stadium,Raymond James Stadium,FL,raymond-james-stadium,4201 North Dale Mabry Highway,0,US,14,539,Tampa,"Tampa, FL",-82.5034,27.9753,2015-08-24T14:44:53Z,QRCODE_TM,FALSE
Rams at Bears,https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003,4347003,FALSE,FALSE,FALSE,Los Angeles Rams at Chicago Bears,0.91,nfl,2018-12-09T12:00:00,2018-12-09T18:00:00,,normal,0.813,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:32,2018-12-09T22:00:00,NA,273.76624,100,2225,231,90,218,1040,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/soldier-field/tickets,31,60605,TRUE,"Chicago, IL 60605",America/Chicago,0.940013,Soldier Field,Soldier Field,IL,soldier-field,1410 S. Museum Campus Drive,0,US,10,602,Chicago,"Chicago, IL",-87.6159,41.8623,2018-06-02T00:44:08Z,NONE,FALSE
Patriots at Dolphins,https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086,4347086,FALSE,FALSE,FALSE,New England Patriots at Miami Dolphins,0.971,nfl,2018-12-09T13:00:00,2018-12-09T18:00:00,,normal,0.854,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:48,2018-12-09T22:00:00,NA,372.09448,181,1138,127,156,333,858,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/hard-rock-stadium/tickets,29,33056,TRUE,"Miami Gardens, FL 33056",America/New_York,0.8378203,Hard Rock Stadium,Hard Rock Stadium,FL,hard-rock-stadium,347 Don Shula Dr.,0,US,38,528,Miami Gardens,"Miami Gardens, FL",-80.24,25.96,2017-10-03T18:58:44Z,NONE,FALSE
Falcons at Packers,https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910,4346910,FALSE,FALSE,FALSE,Atlanta Falcons at Green Bay Packers,0.917,nfl,2018-12-09T12:00:00,2018-12-09T18:00:00,,normal,0.821,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:13,2018-12-09T22:00:00,NA,274.04156,159,672,433,157,236,1076,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/lambeau-field/tickets,1125,54304,TRUE,"Green Bay, WI 54304",America/Chicago,0.92909414,Lambeau Field,Lambeau Field,WI,lambeau-field,1265 Lombardi Avenue,0,US,6,658,Green Bay,"Green Bay, WI",-88.0622,44.5013,2015-09-02T22:43:34Z,QRCODE_TM,FALSE
Giants at Redskins,https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935,4346935,FALSE,FALSE,FALSE,New York Giants at Washington Redskins,0.973,nfl,2018-12-09T13:00:00,2018-12-09T18:00:00,,normal,0.859,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:17,2018-12-09T22:00:00,NA,214.5965,102,1116,456,92,191,1015,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/fedex-field/tickets,35,20785,TRUE,"Landover, MD 20785",America/New_York,0.9333444,FedEx Field,FedEx Field,MD,fedex-field,1600 Fedex Way,0,US,7,511,Landover,"Landover, MD",-76.8658,38.9071,2015-09-12T14:13:58Z,QRCODE_TM,FALSE
Ravens at Chiefs,https://seatgeek.com/ravens-at-chiefs-tickets/12-9-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346979,4346979,FALSE,FALSE,FALSE,Baltimore Ravens at Kansas City Chiefs,0.918,nfl,2018-12-09T12:00:00,2018-12-09T18:00:00,,normal,0.818,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:27,2018-12-09T22:00:00,NA,130.30952,37,811,1050,34,119,1168,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/arrowhead-stadium/tickets,1128,64129,TRUE,"Kansas City, MO 64129",America/Chicago,0.8827867,Arrowhead Stadium,Arrowhead Stadium,MO,arrowhead-stadium,1 Arrowhead Drive,0,US,9,616,Kansas City,"Kansas City, MO",-94.4839,39.0489,2015-08-20T16:20:51Z,QRCODE_TM,FALSE
Colts at Texans,https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014,4347014,FALSE,FALSE,FALSE,Indianapolis Colts at Houston Texans,0.928,nfl,2018-12-09T12:00:00,2018-12-09T18:00:00,,normal,0.822,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:35,2018-12-09T22:00:00,NA,180.52834,37,2239,600,37,133,1124,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/nrg-stadium/tickets,41,77054,TRUE,"Houston, TX 77054",America/Chicago,0.8624192,NRG Stadium,NRG Stadium,TX,nrg-stadium,1 Reliant Park,0,US,44,618,Houston,"Houston, TX",-95.4107,29.6847,2015-11-04T18:42:27Z,QRCODE_TM,FALSE
Jets at Bills,https://seatgeek.com/jets-at-bills-tickets/12-9-2018-orchard-park-new-york-new-era-field/nfl/4347059,4347059,FALSE,FALSE,FALSE,New York Jets at Buffalo Bills,0.889,nfl,2018-12-09T13:00:00,2018-12-09T18:00:00,,normal,0.798,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:43,2018-12-09T22:00:00,NA,92.903366,29,636,1159,21,70,1501,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/new-era-field/tickets,1135,14127,TRUE,"Orchard Park, NY 14127",America/New_York,0.8815085,New Era Field,New Era Field,NY,new-era-field,1 Bills Drive,0,US,7,514,Orchard Park,"Orchard Park, NY",-78.7874,42.7737,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
Bengals at Chargers,https://seatgeek.com/bengals-at-chargers-tickets/12-9-2018-carson-california-stubhub-center/nfl/4347107,4347107,FALSE,FALSE,FALSE,Cincinnati Bengals at Los Angeles Chargers,0.934,nfl,2018-12-09T13:05:00,2018-12-09T21:05:00,,normal,0.822,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:52,2018-12-10T01:05:00,NA,212.01814,115,581,496,103,194,600,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/stubhub-center/tickets,52,90746,TRUE,"Carson, CA 90746",America/Los_Angeles,0.7228164,StubHub Center,StubHub Center,CA,stubhub-center,18400 Avalon Blvd,0,US,16,803,Carson,"Carson, CA",-118.261,33.8643,NA,NA,NA
Broncos at 49ers,https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114,4347114,FALSE,FALSE,FALSE,Denver Broncos at San Francisco 49ers,0.961,nfl,2018-12-09T13:05:00,2018-12-09T21:05:00,,normal,0.852,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:53,2018-12-10T01:05:00,NA,245.6875,100,3012,992,100,222,1161,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/levi-s-stadium/tickets,58670,95054,TRUE,"Santa Clara, CA 95054",America/Los_Angeles,0.95768774,Levi's Stadium,Levi's Stadium,CA,levi-s-stadium,4900 Marie P DeBartolo Way,0,US,12,0,Santa Clara,"Santa Clara, CA",-121.969,37.4023,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Lions at Cardinals,https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099,4347099,FALSE,FALSE,FALSE,Detroit Lions at Arizona Cardinals,0.933,nfl,2018-12-09T14:25:00,2018-12-09T21:25:00,,normal,0.836,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:51,2018-12-10T01:25:00,NA,117.9195,31,613,969,31,99,1291,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/state-farm-stadium/tickets,43,85305,TRUE,"Glendale, AZ 85305",America/Phoenix,0.93402725,State Farm Stadium,State Farm Stadium,AZ,state-farm-stadium,1 Cardinals Drive,0,US,10,753,Glendale,"Glendale, AZ",-112.262,33.5294,2015-12-21T17:26:05Z,NONE,FALSE
Eagles at Cowboys,https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919,4327919,FALSE,FALSE,FALSE,Philadelphia Eagles at Dallas Cowboys,0.998,nfl,2018-12-09T15:25:00,2018-12-09T21:25:00,,normal,0.877,TRUE,2018-04-05T00:00:00,2018-04-05T23:08:46,2018-12-10T01:25:00,NA,453.12912,49,4422,3044,49,369,2340,2018-04-17T22:02:33Z,QRCODE,FALSE,https://seatgeek.com/venues/at-t-stadium/tickets,4965,76011,TRUE,"Arlington, TX 76011",America/Chicago,0.9751414,AT&T Stadium,AT&T Stadium,TX,at-t-stadium,1 AT&T Way,0,US,21,623,Arlington,"Arlington, TX",-97.0957,32.7459,2018-04-17T22:02:33Z,QRCODE,FALSE
Steelers at Raiders,https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151,4347151,FALSE,FALSE,FALSE,Pittsburgh Steelers at Oakland Raiders,0.949,nfl,2018-12-09T17:20:00,2018-12-10T01:20:00,,normal,0.839,FALSE,2018-04-20T00:00:00,2018-04-20T01:04:24,2018-12-10T05:20:00,NA,409.27777,188,1467,522,188,373,804,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,14,94621,TRUE,"Oakland, CA 94621",America/Los_Angeles,0.7817843,Oakland-Alameda County Coliseum,Oakland-Alameda County Coliseum,CA,oakland-alameda-county-coliseum,7000 Coliseum Way,0,US,24,807,Oakland,"Oakland, CA",-122.201,37.7469,2015-06-24T00:00:00Z,PDF417,FALSE
Vikings at Seahawks,https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123,4347123,FALSE,FALSE,FALSE,Minnesota Vikings at Seattle Seahawks,0.953,nfl,2018-12-10T17:15:00,2018-12-11T01:15:00,,normal,0.841,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:55,2018-12-11T05:15:00,NA,384.68362,136,1596,354,131,347,802,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/centurylink-field/tickets,339,98134,TRUE,"Seattle, WA 98134",America/Los_Angeles,0.87232786,CenturyLink Field,CenturyLink Field,WA,centurylink-field,800 Occidental Ave S,0,US,18,819,Seattle,"Seattle, WA",-122.33,47.6,2018-03-02T22:54:54Z,QRCODE,FALSE
Chargers at Chiefs,https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978,4346978,FALSE,FALSE,FALSE,Los Angeles Chargers at Kansas City Chiefs,0.91,nfl,2018-12-13T19:20:00,2018-12-14T01:20:00,,normal,0.804,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:26,2018-12-14T05:20:00,NA,142.02553,39,711,901,39,125,1084,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/arrowhead-stadium/tickets,1128,64129,TRUE,"Kansas City, MO 64129",America/Chicago,0.8827867,Arrowhead Stadium,Arrowhead Stadium,MO,arrowhead-stadium,1 Arrowhead Drive,0,US,9,616,Kansas City,"Kansas City, MO",-94.4839,39.0489,2015-08-20T16:20:51Z,QRCODE_TM,FALSE
Texans at Jets,https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015,4347015,FALSE,FALSE,FALSE,Houston Texans at New York Jets,0.939,nfl,2018-12-15T16:30:00,2018-12-15T21:30:00,,normal,0.829,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:35,2018-12-16T01:30:00,NA,150.44661,36,918,1133,36,124,1379,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/metlife-stadium/tickets,1587,07073,TRUE,"East Rutherford, NJ 07073",America/New_York,0.94873494,MetLife Stadium,MetLife Stadium,NJ,metlife-stadium,1 MetLife Stadium Drive,0,US,17,501,East Rutherford,"East Rutherford, NJ",-74.0737,40.8142,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Browns at Broncos,https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135,4347135,FALSE,FALSE,FALSE,Cleveland Browns at Denver Broncos,0.884,nfl,2018-12-15T14:30:00,2018-12-15T21:30:00,,normal,0.793,FALSE,2018-04-20T00:00:00,2018-04-20T01:04:04,2018-12-16T01:30:00,NA,291.01343,113,1204,149,131,232,811,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,1131,80204,TRUE,"Denver, CO 80204",America/Denver,0.9028296,Sports Authority Field at Mile High,Sports Authority Field at Mile High,CO,sports-authority-field-at-mile-high,1701 Bryant Street,0,US,6,751,Denver,"Denver, CO",-105.02,39.74,2015-08-07T18:39:02Z,QRCODE_TM,FALSE
Cardinals at Falcons,https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047,4347047,FALSE,FALSE,FALSE,Arizona Cardinals at Atlanta Falcons,0.941,nfl,2018-12-16T13:00:00,2018-12-16T18:00:00,,normal,0.841,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:41,2018-12-16T22:00:00,NA,194.75938,64,1193,1039,62,163,1295,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,419590,30313,TRUE,"Atlanta, GA 30313",America/New_York,0.76958936,Mercedes-Benz Stadium,Mercedes-Benz Stadium,GA,mercedes-benz-stadium,441 M.L.K. Jr Dr NW,0,US,19,0,Atlanta,"Atlanta, GA",-84.4,33.76,2018-08-23T20:14:46Z,QRCODE,FALSE
Lions at Bills,https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057,4347057,FALSE,FALSE,FALSE,Detroit Lions at Buffalo Bills,0.88,nfl,2018-12-16T13:00:00,2018-12-16T18:00:00,,normal,0.786,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:43,2018-12-16T22:00:00,NA,86.64887,21,636,1199,17,66,1484,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/new-era-field/tickets,1135,14127,TRUE,"Orchard Park, NY 14127",America/New_York,0.8815085,New Era Field,New Era Field,NY,new-era-field,1 Bills Drive,0,US,7,514,Orchard Park,"Orchard Park, NY",-78.7874,42.7737,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
Cowboys at Colts,https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955,4346955,FALSE,FALSE,FALSE,Dallas Cowboys at Indianapolis Colts,0.954,nfl,2018-12-16T13:00:00,2018-12-16T18:00:00,,normal,0.847,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:20,2018-12-16T22:00:00,NA,281.09286,104,1976,463,104,215,926,2018-08-24T21:53:42Z,QRCODE,FALSE,https://seatgeek.com/venues/lucas-oil-stadium/tickets,1130,46225,TRUE,"Indianapolis, IN 46225",America/Indiana/Indianapolis,0.9071682,Lucas Oil Stadium,Lucas Oil Stadium,IN,lucas-oil-stadium,500 South Capitol Avenue,0,US,12,527,Indianapolis,"Indianapolis, IN",-86.1639,39.7601,2018-09-13T22:29:37Z,QRCODE_TM,FALSE
