short_title,url,id,time_tbd,date_tbd,datetime_tbd,title,score,type,datetime_local,datetime_utc,description,status,popularity,is_open,announce_date,created_at,visible_until_utc,general_admission,average_price,lowest_price,highest_price,listing_count,lowest_price_good_deals,median_price,visible_listing_count,created_at,method,employee_only,url,id,postal_code,has_upcoming_events,extended_address,timezone,score,name,name_v2,state,slug,address,popularity,country,num_upcoming_events,metro_code,city,display_location,lon,lat,created_at,method,employee_only
Ravens at Browns,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,4346999,FALSE,FALSE,FALSE,Baltimore Ravens at Cleveland Browns,0.891,nfl,2018-10-07T13:00:00,2018-10-07T17:00:00,,normal,0.863,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:31,2018-10-07T21:00:00,NA,109.6089,41,640,629,39,88,1029,2018-08-24T21:04:01Z,QRCODE,FALSE,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,1123,44114,TRUE,"Cleveland, OH 44114",America/New_York,0.86852187,FirstEnergy Stadium,FirstEnergy Stadium,OH,firstenergy-stadium-15,100 Alfred Lerner Way,0,US,7,510,Cleveland,"Cleveland, OH",-81.7,41.5065,2015-11-11T20:55:31Z,NONE,FALSE
Jaguars at Chiefs,https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983,4346983,FALSE,FALSE,FALSE,Jacksonville Jaguars at Kansas City Chiefs,0.907,nfl,2018-10-07T12:00:00,2018-10-07T17:00:00,,normal,0.875,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:28,2018-10-07T21:00:00,NA,169.02737,49,588,767,46,163,1125,2018-08-24T21:03:49Z,QRCODE,FALSE,https://seatgeek.com/venues/arrowhead-stadium/tickets,1128,64129,TRUE,"Kansas City, MO 64129",America/Chicago,0.8827867,Arrowhead Stadium,Arrowhead Stadium,MO,arrowhead-stadium,1 Arrowhead Drive,0,US,9,616,Kansas City,"Kansas City, MO",-94.4839,39.0489,2015-08-20T16:20:51Z,QRCODE_TM,FALSE
Raiders at Chargers,https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111,4347111,FALSE,FALSE,FALSE,Oakland Raiders at Los Angeles Chargers,0.958,nfl,2018-10-07T13:05:00,2018-10-07T20:05:00,,normal,0.913,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:52,2018-10-08T00:05:00,NA,355.6083,240,1039,457,223,326,563,2018-08-24T21:17:06Z,QRCODE,FALSE,https://seatgeek.com/venues/stubhub-center/tickets,52,90746,TRUE,"Carson, CA 90746",America/Los_Angeles,0.7228164,StubHub Center,StubHub Center,CA,stubhub-center,18400 Avalon Blvd,0,US,16,803,Carson,"Carson, CA",-118.261,33.8643,NA,NA,NA
Cardinals at 49ers,https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115,4347115,FALSE,FALSE,FALSE,Arizona Cardinals at San Francisco 49ers,0.921,nfl,2018-10-07T13:25:00,2018-10-07T20:25:00,,normal,0.884,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:53,2018-10-08T00:25:00,NA,181.7558,62,1791,905,62,166,997,2018-09-05T19:47:23Z,QRCODE,FALSE,https://seatgeek.com/venues/levi-s-stadium/tickets,58670,95054,TRUE,"Santa Clara, CA 95054",America/Los_Angeles,0.95768774,Levi's Stadium,Levi's Stadium,CA,levi-s-stadium,4900 Marie P DeBartolo Way,0,US,12,0,Santa Clara,"Santa Clara, CA",-121.969,37.4023,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Rams at Seahawks,https://seatgeek.com/rams-at-seahawks-tickets/10-7-2018-seattle-washington-centurylink-field/nfl/4347128,4347128,FALSE,FALSE,FALSE,Los Angeles Rams at Seattle Seahawks,0.931,nfl,2018-10-07T13:25:00,2018-10-07T20:25:00,,normal,0.892,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:56,2018-10-08T00:25:00,NA,360.2514,153,1019,179,153,339,496,2018-08-24T21:19:14Z,QRCODE,FALSE,https://seatgeek.com/venues/centurylink-field/tickets,339,98134,TRUE,"Seattle, WA 98134",America/Los_Angeles,0.87232786,CenturyLink Field,CenturyLink Field,WA,centurylink-field,800 Occidental Ave S,0,US,18,819,Seattle,"Seattle, WA",-122.33,47.6,2018-03-02T22:54:54Z,QRCODE,FALSE
Vikings at Eagles,https://seatgeek.com/vikings-at-eagles-tickets/10-7-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346976,4346976,FALSE,FALSE,FALSE,Minnesota Vikings at Philadelphia Eagles,0.968,nfl,2018-10-07T16:25:00,2018-10-07T20:25:00,,normal,0.921,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:26,2018-10-08T00:25:00,NA,464.21,244,1217,300,161,391,891,2018-08-24T21:03:38Z,QRCODE,FALSE,https://seatgeek.com/venues/lincoln-financial-field/tickets,330,19148,TRUE,"Philadelphia, PA 19148",America/New_York,0.90542685999999994,Lincoln Financial Field,Lincoln Financial Field,PA,lincoln-financial-field,1020 Pattison Ave,0,US,16,504,Philadelphia,"Philadelphia, PA",-75.1675,39.9046,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Cowboys at Texans,https://seatgeek.com/cowboys-at-texans-tickets/10-7-2018-houston-texas-nrg-stadium/nfl/4347020,4347020,FALSE,FALSE,FALSE,Dallas Cowboys at Houston Texans,0.994,nfl,2018-10-07T19:20:00,2018-10-08T00:20:00,,normal,0.934,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:36,2018-10-08T04:20:00,NA,660.7876,246,2452,419,246,642,868,2018-08-24T21:04:53Z,QRCODE,FALSE,https://seatgeek.com/venues/nrg-stadium/tickets,41,77054,TRUE,"Houston, TX 77054",America/Chicago,0.8624192,NRG Stadium,NRG Stadium,TX,nrg-stadium,1 Reliant Park,0,US,44,618,Houston,"Houston, TX",-95.4107,29.6847,2015-11-04T18:42:27Z,QRCODE_TM,FALSE
Baltimore Ravens at A Purple Evening,https://seatgeek.com/baltimore-ravens-at-a-purple-evening-tickets/sport/2018-10-08-4-pm/4474093,4474093,FALSE,FALSE,FALSE,Baltimore Ravens at A Purple Evening,0.348,sports,2018-10-08T16:00:00,2018-10-08T20:00:00,,normal,0.471,FALSE,2018-08-03T00:00:00,2018-08-03T16:01:06,2018-10-09T00:00:00,NA,243.5,59,584,12,NA,246,4,2015-08-04T00:00:00Z,QRCODE_TM,FALSE,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1121,21230,TRUE,"Baltimore, MD 21230",America/New_York,0.8927189,M&T Bank Stadium,M&T Bank Stadium,MD,m-t-bank-stadium,1101 Russell St,0,US,8,512,Baltimore,"Baltimore, MD",-76.623,39.2774,2015-08-04T00:00:00Z,QRCODE_TM,FALSE
Redskins at Saints,https://seatgeek.com/redskins-at-saints-tickets/10-8-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346971,4346971,FALSE,FALSE,FALSE,Washington Redskins at New Orleans Saints,0.906,nfl,2018-10-08T19:15:00,2018-10-09T00:15:00,,normal,0.871,TRUE,2018-04-20T00:00:00,2018-04-20T00:47:25,2018-10-09T04:15:00,NA,239.67778,78,5960,1589,78,214,1469,2018-05-29T20:38:55Z,QRCODE,FALSE,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,128,70112,TRUE,"New Orleans, LA 70112",America/Chicago,0.8966978,Mercedes-Benz Superdome,Mercedes-Benz Superdome,LA,mercedes-benz-superdome,1500 Sugar Bowl Drive,0,US,17,622,New Orleans,"New Orleans, LA",-90.0786,29.9515,2018-08-27T20:46:59Z,QRCODE_TM,FALSE
Eagles at Giants,https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917,4346917,FALSE,FALSE,FALSE,Philadelphia Eagles at New York Giants,0.977,nfl,2018-10-11T20:20:00,2018-10-12T00:20:00,,normal,0.918,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:14,2018-10-12T04:20:00,NA,363.8341,143,1557,434,139,298,1070,2018-08-24T21:52:02Z,QRCODE,FALSE,https://seatgeek.com/venues/metlife-stadium/tickets,1587,07073,TRUE,"East Rutherford, NJ 07073",America/New_York,0.94873494,MetLife Stadium,MetLife Stadium,NJ,metlife-stadium,1 MetLife Stadium Drive,0,US,17,501,East Rutherford,"East Rutherford, NJ",-74.0737,40.8142,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Alabama State at South Alabama,https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619,4192619,FALSE,FALSE,FALSE,Alabama State Hornets at South Alabama Jaguars Football,0.478,ncaa_football,2018-10-13T16:00:00,2018-10-13T21:00:00,,normal,0.553,FALSE,2017-12-21T00:00:00,2017-12-21T15:00:36,2018-10-14T01:00:00,NA,51.45,27,124,20,27,36,9,NA,NA,NA,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,3716,36604,TRUE,"Mobile, AL 36604",America/Chicago,0.50177634,Ladd Peebles Stadium,Ladd Peebles Stadium,AL,ladd-peebles-stadium,1621 Virginia St.,0,US,6,686,Mobile,"Mobile, AL",-88.0761,30.6748,NA,NA,NA
Colts at Jets,https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961,4346961,FALSE,FALSE,FALSE,Indianapolis Colts at New York Jets,0.943,nfl,2018-10-14T13:00:00,2018-10-14T17:00:00,,normal,0.892,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:22,2018-10-14T21:00:00,NA,187.5326,63,975,629,62,152,1094,2018-08-24T21:52:02Z,QRCODE,FALSE,https://seatgeek.com/venues/metlife-stadium/tickets,1587,07073,TRUE,"East Rutherford, NJ 07073",America/New_York,0.94873494,MetLife Stadium,MetLife Stadium,NJ,metlife-stadium,1 MetLife Stadium Drive,0,US,17,501,East Rutherford,"East Rutherford, NJ",-74.0737,40.8142,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Steelers at Bengals,https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042,4347042,FALSE,FALSE,FALSE,Pittsburgh Steelers at Cincinnati Bengals,0.914,nfl,2018-10-14T13:00:00,2018-10-14T17:00:00,,normal,0.871,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:40,2018-10-14T21:00:00,NA,204.04762,101,1170,336,101,180,598,2018-08-24T21:53:35Z,QRCODE,FALSE,https://seatgeek.com/venues/paul-brown-stadium/tickets,1124,45202,TRUE,"Cincinnati, OH 45202",America/New_York,0.86166537,Paul Brown Stadium,Paul Brown Stadium,OH,paul-brown-stadium,1 Paul Brown Stadium,0,US,7,515,Cincinnati,"Cincinnati, OH",-84.5177,39.0961,2015-10-09T16:14:37Z,QRCODE_TM,FALSE
Buccaneers at Falcons,https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051,4347051,FALSE,FALSE,FALSE,Tampa Bay Buccaneers at Atlanta Falcons,0.939,nfl,2018-10-14T13:00:00,2018-10-14T17:00:00,,normal,0.891,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:42,2018-10-14T21:00:00,NA,208.13414,73,1149,902,73,180,1133,2018-08-24T21:53:35Z,QRCODE,FALSE,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,419590,30313,TRUE,"Atlanta, GA 30313",America/New_York,0.76958936,Mercedes-Benz Stadium,Mercedes-Benz Stadium,GA,mercedes-benz-stadium,441 M.L.K. Jr Dr NW,0,US,19,0,Atlanta,"Atlanta, GA",-84.4,33.76,2018-08-23T20:14:46Z,QRCODE,FALSE
Bears at Dolphins,https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081,4347081,FALSE,FALSE,FALSE,Chicago Bears at Miami Dolphins,0.921,nfl,2018-10-14T13:00:00,2018-10-14T17:00:00,,normal,0.876,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:47,2018-10-14T21:00:00,NA,362.52426,111,11597,103,95,238,867,2018-08-24T21:53:35Z,QRCODE,FALSE,https://seatgeek.com/venues/hard-rock-stadium/tickets,29,33056,TRUE,"Miami Gardens, FL 33056",America/New_York,0.8378203,Hard Rock Stadium,Hard Rock Stadium,FL,hard-rock-stadium,347 Don Shula Dr.,0,US,38,528,Miami Gardens,"Miami Gardens, FL",-80.24,25.96,2017-10-03T18:58:44Z,NONE,FALSE
Cardinals at Vikings,https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145,4347145,FALSE,FALSE,FALSE,Arizona Cardinals at Minnesota Vikings,0.92,nfl,2018-10-14T12:00:00,2018-10-14T17:00:00,,normal,0.876,FALSE,2018-04-20T00:00:00,2018-04-20T01:04:06,2018-10-14T21:00:00,NA,301.00568,119,1314,353,119,254,681,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/u-s-bank-stadium/tickets,218451,55415,TRUE,"Minneapolis, MN 55415",America/Chicago,0.88524246,U.S. Bank Stadium,U.S. Bank Stadium,MN,u-s-bank-stadium,401 Chicago Avenue,0,US,13,0,Minneapolis,"Minneapolis, MN",-93.26,44.97,2018-08-22T15:34:15Z,NONE,FALSE
Panthers at Redskins,https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942,4346942,FALSE,FALSE,FALSE,Carolina Panthers at Washington Redskins,0.957,nfl,2018-10-14T13:00:00,2018-10-14T17:00:00,,normal,0.905,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:18,2018-10-14T21:00:00,NA,185.94371,97,890,533,93,152,978,2018-08-24T21:52:02Z,QRCODE,FALSE,https://seatgeek.com/venues/fedex-field/tickets,35,20785,TRUE,"Landover, MD 20785",America/New_York,0.9333444,FedEx Field,FedEx Field,MD,fedex-field,1600 Fedex Way,0,US,7,511,Landover,"Landover, MD",-76.8658,38.9071,2015-09-12T14:13:58Z,QRCODE_TM,FALSE
Bills at Texans,https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019,4347019,FALSE,FALSE,FALSE,Buffalo Bills at Houston Texans,0.91,nfl,2018-10-14T12:00:00,2018-10-14T17:00:00,,normal,0.864,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:36,2018-10-14T21:00:00,NA,197.75,56,716,504,54,174,1082,2018-08-24T21:53:35Z,QRCODE,FALSE,https://seatgeek.com/venues/nrg-stadium/tickets,41,77054,TRUE,"Houston, TX 77054",America/Chicago,0.8624192,NRG Stadium,NRG Stadium,TX,nrg-stadium,1 Reliant Park,0,US,44,618,Houston,"Houston, TX",-95.4107,29.6847,2015-11-04T18:42:27Z,QRCODE_TM,FALSE
Chargers at Browns,https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998,4346998,FALSE,FALSE,FALSE,Los Angeles Chargers at Cleveland Browns,0.891,nfl,2018-10-14T13:00:00,2018-10-14T17:00:00,,normal,0.855,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:31,2018-10-14T21:00:00,NA,93.5358,32,676,838,32,78,1179,2018-08-24T21:53:35Z,QRCODE,FALSE,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,1123,44114,TRUE,"Cleveland, OH 44114",America/New_York,0.86852187,FirstEnergy Stadium,FirstEnergy Stadium,OH,firstenergy-stadium-15,100 Alfred Lerner Way,0,US,7,510,Cleveland,"Cleveland, OH",-81.7,41.5065,2015-11-11T20:55:31Z,NONE,FALSE
Ravens at Titans,https://seatgeek.com/ravens-at-titans-tickets/10-14-2018-nashville-tennessee-nissan-stadium/nfl/4346991,4346991,FALSE,FALSE,FALSE,Baltimore Ravens at Tennessee Titans,0.873,nfl,2018-10-14T15:25:00,2018-10-14T19:25:00,,normal,0.839,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:30,2018-10-14T23:25:00,NA,197.97693,63,720,390,60,181,711,2018-08-24T21:53:35Z,QRCODE,FALSE,https://seatgeek.com/venues/nissan-stadium/tickets,1126,37213,TRUE,"Nashville, TN 37213",America/New_York,0.8546275,Nissan Stadium,Nissan Stadium,TN,nissan-stadium,1 Titans Way,0,US,14,659,Nashville,"Nashville, TN",-86.7713,36.1665,2015-10-19T15:09:39Z,NONE,FALSE
Rams at Broncos,https://seatgeek.com/rams-at-broncos-tickets/10-14-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347138,4347138,FALSE,FALSE,FALSE,Los Angeles Rams at Denver Broncos,0.914,nfl,2018-10-14T14:05:00,2018-10-14T20:05:00,,normal,0.874,FALSE,2018-04-20T00:00:00,2018-04-20T01:04:04,2018-10-15T00:05:00,NA,355.7,180,1193,90,140,292,793,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,1131,80204,TRUE,"Denver, CO 80204",America/Denver,0.9028296,Sports Authority Field at Mile High,Sports Authority Field at Mile High,CO,sports-authority-field-at-mile-high,1701 Bryant Street,0,US,6,751,Denver,"Denver, CO",-105.02,39.74,2015-08-07T18:39:02Z,QRCODE_TM,FALSE
Jaguars at Cowboys,https://seatgeek.com/jaguars-at-cowboys-tickets/10-14-2018-arlington-texas-at-t-stadium/nfl/4327923,4327923,FALSE,FALSE,FALSE,Jacksonville Jaguars at Dallas Cowboys,0.979,nfl,2018-10-14T15:25:00,2018-10-14T20:25:00,,normal,0.921,TRUE,2018-04-05T00:00:00,2018-04-05T23:08:47,2018-10-15T00:25:00,NA,329.4763,28,4309,2740,28,259,2169,2018-04-17T22:02:33Z,QRCODE,FALSE,https://seatgeek.com/venues/at-t-stadium/tickets,4965,76011,TRUE,"Arlington, TX 76011",America/Chicago,0.9751414,AT&T Stadium,AT&T Stadium,TX,at-t-stadium,1 AT&T Way,0,US,21,623,Arlington,"Arlington, TX",-97.0957,32.7459,2018-04-17T22:02:33Z,QRCODE,FALSE
Chiefs at Patriots,https://seatgeek.com/chiefs-at-patriots-tickets/10-14-2018-foxborough-massachusetts-gillette-stadium/nfl/4347095,4347095,FALSE,FALSE,FALSE,Kansas City Chiefs at New England Patriots,0.97,nfl,2018-10-14T20:20:00,2018-10-15T00:20:00,,normal,0.91,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:50,2018-10-15T04:20:00,NA,549.9149,237,1437,188,198,415,710,2018-08-24T21:53:35Z,QRCODE,FALSE,https://seatgeek.com/venues/gillette-stadium/tickets,33,02035,TRUE,"Foxborough, MA 02035",America/New_York,0.8983344,Gillette Stadium,Gillette Stadium,MA,gillette-stadium,1 Patriot Place,0,US,15,506,Foxborough,"Foxborough, MA",-71.2674,42.0906,2018-08-22T15:36:58Z,NONE,FALSE
49ers at Packers,https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914,4346914,FALSE,FALSE,FALSE,San Francisco 49ers at Green Bay Packers,0.959,nfl,2018-10-15T19:15:00,2018-10-16T00:15:00,,normal,0.9,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:13,2018-10-16T04:15:00,NA,335.38345,181,719,133,181,331,578,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/lambeau-field/tickets,1125,54304,TRUE,"Green Bay, WI 54304",America/Chicago,0.92909414,Lambeau Field,Lambeau Field,WI,lambeau-field,1265 Lombardi Avenue,0,US,6,658,Green Bay,"Green Bay, WI",-88.0622,44.5013,2015-09-02T22:43:34Z,QRCODE_TM,FALSE
Broncos at Cardinals,https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102,4347102,FALSE,FALSE,FALSE,Denver Broncos at Arizona Cardinals,0.946,nfl,2018-10-18T17:20:00,2018-10-19T00:20:00,,normal,0.888,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:51,2018-10-19T04:20:00,NA,168.35938,57,667,512,56,133,886,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/state-farm-stadium/tickets,43,85305,TRUE,"Glendale, AZ 85305",America/Phoenix,0.93402725,State Farm Stadium,State Farm Stadium,AZ,state-farm-stadium,1 Cardinals Drive,0,US,10,753,Glendale,"Glendale, AZ",-112.262,33.5294,2015-12-21T17:26:05Z,NONE,FALSE
Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball,https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322,4471322,FALSE,FALSE,FALSE,Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball,0.354,sports,2018-10-20T18:30:00,2018-10-20T23:30:00,,normal,0.432,FALSE,2018-08-01T00:00:00,2018-08-01T16:01:33,2018-10-21T03:30:00,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/asu-convocation-center-1/tickets,4081,72401,TRUE,"Jonesboro, AR 72401",America/Chicago,0.5808074,ASU Convocation Center,ASU Convocation Center,AR,asu-convocation-center-1,217 Olympic Drive,0,US,32,734,Jonesboro,"Jonesboro, AR",-90.6691,35.8438,NA,NA,NA
Bills at Colts,https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960,4346960,FALSE,FALSE,FALSE,Buffalo Bills at Indianapolis Colts,0.883,nfl,2018-10-21T13:00:00,2018-10-21T17:00:00,,normal,0.841,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:22,2018-10-21T21:00:00,NA,108.64724,34,878,652,34,84,1019,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/lucas-oil-stadium/tickets,1130,46225,TRUE,"Indianapolis, IN 46225",America/Indiana/Indianapolis,0.9071682,Lucas Oil Stadium,Lucas Oil Stadium,IN,lucas-oil-stadium,500 South Capitol Avenue,0,US,12,527,Indianapolis,"Indianapolis, IN",-86.1639,39.7601,2018-09-13T22:29:37Z,QRCODE_TM,FALSE
Patriots at Bears,https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008,4347008,FALSE,FALSE,FALSE,New England Patriots at Chicago Bears,0.997,nfl,2018-10-21T12:00:00,2018-10-21T17:00:00,,normal,0.923,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:33,2018-10-21T21:00:00,NA,599.6905,286,1132,84,286,561,616,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/soldier-field/tickets,31,60605,TRUE,"Chicago, IL 60605",America/Chicago,0.940013,Soldier Field,Soldier Field,IL,soldier-field,1410 S. Museum Campus Drive,0,US,10,602,Chicago,"Chicago, IL",-87.6159,41.8623,2018-06-02T00:44:08Z,NONE,FALSE
Vikings at Jets,https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975,4346975,FALSE,FALSE,FALSE,Minnesota Vikings at New York Jets,0.965,nfl,2018-10-21T13:00:00,2018-10-21T17:00:00,,normal,0.898,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:26,2018-10-21T21:00:00,NA,220.53798,74,1062,474,70,180,964,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/metlife-stadium/tickets,1587,07073,TRUE,"East Rutherford, NJ 07073",America/New_York,0.94873494,MetLife Stadium,MetLife Stadium,NJ,metlife-stadium,1 MetLife Stadium Drive,0,US,17,501,East Rutherford,"East Rutherford, NJ",-74.0737,40.8142,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Browns at Buccaneers,https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931,4346931,FALSE,FALSE,FALSE,Cleveland Browns at Tampa Bay Buccaneers,0.888,nfl,2018-10-21T13:00:00,2018-10-21T17:00:00,,normal,0.838,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:16,2018-10-21T21:00:00,NA,254.27272,87,649,22,79,173,409,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/raymond-james-stadium/tickets,39,33607,TRUE,"Tampa, FL 33607",America/New_York,0.86513025,Raymond James Stadium,Raymond James Stadium,FL,raymond-james-stadium,4201 North Dale Mabry Highway,0,US,14,539,Tampa,"Tampa, FL",-82.5034,27.9753,2015-08-24T14:44:53Z,QRCODE_TM,FALSE
Lions at Dolphins,https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084,4347084,FALSE,FALSE,FALSE,Detroit Lions at Miami Dolphins,0.908,nfl,2018-10-21T13:00:00,2018-10-21T17:00:00,,normal,0.853,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:47,2018-10-21T21:00:00,NA,151.62941,59,902,170,51,136,961,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/hard-rock-stadium/tickets,29,33056,TRUE,"Miami Gardens, FL 33056",America/New_York,0.8378203,Hard Rock Stadium,Hard Rock Stadium,FL,hard-rock-stadium,347 Don Shula Dr.,0,US,38,528,Miami Gardens,"Miami Gardens, FL",-80.24,25.96,2017-10-03T18:58:44Z,NONE,FALSE
Panthers at Eagles,https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036,4347036,FALSE,FALSE,FALSE,Carolina Panthers at Philadelphia Eagles,0.961,nfl,2018-10-21T13:00:00,2018-10-21T17:00:00,,normal,0.897,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:39,2018-10-21T21:00:00,NA,440.6022,211,3680,362,152,394,915,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/lincoln-financial-field/tickets,330,19148,TRUE,"Philadelphia, PA 19148",America/New_York,0.90542685999999994,Lincoln Financial Field,Lincoln Financial Field,PA,lincoln-financial-field,1020 Pattison Ave,0,US,16,504,Philadelphia,"Philadelphia, PA",-75.1675,39.9046,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Texans at Jaguars,https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-everbank-field/nfl/4346948,4346948,FALSE,FALSE,FALSE,Houston Texans at Jacksonville Jaguars,0.839,nfl,2018-10-21T13:00:00,2018-10-21T17:00:00,,normal,0.801,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:19,2018-10-21T21:00:00,NA,125.70794,48,588,630,57,97,878,2018-08-24T21:53:38Z,QRCODE,FALSE,https://seatgeek.com/venues/everbank-field/tickets,5178,32202,TRUE,"Jacksonville, FL 32202",America/New_York,0.83759147,EverBank Field,EverBank Field,FL,everbank-field,1 Everbank Field Dr,0,US,9,561,Jacksonville,"Jacksonville, FL",-81.6373,30.3239,2015-10-17T20:03:42Z,QRCODE_TM,FALSE
