type,is_open,date_tbd,created_at,announce_date,datetime_utc,visible_until_utc,id,url,time_tbd,datetime_local,score,short_title,description,popularity,status,title,datetime_tbd,general_admission,listing_count,lowest_price_good_deals,lowest_price,median_price,visible_listing_count,highest_price,average_price,employee_only,created_at,method,slug,score,country,num_upcoming_events,has_upcoming_events,extended_address,popularity,postal_code,id,display_location,url,timezone,name,city,state,metro_code,address,name_v2,lat,lon,employee_only,created_at,method
nfl,FALSE,FALSE,2018-04-20T00:47:53,2018-04-20T00:00:00,2018-12-09T21:05:00,2018-12-10T01:05:00,4347114,https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114,FALSE,2018-12-09T13:05:00,0.982,Broncos at 49ers,,0.896,normal,Denver Broncos at San Francisco 49ers,FALSE,NA,979,71,72,186,1149,2990,215.95609,FALSE,2018-08-24T21:53:42Z,QRCODE,levi-s-stadium,0.95768774,US,13,TRUE,"Santa Clara, CA 95054",0,95054,58670,"Santa Clara, CA",https://seatgeek.com/venues/levi-s-stadium/tickets,America/Los_Angeles,Levi's Stadium,Santa Clara,CA,0,4900 Marie P DeBartolo Way,Levi's Stadium,37.4023,-121.969,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:51,2018-04-20T00:00:00,2018-12-09T21:25:00,2018-12-10T01:25:00,4347099,https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099,FALSE,2018-12-09T14:25:00,0.939,Lions at Cardinals,,0.868,normal,Detroit Lions at Arizona Cardinals,FALSE,NA,1094,28,29,96,1258,614,118.0649,FALSE,2018-08-24T21:53:42Z,QRCODE,state-farm-stadium,0.93402725,US,10,TRUE,"Glendale, AZ 85305",0,85305,43,"Glendale, AZ",https://seatgeek.com/venues/state-farm-stadium/tickets,America/Phoenix,State Farm Stadium,Glendale,AZ,753,1 Cardinals Drive,State Farm Stadium,33.5294,-112.262,FALSE,2015-12-21T17:26:05Z,NONE
nfl,TRUE,FALSE,2018-04-05T23:08:46,2018-04-05T00:00:00,2018-12-09T21:25:00,2018-12-10T01:25:00,4327919,https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919,FALSE,2018-12-09T15:25:00,1.02,Eagles at Cowboys,,0.927,normal,Philadelphia Eagles at Dallas Cowboys,FALSE,NA,2759,49,49,365,2160,4421,445.64444,FALSE,2018-04-17T22:02:33Z,QRCODE,at-t-stadium,0.9751414,US,20,TRUE,"Arlington, TX 76011",0,76011,4965,"Arlington, TX",https://seatgeek.com/venues/at-t-stadium/tickets,America/Chicago,AT&T Stadium,Arlington,TX,623,1 AT&T Way,AT&T Stadium,32.7459,-97.0957,FALSE,2018-04-17T22:02:33Z,QRCODE
nfl,FALSE,FALSE,2018-04-20T01:04:24,2018-04-20T00:00:00,2018-12-10T01:20:00,2018-12-10T05:20:00,4347151,https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151,FALSE,2018-12-09T17:20:00,0.959,Steelers at Raiders,,0.874,normal,Pittsburgh Steelers at Oakland Raiders,FALSE,NA,269,169,217,393,781,947,423.7249,FALSE,2018-08-24T21:53:42Z,QRCODE,oakland-alameda-county-coliseum,0.7817843,US,21,TRUE,"Oakland, CA 94621",0,94621,14,"Oakland, CA",https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,America/Los_Angeles,Oakland-Alameda County Coliseum,Oakland,CA,807,7000 Coliseum Way,Oakland-Alameda County Coliseum,37.7469,-122.201,FALSE,2015-06-24T00:00:00Z,PDF417
nfl,FALSE,FALSE,2018-04-20T00:47:55,2018-04-20T00:00:00,2018-12-11T01:15:00,2018-12-11T05:15:00,4347123,https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123,FALSE,2018-12-10T17:15:00,0.962,Vikings at Seahawks,,0.876,normal,Minnesota Vikings at Seattle Seahawks,FALSE,NA,369,131,142,365,775,1341,377.58264,FALSE,2018-08-24T21:53:42Z,QRCODE,centurylink-field,0.87232786,US,12,TRUE,"Seattle, WA 98134",0,98134,339,"Seattle, WA",https://seatgeek.com/venues/centurylink-field/tickets,America/Los_Angeles,CenturyLink Field,Seattle,WA,819,800 Occidental Ave S,CenturyLink Field,47.6,-122.33,FALSE,2018-03-02T22:54:54Z,QRCODE
nfl,FALSE,FALSE,2018-04-20T00:47:26,2018-04-20T00:00:00,2018-12-14T01:20:00,2018-12-14T05:20:00,4346978,https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978,FALSE,2018-12-13T19:20:00,0.914,Chargers at Chiefs,,0.835,normal,Los Angeles Chargers at Kansas City Chiefs,FALSE,NA,859,42,42,136,1068,968,151.81956,FALSE,2018-08-24T21:53:42Z,QRCODE,arrowhead-stadium,0.8827867,US,8,TRUE,"Kansas City, MO 64129",0,64129,1128,"Kansas City, MO",https://seatgeek.com/venues/arrowhead-stadium/tickets,America/Chicago,Arrowhead Stadium,Kansas City,MO,616,1 Arrowhead Drive,Arrowhead Stadium,39.0489,-94.4839,FALSE,2015-08-20T16:20:51Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:35,2018-04-20T00:00:00,2018-12-15T21:30:00,2018-12-16T01:30:00,4347015,https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015,FALSE,2018-12-15T16:30:00,0.947,Texans at Jets,,0.864,normal,Houston Texans at New York Jets,FALSE,NA,1160,35,35,126,1286,1001,153.01982,FALSE,2018-08-24T21:53:42Z,QRCODE,metlife-stadium,0.94873494,US,16,TRUE,"East Rutherford, NJ 07073",0,07073,1587,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,America/New_York,MetLife Stadium,East Rutherford,NJ,501,1 MetLife Stadium Drive,MetLife Stadium,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T01:04:04,2018-04-20T00:00:00,2018-12-15T21:30:00,2018-12-16T01:30:00,4347135,https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135,FALSE,2018-12-15T14:30:00,0.895,Browns at Broncos,,0.83,normal,Cleveland Browns at Denver Broncos,FALSE,NA,128,130,95,238,687,1204,299.48438,FALSE,2018-08-24T21:53:42Z,QRCODE,sports-authority-field-at-mile-high,0.9028296,US,7,TRUE,"Denver, CO 80204",0,80204,1131,"Denver, CO",https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,America/Denver,Sports Authority Field at Mile High,Denver,CO,751,1701 Bryant Street,Sports Authority Field at Mile High,39.74,-105.02,FALSE,2015-08-07T18:39:02Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:41,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4347047,https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047,FALSE,2018-12-16T13:00:00,0.933,Cardinals at Falcons,,0.86,normal,Arizona Cardinals at Atlanta Falcons,FALSE,NA,1070,64,64,160,1238,1193,191.8187,FALSE,2018-08-24T21:53:42Z,QRCODE,mercedes-benz-stadium,0.76958936,US,19,TRUE,"Atlanta, GA 30313",0,30313,419590,"Atlanta, GA",https://seatgeek.com/venues/mercedes-benz-stadium/tickets,America/New_York,Mercedes-Benz Stadium,Atlanta,GA,0,441 M.L.K. Jr Dr NW,Mercedes-Benz Stadium,33.76,-84.4,FALSE,2018-08-23T20:14:46Z,QRCODE
nfl,FALSE,FALSE,2018-04-20T00:47:20,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4346955,https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955,FALSE,2018-12-16T13:00:00,0.967,Cowboys at Colts,,0.885,normal,Dallas Cowboys at Indianapolis Colts,FALSE,NA,423,118,120,238,919,1979,288.49646,FALSE,2018-08-24T21:53:42Z,QRCODE,lucas-oil-stadium,0.9071682,US,13,TRUE,"Indianapolis, IN 46225",0,46225,1130,"Indianapolis, IN",https://seatgeek.com/venues/lucas-oil-stadium/tickets,America/Indiana/Indianapolis,Lucas Oil Stadium,Indianapolis,IN,527,500 South Capitol Avenue,Lucas Oil Stadium,39.7601,-86.1639,FALSE,2018-09-13T22:29:37Z,QRCODE_TM
