datetime_local,is_open,time_tbd,title,type,url,id,datetime_utc,description,score,short_title,popularity,created_at,announce_date,datetime_tbd,date_tbd,visible_until_utc,status,general_admission,median_price,visible_listing_count,highest_price,average_price,listing_count,lowest_price_good_deals,lowest_price,employee_only,created_at,method,address,url,state,id,num_upcoming_events,metro_code,score,popularity,has_upcoming_events,postal_code,city,slug,timezone,country,name_v2,name,display_location,extended_address,lon,lat,employee_only,created_at,method
2018-11-03T14:00:00,FALSE,FALSE,South Alabama Jaguars at Arkansas State Red Wolves Football,ncaa_football,https://seatgeek.com/south-alabama-jaguars-at-arkansas-state-red-wolves-football-tickets/ncaa-football/2018-11-03-2-pm/4281935,4281935,2018-11-03T19:00:00,,0.503,South Alabama at Arkansas State,0.573,2018-02-28T15:00:09,2018-02-28T00:00:00,FALSE,FALSE,2018-11-03T23:00:00,normal,NA,45,101,78,44.52778,144,NA,23,NA,NA,NA,2180 Aggie Rd,https://seatgeek.com/venues/centennial-bank-stadium-1/tickets,AR,8896,3,0,0.47753516,0,TRUE,72401,Jonesboro,centennial-bank-stadium-1,America/Chicago,US,Centennial Bank Stadium,Centennial Bank Stadium,"Jonesboro, AR","Jonesboro, AR 72401",-90.6797,35.8429,NA,NA,NA
2018-11-04T13:00:00,FALSE,FALSE,New York Jets at Miami Dolphins,nfl,https://seatgeek.com/jets-at-dolphins-tickets/11-4-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347083,4347083,2018-11-04T18:00:00,,0.866,Jets at Dolphins,0.842,2018-04-20T00:47:47,2018-04-20T00:00:00,FALSE,FALSE,2018-11-04T22:00:00,normal,NA,166,900,899,181.41006,139,62,73,FALSE,2018-08-24T21:53:39Z,QRCODE,347 Don Shula Dr.,https://seatgeek.com/venues/hard-rock-stadium/tickets,FL,29,36,528,0.8378203,0,TRUE,33056,Miami Gardens,hard-rock-stadium,America/New_York,US,Hard Rock Stadium,Hard Rock Stadium,"Miami Gardens, FL","Miami Gardens, FL 33056",-80.24,25.96,FALSE,2017-10-03T18:58:44Z,NONE
2018-11-04T12:00:00,FALSE,FALSE,Detroit Lions at Minnesota Vikings,nfl,https://seatgeek.com/lions-at-vikings-tickets/11-4-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347140,4347140,2018-11-04T18:00:00,,0.873,Lions at Vikings,0.856,2018-04-20T01:04:05,2018-04-20T00:00:00,FALSE,FALSE,2018-11-04T22:00:00,normal,NA,214,753,1389,265.37793,426,110,110,FALSE,2018-08-24T21:53:39Z,QRCODE,900 South 5th Street,https://seatgeek.com/venues/u-s-bank-stadium/tickets,MN,218451,15,0,0.88524246,0,TRUE,55415,Minneapolis,u-s-bank-stadium,America/Chicago,US,U.S. Bank Stadium,U.S. Bank Stadium,"Minneapolis, MN","Minneapolis, MN 55415",-93.26,44.97,FALSE,2018-08-22T15:34:15Z,NONE
2018-11-04T13:00:00,FALSE,FALSE,Kansas City Chiefs at Cleveland Browns,nfl,https://seatgeek.com/chiefs-at-browns-tickets/11-4-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346997,4346997,2018-11-04T18:00:00,,0.823,Chiefs at Browns,0.817,2018-04-20T00:47:31,2018-04-20T00:00:00,FALSE,FALSE,2018-11-04T22:00:00,normal,NA,99,1209,476,117.67105,912,50,50,FALSE,2018-08-24T21:53:39Z,QRCODE,100 Alfred Lerner Way,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,OH,1123,6,510,0.86852187,0,TRUE,44114,Cleveland,firstenergy-stadium-15,America/New_York,US,FirstEnergy Stadium,FirstEnergy Stadium,"Cleveland, OH","Cleveland, OH 44114",-81.7,41.5065,FALSE,2015-11-11T20:55:31Z,NONE
2018-11-04T13:00:00,FALSE,FALSE,Atlanta Falcons at Washington Redskins,nfl,https://seatgeek.com/falcons-at-redskins-tickets/11-4-2018-landover-maryland-fedex-field/nfl/4346937,4346937,2018-11-04T18:00:00,,0.895,Falcons at Redskins,0.871,2018-04-20T00:47:17,2018-04-20T00:00:00,FALSE,FALSE,2018-11-04T22:00:00,normal,NA,145,1027,451,172.38548,620,79,79,FALSE,2018-08-24T21:53:39Z,QRCODE,1600 Fedex Way,https://seatgeek.com/venues/fedex-field/tickets,MD,35,6,511,0.9333444,0,TRUE,20785,Landover,fedex-field,America/New_York,US,FedEx Field,FedEx Field,"Landover, MD","Landover, MD 20785",-76.8658,38.9071,FALSE,2015-09-12T14:13:58Z,QRCODE_TM
2018-11-04T13:00:00,FALSE,FALSE,Pittsburgh Steelers at Baltimore Ravens,nfl,https://seatgeek.com/steelers-at-ravens-tickets/11-4-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347069,4347069,2018-11-04T18:00:00,,0.865,Steelers at Ravens,0.843,2018-04-20T00:47:45,2018-04-20T00:00:00,FALSE,FALSE,2018-11-04T22:00:00,normal,NA,194,993,954,261.5112,223,125,125,FALSE,2018-08-24T21:53:39Z,QRCODE,1101 Russell St,https://seatgeek.com/venues/m-t-bank-stadium/tickets,MD,1121,7,512,0.8927189,0,TRUE,21230,Baltimore,m-t-bank-stadium,America/New_York,US,M&T Bank Stadium,M&T Bank Stadium,"Baltimore, MD","Baltimore, MD 21230",-76.623,39.2774,FALSE,2015-08-04T00:00:00Z,QRCODE_TM
2018-11-04T13:00:00,FALSE,FALSE,Tampa Bay Buccaneers at Carolina Panthers,nfl,https://seatgeek.com/buccaneers-at-panthers-tickets/11-4-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347033,4347033,2018-11-04T18:00:00,,0.843,Buccaneers at Panthers,0.826,2018-04-20T00:47:38,2018-04-20T00:00:00,FALSE,FALSE,2018-11-04T22:00:00,normal,NA,160,860,1081,197.06145,358,71,77,FALSE,2018-08-24T21:53:39Z,QRCODE,800 South Mint Street,https://seatgeek.com/venues/bank-of-america-stadium/tickets,NC,1122,8,517,0.8968222,0,TRUE,28202,Charlotte,bank-of-america-stadium,America/New_York,US,Bank of America Stadium,Bank of America Stadium,"Charlotte, NC","Charlotte, NC 28202",-80.8524,35.2243,FALSE,2015-09-25T18:23:51Z,QRCODE_TM
2018-11-04T13:00:00,FALSE,FALSE,Chicago Bears at Buffalo Bills,nfl,https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061,4347061,2018-11-04T18:00:00,,0.875,Bears at Bills,0.854,2018-04-20T00:47:43,2018-04-20T00:00:00,FALSE,FALSE,2018-11-04T22:00:00,normal,NA,107,1247,602,135.95352,753,51,52,FALSE,2018-08-24T21:53:39Z,QRCODE,1 Bills Drive,https://seatgeek.com/venues/new-era-field/tickets,NY,1135,7,514,0.8815085,0,TRUE,14127,Orchard Park,new-era-field,America/New_York,US,New Era Field,New Era Field,"Orchard Park, NY","Orchard Park, NY 14127",-78.7874,42.7737,FALSE,2015-08-12T16:52:53Z,QRCODE_TM
2018-11-04T13:05:00,FALSE,FALSE,Los Angeles Chargers at Seattle Seahawks,nfl,https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127,4347127,2018-11-04T21:05:00,,0.88,Chargers at Seahawks,0.855,2018-04-20T00:47:56,2018-04-20T00:00:00,FALSE,FALSE,2018-11-05T01:05:00,normal,NA,351,659,1015,359.29245,212,156,163,FALSE,2018-08-24T21:53:39Z,QRCODE,800 Occidental Ave S,https://seatgeek.com/venues/centurylink-field/tickets,WA,339,12,819,0.87232786,0,TRUE,98134,Seattle,centurylink-field,America/Los_Angeles,US,CenturyLink Field,CenturyLink Field,"Seattle, WA","Seattle, WA 98134",-122.33,47.6,FALSE,2018-03-02T22:54:54Z,QRCODE
2018-11-04T14:05:00,FALSE,FALSE,Houston Texans at Denver Broncos,nfl,https://seatgeek.com/texans-at-broncos-tickets/11-4-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347141,4347141,2018-11-04T21:05:00,,0.855,Texans at Broncos,0.842,2018-04-20T01:04:05,2018-04-20T00:00:00,FALSE,FALSE,2018-11-05T01:05:00,normal,NA,281,842,123594,1600.1632,98,122,144,FALSE,2018-08-24T21:53:39Z,QRCODE,1701 Bryant St.,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,CO,1131,7,751,0.9028296,0,TRUE,80204,Denver,sports-authority-field-at-mile-high,America/Denver,US,Sports Authority Field at Mile High,Sports Authority Field at Mile High,"Denver, CO","Denver, CO 80204",-105.02,39.74,FALSE,2015-08-07T18:39:02Z,QRCODE_TM
