date_tbd,created_at,score,datetime_utc,title,visible_until_utc,short_title,datetime_local,time_tbd,url,datetime_tbd,popularity,type,description,announce_date,status,id,is_open,general_admission,highest_price,average_price,median_price,visible_listing_count,listing_count,lowest_price,lowest_price_good_deals,employee_only,method,created_at,name,city,score,state,name_v2,popularity,country,has_upcoming_events,postal_code,num_upcoming_events,timezone,url,address,display_location,slug,extended_address,id,lon,lat,employee_only,method,created_at
FALSE,2018-04-05T23:08:47,0.967,2018-11-30T01:20:00,New Orleans Saints at Dallas Cowboys,2018-11-30T05:20:00,Saints at Cowboys,2018-11-29T19:20:00,FALSE,https://seatgeek.com/saints-at-cowboys-tickets/11-29-2018-arlington-texas-at-t-stadium/nfl/4327920,FALSE,0.874,nfl,,2018-04-05T00:00:00,normal,4327920,TRUE,NA,4318,423.2,NA,NA,2759,46,46,FALSE,QRCODE,2018-04-17T22:02:33Z,AT&T Stadium,Arlington,0.9751414,TX,AT&T Stadium,0,US,TRUE,76011,24,America/Chicago,https://seatgeek.com/venues/at-t-stadium/tickets,1 AT&T Way,"Arlington, TX",at-t-stadium,"Arlington, TX 76011",4965,-97.0957,32.7459,FALSE,QRCODE,2018-04-17T22:02:33Z
FALSE,2018-04-20T00:47:36,0.868,2018-12-02T18:00:00,Los Angeles Rams at Detroit Lions,2018-12-02T22:00:00,Rams at Lions,2018-12-02T13:00:00,FALSE,https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023,FALSE,0.803,nfl,,2018-04-20T00:00:00,normal,4347023,FALSE,NA,906,155.81,NA,NA,502,72,73,FALSE,QRCODE,2018-08-24T21:53:41Z,Ford Field,Detroit,0.9029952,MI,Ford Field,0,US,TRUE,48226,9,America/Detroit,https://seatgeek.com/venues/ford-field/tickets,2000 Brush St.,"Detroit, MI",ford-field,"Detroit, MI 48226",346,-83.0459,42.34,FALSE,NONE,2015-11-04T17:31:52Z
FALSE,2018-04-20T00:47:48,0.857,2018-12-02T18:00:00,Buffalo Bills at Miami Dolphins,2018-12-02T22:00:00,Bills at Dolphins,2018-12-02T13:00:00,FALSE,https://seatgeek.com/bills-at-dolphins-tickets/12-2-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347087,FALSE,0.776,nfl,,2018-04-20T00:00:00,normal,4347087,FALSE,NA,899,194.58,NA,NA,238,46,46,FALSE,QRCODE,2018-08-24T21:53:41Z,Hard Rock Stadium,Miami Gardens,0.8378203,FL,Hard Rock Stadium,0,US,TRUE,33056,36,America/New_York,https://seatgeek.com/venues/hard-rock-stadium/tickets,347 Don Shula Dr.,"Miami Gardens, FL",hard-rock-stadium,"Miami Gardens, FL 33056",29,-80.24,25.96,FALSE,NONE,2017-10-03T18:58:44Z
FALSE,2018-04-20T00:47:15,0.865,2018-12-02T18:00:00,Carolina Panthers at Tampa Bay Buccaneers,2018-12-02T22:00:00,Panthers at Buccaneers,2018-12-02T13:00:00,FALSE,https://seatgeek.com/panthers-at-buccaneers-tickets/12-2-2018-tampa-florida-raymond-james-stadium/nfl/4346927,FALSE,0.789,nfl,,2018-04-20T00:00:00,normal,4346927,FALSE,NA,406,167.41,NA,NA,37,57,57,FALSE,QRCODE,2018-08-24T21:53:41Z,Raymond James Stadium,Tampa,0.86513025,FL,Raymond James Stadium,0,US,TRUE,33607,15,America/New_York,https://seatgeek.com/venues/raymond-james-stadium/tickets,4201 North Dale Mabry Highway,"Tampa, FL",raymond-james-stadium,"Tampa, FL 33607",39,-82.5034,27.9753,FALSE,QRCODE_TM,2015-08-24T14:44:53Z
FALSE,2018-04-20T00:47:52,0.872,2018-12-02T18:00:00,Los Angeles Chargers at Pittsburgh Steelers,2018-12-02T22:00:00,Chargers at Steelers,2018-12-02T13:00:00,FALSE,https://seatgeek.com/chargers-at-steelers-tickets/12-2-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347108,FALSE,0.798,nfl,,2018-04-20T00:00:00,normal,4347108,FALSE,NA,2368,215.07,NA,NA,698,92,92,FALSE,QRCODE,2018-08-24T21:53:41Z,Heinz Field,Pittsburgh,0.9033526,PA,Heinz Field,0,US,TRUE,15212,12,America/New_York,https://seatgeek.com/venues/heinz-field/tickets,100 Art Rooney Avenue,"Pittsburgh, PA",heinz-field,"Pittsburgh, PA 15212",1119,-80.0158,40.4468,FALSE,QRCODE_TM,2015-12-08T15:36:23Z
FALSE,2018-04-20T00:47:13,0.874,2018-12-02T18:00:00,Arizona Cardinals at Green Bay Packers,2018-12-02T22:00:00,Cardinals at Packers,2018-12-02T12:00:00,FALSE,https://seatgeek.com/cardinals-at-packers-tickets/12-2-2018-green-bay-wisconsin-lambeau-field/nfl/4346909,FALSE,0.8,nfl,,2018-04-20T00:00:00,normal,4346909,FALSE,NA,684,264.42,NA,NA,482,152,152,FALSE,QRCODE,2018-08-24T21:53:41Z,Lambeau Field,Green Bay,0.92909414,WI,Lambeau Field,0,US,TRUE,54304,7,America/Chicago,https://seatgeek.com/venues/lambeau-field/tickets,1265 Lombardi Avenue,"Green Bay, WI",lambeau-field,"Green Bay, WI 54304",1125,-88.0622,44.5013,FALSE,QRCODE_TM,2015-09-02T22:43:34Z
FALSE,2018-04-20T00:47:19,0.813,2018-12-02T18:00:00,Indianapolis Colts at Jacksonville Jaguars,2018-12-02T22:00:00,Colts at Jaguars,2018-12-02T13:00:00,FALSE,https://seatgeek.com/colts-at-jaguars-tickets/12-2-2018-jacksonville-florida-tiaa-bank-field/nfl/4346946,FALSE,0.747,nfl,,2018-04-20T00:00:00,normal,4346946,FALSE,NA,5566,141.8,NA,NA,772,52,52,FALSE,QRCODE,2018-08-24T21:53:41Z,TIAA Bank Field,Jacksonville,0.83759147,FL,TIAA Bank Field,0,US,TRUE,32202,10,America/New_York,https://seatgeek.com/venues/tiaa-bank-field/tickets,1 Everbank Field Dr,"Jacksonville, FL",tiaa-bank-field,"Jacksonville, FL 32202",5178,-81.6373,30.3239,FALSE,QRCODE_TM,2015-10-17T20:03:42Z
FALSE,2018-04-20T00:47:39,0.889,2018-12-02T18:00:00,Denver Broncos at Cincinnati Bengals,2018-12-02T22:00:00,Broncos at Bengals,2018-12-02T13:00:00,FALSE,https://seatgeek.com/broncos-at-bengals-tickets/12-2-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347038,FALSE,0.809,nfl,,2018-04-20T00:00:00,normal,4347038,FALSE,NA,581,111.91,NA,NA,593,49,53,FALSE,QRCODE,2018-08-24T21:53:41Z,Paul Brown Stadium,Cincinnati,0.86166537,OH,Paul Brown Stadium,0,US,TRUE,45202,8,America/New_York,https://seatgeek.com/venues/paul-brown-stadium/tickets,1 Paul Brown Stadium,"Cincinnati, OH",paul-brown-stadium,"Cincinnati, OH 45202",1124,-84.5177,39.0961,FALSE,QRCODE_TM,2015-10-09T16:14:37Z
FALSE,2018-04-20T00:47:41,0.897,2018-12-02T18:00:00,Baltimore Ravens at Atlanta Falcons,2018-12-02T22:00:00,Ravens at Falcons,2018-12-02T13:00:00,FALSE,https://seatgeek.com/ravens-at-falcons-tickets/12-2-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347048,FALSE,0.827,nfl,,2018-04-20T00:00:00,normal,4347048,FALSE,NA,1193,225.07,NA,NA,837,68,68,FALSE,QRCODE,2018-08-24T21:53:41Z,Mercedes-Benz Stadium,Atlanta,0.76958936,GA,Mercedes-Benz Stadium,0,US,TRUE,30313,15,America/New_York,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,441 M.L.K. Jr Dr NW,"Atlanta, GA",mercedes-benz-stadium,"Atlanta, GA 30313",419590,-84.4,33.76,FALSE,QRCODE,2018-08-23T20:14:46Z
FALSE,2018-04-20T00:47:32,0.9,2018-12-02T18:00:00,Chicago Bears at New York Giants,2018-12-02T22:00:00,Bears at Giants,2018-12-02T13:00:00,FALSE,https://seatgeek.com/bears-at-giants-tickets/12-2-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347004,FALSE,0.815,nfl,,2018-04-20T00:00:00,normal,4347004,FALSE,NA,1666,273.52,NA,NA,691,94,94,FALSE,QRCODE,2018-08-24T21:53:41Z,MetLife Stadium,East Rutherford,0.94873494,NJ,MetLife Stadium,0,US,TRUE,07073,19,America/New_York,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,"East Rutherford, NJ",metlife-stadium,"East Rutherford, NJ 07073",1587,-74.0737,40.8142,FALSE,QRCODE_TM,2015-09-12T14:14:07Z
