event_promotion,is_open,id,title,announce_date,score,type,status,description,datetime_local,visible_until_utc,time_tbd,date_tbd,url,created_at,popularity,short_title,datetime_utc,datetime_tbd,general_admission,visible_listing_count,average_price,lowest_price_good_deals,median_price,listing_count,lowest_price,highest_price,employee_only,created_at,method,metro_code,postal_code,timezone,has_upcoming_events,id,city,extended_address,display_location,state,score,num_upcoming_events,address,slug,name,url,country,popularity,name_v2,lat,lon,employee_only,created_at,method
NA,FALSE,4347124,San Francisco 49ers at Seattle Seahawks,2018-04-20T00:00:00,0.9,nfl,normal,,2018-12-02T17:20:00,2018-12-03T05:20:00,FALSE,FALSE,https://seatgeek.com/49ers-at-seahawks-tickets/12-2-2018-seattle-washington-centurylink-field/nfl/4347124,2018-04-20T00:47:55,0.948,49ers at Seahawks,2018-12-03T01:20:00,FALSE,NA,1673,417.04523,137,405,199,173,991,FALSE,2018-08-24T21:53:41Z,QRCODE,819,98134,America/Los_Angeles,TRUE,339,Seattle,"Seattle, WA 98134","Seattle, WA",WA,0.87232786,7,800 Occidental Ave S,centurylink-field,CenturyLink Field,https://seatgeek.com/venues/centurylink-field/tickets,US,0,CenturyLink Field,47.5948,-122.332,FALSE,2018-03-02T22:54:54Z,QRCODE
NA,FALSE,4346936,Washington Redskins at Philadelphia Eagles,2018-04-20T00:00:00,0.873,nfl,normal,,2018-12-03T20:15:00,2018-12-04T05:15:00,FALSE,FALSE,https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936,2018-04-20T00:47:17,0.923,Redskins at Eagles,2018-12-04T01:15:00,FALSE,NA,1921,309,116,237,523,139,11346,FALSE,2018-08-24T21:53:41Z,QRCODE,504,19148,America/New_York,TRUE,330,Philadelphia,"Philadelphia, PA 19148","Philadelphia, PA",PA,0.90542685999999994,11,1020 Pattison Ave,lincoln-financial-field,Lincoln Financial Field,https://seatgeek.com/venues/lincoln-financial-field/tickets,US,0,Lincoln Financial Field,39.9046,-75.1675,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
NA,FALSE,4346987,Jacksonville Jaguars at Tennessee Titans,2018-04-20T00:00:00,0.776,nfl,normal,,2018-12-06T19:20:00,2018-12-07T05:20:00,FALSE,FALSE,https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987,2018-04-20T00:47:29,0.837,Jaguars at Titans,2018-12-07T01:20:00,FALSE,NA,1650,140.30661,42,124,499,42,483,FALSE,2018-08-24T21:53:42Z,QRCODE,659,37213,America/Chicago,TRUE,1126,Nashville,"Nashville, TN 37213","Nashville, TN",TN,0.8546275,15,1 Titans Way,nissan-stadium,Nissan Stadium,https://seatgeek.com/venues/nissan-stadium/tickets,US,0,Nissan Stadium,36.1665,-86.7713,FALSE,2015-10-19T15:09:39Z,NONE
NA,FALSE,4346926,New Orleans Saints at Tampa Bay Buccaneers,2018-04-20T00:00:00,0.842,nfl,normal,,2018-12-09T13:00:00,2018-12-09T22:00:00,FALSE,FALSE,https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926,2018-04-20T00:47:15,0.891,Saints at Buccaneers,2018-12-09T18:00:00,FALSE,NA,1082,239.33333,79,198,18,74,682,FALSE,2018-08-24T21:53:42Z,QRCODE,539,33607,America/New_York,TRUE,39,Tampa,"Tampa, FL 33607","Tampa, FL",FL,0.86513025,11,4201 North Dale Mabry Highway,raymond-james-stadium,Raymond James Stadium,https://seatgeek.com/venues/raymond-james-stadium/tickets,US,0,Raymond James Stadium,27.9753,-82.5034,FALSE,2015-08-24T14:44:53Z,QRCODE_TM
NA,FALSE,4346995,Carolina Panthers at Cleveland Browns,2018-04-20T00:00:00,0.82,nfl,normal,,2018-12-09T13:00:00,2018-12-09T22:00:00,FALSE,FALSE,https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995,2018-04-20T00:47:31,0.878,Panthers at Browns,2018-12-09T18:00:00,FALSE,NA,1795,85,28,67,1100,28,978,FALSE,2018-08-24T21:53:42Z,QRCODE,510,44114,America/New_York,TRUE,1123,Cleveland,"Cleveland, OH 44114","Cleveland, OH",OH,0.86852187,4,100 Alfred Lerner Way,firstenergy-stadium-15,FirstEnergy Stadium,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,US,0,FirstEnergy Stadium,41.5065,-81.7,FALSE,2015-11-11T20:55:31Z,NONE
NA,FALSE,4347003,Los Angeles Rams at Chicago Bears,2018-04-20T00:00:00,0.859,nfl,normal,,2018-12-09T12:00:00,2018-12-09T22:00:00,FALSE,FALSE,https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003,2018-04-20T00:47:32,0.907,Rams at Bears,2018-12-09T18:00:00,FALSE,NA,1403,371.6233,135,300,146,187,1316,FALSE,2018-08-24T21:53:42Z,QRCODE,602,60605,America/Chicago,TRUE,31,Chicago,"Chicago, IL 60605","Chicago, IL",IL,0.940013,5,1410 S. Museum Campus Drive,soldier-field,Soldier Field,https://seatgeek.com/venues/soldier-field/tickets,US,0,Soldier Field,41.8623,-87.6159,FALSE,2018-06-02T00:44:08Z,NONE
NA,FALSE,4347086,New England Patriots at Miami Dolphins,2018-04-20T00:00:00,0.907,nfl,normal,,2018-12-09T13:00:00,2018-12-09T22:00:00,FALSE,FALSE,https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086,2018-04-20T00:47:48,0.946,Patriots at Dolphins,2018-12-09T18:00:00,FALSE,NA,1638,1431,174,335,117,174,123810,FALSE,2018-08-24T21:53:42Z,QRCODE,528,33056,America/New_York,TRUE,29,Miami Gardens,"Miami Gardens, FL 33056","Miami Gardens, FL",FL,0.8378203,29,347 Don Shula Dr.,hard-rock-stadium,Hard Rock Stadium,https://seatgeek.com/venues/hard-rock-stadium/tickets,US,0,Hard Rock Stadium,25.9579,-80.2388,FALSE,2017-10-03T18:58:44Z,NONE
NA,FALSE,4346935,New York Giants at Washington Redskins,2018-04-20T00:00:00,0.903,nfl,normal,,2018-12-09T13:00:00,2018-12-09T22:00:00,FALSE,FALSE,https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935,2018-04-20T00:47:17,0.95,Giants at Redskins,2018-12-09T18:00:00,FALSE,NA,1317,190.89984,102,174,629,109,811,FALSE,2018-08-24T21:53:42Z,QRCODE,511,20785,America/New_York,TRUE,35,Landover,"Landover, MD 20785","Landover, MD",MD,0.9333444,3,1600 Fedex Way,fedex-field,FedEx Field,https://seatgeek.com/venues/fedex-field/tickets,US,0,FedEx Field,38.9071,-76.8658,FALSE,2015-09-12T14:13:58Z,QRCODE_TM
NA,FALSE,4347014,Indianapolis Colts at Houston Texans,2018-04-20T00:00:00,0.865,nfl,normal,,2018-12-09T12:00:00,2018-12-09T22:00:00,FALSE,FALSE,https://seatgeek.com/colts-at-texans-tickets/12-9-2018-houston-texas-nrg-stadium/nfl/4347014,2018-04-20T00:47:35,0.909,Colts at Texans,2018-12-09T18:00:00,FALSE,NA,1605,179,55,150,748,55,953,FALSE,2018-08-24T21:53:42Z,QRCODE,618,77054,America/Chicago,TRUE,41,Houston,"Houston, TX 77054","Houston, TX",TX,0.8624192,41,1 Reliant Park,nrg-stadium,NRG Stadium,https://seatgeek.com/venues/nrg-stadium/tickets,US,0,NRG Stadium,29.6847,-95.4107,FALSE,2015-11-04T18:42:27Z,QRCODE_TM
NA,FALSE,4346910,Atlanta Falcons at Green Bay Packers,2018-04-20T00:00:00,0.858,nfl,normal,,2018-12-09T12:00:00,2018-12-09T22:00:00,FALSE,FALSE,https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910,2018-04-20T00:47:13,0.913,Falcons at Packers,2018-12-09T18:00:00,FALSE,NA,1402,247,121,210,236,114,596,FALSE,2018-08-24T21:53:42Z,QRCODE,658,54304,America/Chicago,TRUE,1125,Green Bay,"Green Bay, WI 54304","Green Bay, WI",WI,0.92909414,4,1265 Lombardi Avenue,lambeau-field,Lambeau Field,https://seatgeek.com/venues/lambeau-field/tickets,US,0,Lambeau Field,44.5013,-88.0622,FALSE,2015-09-02T22:43:34Z,QRCODE_TM
