description,time_tbd,title,id,type,is_open,datetime_utc,score,visible_until_utc,created_at,announce_date,short_title,url,datetime_local,status,popularity,datetime_tbd,date_tbd,general_admission,lowest_price_good_deals,highest_price,median_price,visible_listing_count,listing_count,average_price,lowest_price,method,employee_only,created_at,num_upcoming_events,name_v2,id,postal_code,country,score,timezone,has_upcoming_events,slug,url,address,extended_address,name,city,display_location,popularity,state,metro_code,lat,lon,method,employee_only,created_at
,FALSE,New York Jets at Chicago Bears,4347007,nfl,FALSE,2018-10-28T17:00:00,0.945,2018-10-28T21:00:00,2018-04-20T00:47:33,2018-04-20T00:00:00,Jets at Bears,https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007,2018-10-28T12:00:00,normal,0.898,FALSE,FALSE,NA,109,1197,272,848,145,301.30344,109,QRCODE,FALSE,2018-08-24T21:53:39Z,12,Soldier Field,31,60605,US,0.940013,America/Chicago,TRUE,soldier-field,https://seatgeek.com/venues/soldier-field/tickets,1410 S. Museum Campus Drive,"Chicago, IL 60605",Soldier Field,Chicago,"Chicago, IL",0,IL,602,41.8623,-87.6159,NONE,FALSE,2018-06-02T00:44:08Z
,FALSE,Indianapolis Colts at Oakland Raiders,4347153,nfl,FALSE,2018-10-28T20:05:00,0.905,2018-10-29T00:05:00,2018-04-20T01:04:25,2018-04-20T00:00:00,Colts at Raiders,https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153,2018-10-28T13:05:00,normal,0.867,FALSE,FALSE,NA,80,710,181,854,556,189.20143,80,QRCODE,FALSE,2018-08-24T21:53:39Z,26,Oakland-Alameda County Coliseum,14,94621,US,0.7817843,America/Los_Angeles,TRUE,oakland-alameda-county-coliseum,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,7000 Coliseum Way,"Oakland, CA 94621",Oakland-Alameda County Coliseum,Oakland,"Oakland, CA",0,CA,807,37.7469,-122.201,PDF417,FALSE,2015-06-24T00:00:00Z
,FALSE,Green Bay Packers at Los Angeles Rams,4346921,nfl,FALSE,2018-10-28T20:25:00,1.013,2018-10-29T00:25:00,2018-04-20T00:47:14,2018-04-20T00:00:00,Packers at Rams,https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921,2018-10-28T13:25:00,normal,0.95,FALSE,FALSE,NA,252,10987,552,1134,480,598.2833,252,QRCODE,FALSE,2018-08-24T21:53:39Z,12,Los Angeles Memorial Coliseum,51012,90037,US,0.86898464,America/Los_Angeles,TRUE,los-angeles-memorial-coliseum-1,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,3911 S Figueroa St,"Los Angeles, CA 90037",Los Angeles Memorial Coliseum,Los Angeles,"Los Angeles, CA",0,CA,0,34.0138,-118.288,QRCODE,FALSE,2018-08-23T17:59:28Z
,FALSE,San Francisco 49ers at Arizona Cardinals,4347101,nfl,FALSE,2018-10-28T20:25:00,0.955,2018-10-29T00:25:00,2018-04-20T00:47:51,2018-04-20T00:00:00,49ers at Cardinals,https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101,2018-10-28T13:25:00,normal,0.911,FALSE,FALSE,NA,41,728,110,1160,778,138.4653,42,QRCODE,FALSE,2018-08-24T21:53:39Z,10,State Farm Stadium,43,85305,US,0.93402725,America/Phoenix,TRUE,state-farm-stadium,https://seatgeek.com/venues/state-farm-stadium/tickets,1 Cardinals Drive,"Glendale, AZ 85305",State Farm Stadium,Glendale,"Glendale, AZ",0,AZ,753,33.5294,-112.262,NONE,FALSE,2015-12-21T17:26:05Z
,FALSE,New Orleans Saints at Minnesota Vikings,4347136,nfl,FALSE,2018-10-29T00:20:00,0.949,2018-10-29T04:20:00,2018-04-20T01:04:04,2018-04-20T00:00:00,Saints at Vikings,https://seatgeek.com/saints-at-vikings-tickets/10-28-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347136,2018-10-28T19:20:00,normal,0.906,FALSE,FALSE,NA,114,2391,258,1216,486,311.52264,131,QRCODE,FALSE,2018-08-24T21:53:39Z,13,U.S. Bank Stadium,218451,55415,US,0.88524246,America/Chicago,TRUE,u-s-bank-stadium,https://seatgeek.com/venues/u-s-bank-stadium/tickets,401 Chicago Avenue,"Minneapolis, MN 55415",U.S. Bank Stadium,Minneapolis,"Minneapolis, MN",0,MN,0,44.97,-93.26,NONE,FALSE,2018-08-22T15:34:15Z
,FALSE,New England Patriots at Buffalo Bills,4347062,nfl,FALSE,2018-10-30T00:15:00,0.957,2018-10-30T04:15:00,2018-04-20T00:47:44,2018-04-20T00:00:00,Patriots at Bills,https://seatgeek.com/patriots-at-bills-tickets/10-29-2018-orchard-park-new-york-new-era-field/nfl/4347062,2018-10-29T20:15:00,normal,0.906,FALSE,FALSE,NA,104,1076,176,1194,977,208.174,104,QRCODE,FALSE,2018-08-24T21:53:39Z,8,New Era Field,1135,14127,US,0.8815085,America/New_York,TRUE,new-era-field,https://seatgeek.com/venues/new-era-field/tickets,1 Bills Drive,"Orchard Park, NY 14127",New Era Field,Orchard Park,"Orchard Park, NY",0,NY,514,42.7737,-78.7874,QRCODE_TM,FALSE,2015-08-12T16:52:53Z
,FALSE,Oakland Raiders at San Francisco 49ers,4347131,nfl,FALSE,2018-11-02T00:20:00,1.016,2018-11-02T04:20:00,2018-04-20T00:47:57,2018-04-20T00:00:00,Raiders at 49ers,https://seatgeek.com/raiders-at-49ers-tickets/11-1-2018-santa-clara-california-levi-s-stadium/nfl/4347131,2018-11-01T17:20:00,normal,0.95,FALSE,FALSE,NA,262,3067,500,984,764,542.47516,268,QRCODE,FALSE,2018-08-24T21:53:39Z,13,Levi's Stadium,58670,95054,US,0.95768774,America/Los_Angeles,TRUE,levi-s-stadium,https://seatgeek.com/venues/levi-s-stadium/tickets,4900 Marie P DeBartolo Way,"Santa Clara, CA 95054",Levi's Stadium,Santa Clara,"Santa Clara, CA",0,CA,0,37.4023,-121.969,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
,FALSE,South Alabama Jaguars at Arkansas State Red Wolves Football,4281935,ncaa_football,FALSE,2018-11-03T19:00:00,0.506,2018-11-03T23:00:00,2018-02-28T15:00:09,2018-02-28T00:00:00,South Alabama at Arkansas State,https://seatgeek.com/south-alabama-jaguars-at-arkansas-state-red-wolves-football-tickets/ncaa-football/2018-11-03-2-pm/4281935,2018-11-03T14:00:00,normal,0.547,FALSE,FALSE,NA,NA,185,44,88,112,47.875,25,NA,NA,NA,4,Centennial Bank Stadium,8896,72401,US,0.47753516,America/Chicago,TRUE,centennial-bank-stadium-1,https://seatgeek.com/venues/centennial-bank-stadium-1/tickets,2180 Aggie Rd,"Jonesboro, AR 72401",Centennial Bank Stadium,Jonesboro,"Jonesboro, AR",0,AR,0,35.8429,-90.6797,NA,NA,NA
,FALSE,New York Jets at Miami Dolphins,4347083,nfl,FALSE,2018-11-04T18:00:00,0.916,2018-11-04T22:00:00,2018-04-20T00:47:47,2018-04-20T00:00:00,Jets at Dolphins,https://seatgeek.com/jets-at-dolphins-tickets/11-4-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347083,2018-11-04T13:00:00,normal,0.869,FALSE,FALSE,NA,57,901,155,959,176,182.71022,61,QRCODE,FALSE,2018-08-24T21:53:39Z,38,Hard Rock Stadium,29,33056,US,0.8378203,America/New_York,TRUE,hard-rock-stadium,https://seatgeek.com/venues/hard-rock-stadium/tickets,347 Don Shula Dr.,"Miami Gardens, FL 33056",Hard Rock Stadium,Miami Gardens,"Miami Gardens, FL",0,FL,528,25.96,-80.24,NONE,FALSE,2017-10-03T18:58:44Z
,FALSE,Kansas City Chiefs at Cleveland Browns,4346997,nfl,FALSE,2018-11-04T18:00:00,0.885,2018-11-04T22:00:00,2018-04-20T00:47:31,2018-04-20T00:00:00,Chiefs at Browns,https://seatgeek.com/chiefs-at-browns-tickets/11-4-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346997,2018-11-04T13:00:00,normal,0.853,FALSE,FALSE,NA,34,1175,84,1364,1119,100.70331,34,QRCODE,FALSE,2018-08-24T21:53:39Z,7,FirstEnergy Stadium,1123,44114,US,0.86852187,America/New_York,TRUE,firstenergy-stadium-15,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,100 Alfred Lerner Way,"Cleveland, OH 44114",FirstEnergy Stadium,Cleveland,"Cleveland, OH",0,OH,510,41.5065,-81.7,NONE,FALSE,2015-11-11T20:55:31Z
