id,description,datetime_utc,date_tbd,popularity,datetime_tbd,url,time_tbd,status,title,announce_date,short_title,is_open,type,score,visible_until_utc,datetime_local,created_at,general_admission,lowest_price,highest_price,listing_count,average_price,lowest_price_good_deals,employee_only,created_at,method,num_upcoming_events,id,country,display_location,url,city,slug,extended_address,timezone,score,popularity,address,postal_code,has_upcoming_events,name_v2,name,state,lon,lat,employee_only,created_at,method
4347032,,2018-10-07T17:00:00,FALSE,0.911,FALSE,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,FALSE,normal,New York Giants at Carolina Panthers,2018-04-20T00:00:00,Giants at Panthers,FALSE,nfl,0.956,2018-10-07T21:00:00,2018-10-07T13:00:00,2018-04-20T00:47:38,NA,157,1696,927,427.86,157,FALSE,2018-08-24T21:15:58Z,QRCODE,10,1122,US,"Charlotte, NC",https://seatgeek.com/venues/bank-of-america-stadium/tickets,Charlotte,bank-of-america-stadium,"Charlotte, NC 28202",America/New_York,0.8968222,0,800 South Mint Street,28202,TRUE,Bank of America Stadium,Bank of America Stadium,NC,-80.8524,35.2243,FALSE,2015-09-25T18:23:51Z,QRCODE_TM
4347027,,2018-10-07T17:00:00,FALSE,0.911,FALSE,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,FALSE,normal,Green Bay Packers at Detroit Lions,2018-04-20T00:00:00,Packers at Lions,FALSE,nfl,0.949,2018-10-07T21:00:00,2018-10-07T13:00:00,2018-04-20T00:47:37,NA,89,13330,985,324.83,89,FALSE,2018-08-24T21:05:06Z,QRCODE,11,346,US,"Detroit, MI",https://seatgeek.com/venues/ford-field/tickets,Detroit,ford-field,"Detroit, MI 48226",America/Detroit,0.9029952,0,2000 Brush St.,48226,TRUE,Ford Field,Ford Field,MI,-83.0459,42.34,FALSE,2015-11-04T17:31:52Z,NONE
4347011,,2018-10-07T17:00:00,FALSE,0.482,FALSE,https://seatgeek.com/denver-broncos-at-new-york-jets-tickets/sport/2018-10-07-1-pm/4347011,FALSE,normal,Denver Broncos at New York Jets,2018-04-20T00:00:00,Broncos at Jets,FALSE,sports,0.44,2018-10-07T21:00:00,2018-10-07T13:00:00,2018-04-20T00:47:34,NA,56,1864,2311,189.73,56,FALSE,2018-09-05T19:53:41Z,QRCODE,21,1587,US,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,East Rutherford,metlife-stadium,"East Rutherford, NJ 07073",America/New_York,0.94873494,0,1 MetLife Stadium Drive,07073,TRUE,MetLife Stadium,MetLife Stadium,NJ,-74.0737,40.8142,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
4347043,,2018-10-07T17:00:00,FALSE,0.867,FALSE,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,FALSE,normal,Miami Dolphins at Cincinnati Bengals,2018-04-20T00:00:00,Dolphins at Bengals,FALSE,nfl,0.899,2018-10-07T21:00:00,2018-10-07T13:00:00,2018-04-20T00:47:40,NA,40,1109,1275,136.96,40,FALSE,2018-08-24T21:16:15Z,QRCODE,9,1124,US,"Cincinnati, OH",https://seatgeek.com/venues/paul-brown-stadium/tickets,Cincinnati,paul-brown-stadium,"Cincinnati, OH 45202",America/New_York,0.86166537,0,1 Paul Brown Stadium,45202,TRUE,Paul Brown Stadium,Paul Brown Stadium,OH,-84.5177,39.0961,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
4346999,,2018-10-07T17:00:00,FALSE,0.866,FALSE,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,FALSE,normal,Baltimore Ravens at Cleveland Browns,2018-04-20T00:00:00,Ravens at Browns,FALSE,nfl,0.893,2018-10-07T21:00:00,2018-10-07T13:00:00,2018-04-20T00:47:31,NA,37,1178,1883,146.55,37,FALSE,2018-08-24T21:04:01Z,QRCODE,8,1123,US,"Cleveland, OH",https://seatgeek.com/venues/firstenergy-stadium-15/tickets,Cleveland,firstenergy-stadium-15,"Cleveland, OH 44114",America/New_York,0.86852187,0,100 Alfred Lerner Way,44114,TRUE,FirstEnergy Stadium,FirstEnergy Stadium,OH,-81.7,41.5065,FALSE,2015-11-11T20:55:31Z,NONE
4346983,,2018-10-07T17:00:00,FALSE,0.868,FALSE,https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983,FALSE,normal,Jacksonville Jaguars at Kansas City Chiefs,2018-04-20T00:00:00,Jaguars at Chiefs,FALSE,nfl,0.901,2018-10-07T21:00:00,2018-10-07T12:00:00,2018-04-20T00:47:28,NA,42,751,1864,149.63,42,FALSE,2018-08-24T21:03:49Z,QRCODE,10,1128,US,"Kansas City, MO",https://seatgeek.com/venues/arrowhead-stadium/tickets,Kansas City,arrowhead-stadium,"Kansas City, MO 64129",America/Chicago,0.8827867,0,1 Arrowhead Drive,64129,TRUE,Arrowhead Stadium,Arrowhead Stadium,MO,-94.4839,39.0489,FALSE,2015-08-20T16:20:51Z,QRCODE_TM
4347063,,2018-10-07T17:00:00,FALSE,0.871,FALSE,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,FALSE,normal,Tennessee Titans at Buffalo Bills,2018-04-20T00:00:00,Titans at Bills,FALSE,nfl,0.902,2018-10-07T21:00:00,2018-10-07T13:00:00,2018-04-20T00:47:44,NA,63,6308,1974,174.34,63,FALSE,2018-08-24T21:16:26Z,QRCODE,8,1135,US,"Orchard Park, NY",https://seatgeek.com/venues/new-era-field/tickets,Orchard Park,new-era-field,"Orchard Park, NY 14127",America/New_York,0.8815085,0,1 Bills Drive,14127,TRUE,New Era Field,New Era Field,NY,-78.7874,42.7737,FALSE,2015-08-12T16:52:53Z,QRCODE_TM
4347111,,2018-10-07T20:05:00,FALSE,0.922,FALSE,https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111,FALSE,normal,Oakland Raiders at Los Angeles Chargers,2018-04-20T00:00:00,Raiders at Chargers,FALSE,nfl,0.971,2018-10-08T00:05:00,2018-10-07T13:05:00,2018-04-20T00:47:52,NA,263,6245,606,411.91,263,FALSE,2018-08-24T21:17:06Z,QRCODE,14,52,US,"Carson, CA",https://seatgeek.com/venues/stubhub-center/tickets,Carson,stubhub-center,"Carson, CA 90746",America/Los_Angeles,0.7228164,0,18400 Avalon Blvd,90746,TRUE,StubHub Center,StubHub Center,CA,-118.261,33.8643,NA,NA,NA
4347115,,2018-10-07T20:25:00,FALSE,0.892,FALSE,https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115,FALSE,normal,Arizona Cardinals at San Francisco 49ers,2018-04-20T00:00:00,Cardinals at 49ers,FALSE,nfl,0.934,2018-10-08T00:25:00,2018-10-07T13:25:00,2018-04-20T00:47:53,NA,67,3694,1971,232.05,67,FALSE,2018-09-05T19:47:23Z,QRCODE,13,58670,US,"Santa Clara, CA",https://seatgeek.com/venues/levi-s-stadium/tickets,Santa Clara,levi-s-stadium,"Santa Clara, CA 95054",America/Los_Angeles,0.95768774,0,4900 Marie P DeBartolo Way,95054,TRUE,Levi's Stadium,Levi's Stadium,CA,-121.969,37.4023,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
4347128,,2018-10-07T20:25:00,FALSE,0.89,FALSE,https://seatgeek.com/rams-at-seahawks-tickets/10-7-2018-seattle-washington-centurylink-field/nfl/4347128,FALSE,normal,Los Angeles Rams at Seattle Seahawks,2018-04-20T00:00:00,Rams at Seahawks,FALSE,nfl,0.929,2018-10-08T00:25:00,2018-10-07T13:25:00,2018-04-20T00:47:56,NA,173,1900,674,447,173,FALSE,2018-08-24T21:19:14Z,QRCODE,14,339,US,"Seattle, WA",https://seatgeek.com/venues/centurylink-field/tickets,Seattle,centurylink-field,"Seattle, WA 98134",America/Los_Angeles,0.87232786,0,800 Occidental Ave S,98134,TRUE,CenturyLink Field,CenturyLink Field,WA,-122.33,47.6,FALSE,2018-03-02T22:54:54Z,QRCODE
